,A,Fur
R2,,0.0
xmin,,6.5805387977
xmid,,
xmax,,10.1618636033
ystart,,-2.7569971325185185
yend,,-2.7569971325185185
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,-3.229869787,6.8343605492
USA300_LAC_U01-Set001_CAMHB_Control_1,-0.19865041200000003,8.2704144526
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,1.6274754530000002,8.2991827435
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,1.977037701,8.2164608241
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-2.246058657,8.2004736356
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,-3.467488794,6.8339111412
USA300_LAC_U01-Set001_CAMHB_Control_2,0.19865041200000003,8.2563361076
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,2.365596226,8.2754208634
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,2.206758717,8.064749198
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-1.064606474,8.15637119
USA300_TCH1516_U01-Set000_CAMHB_Control_1,1.3763799730000001,10.1618636033
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,1.238586857,9.8697318114
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,1.446759528,10.1462466647
USA300_LAC_U01-Set001_R10LB_PreCulture_1,3.191518934,8.2403329511
USA300_LAC_U01-Set001_R10LB_PreCulture_2,5.782415268,8.1056709389
USA300_LAC_U01-Set001_R10LB_Control_1,1.797540275,8.0190486917
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,0.665631792,8.0822498458
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,3.7147039,7.9929235871
USA300_LAC_U01-Set001_R10LB_Control_2,1.839919895,8.3164697829
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-0.22425007,8.0231993676
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,5.062287102,8.0974029145
