,spr
Cr_1,0.002453066273326928
Cr_2,0.0138739517120155
Cr_3,0.0329019018349558
Cr_4,0.056579338237441074
Cr_5,0.07679131213302526
Cr_6,0.09777398444975388
Fe_1,-0.012070795807861988
Fe_2,-0.019239354294559145
Fe_3,-0.004540112642314619
Fe_4,0.01607188731614967
Fe_5,0.04482259180997048
Fe_6,0.05371102360198232
Cd_1,0.01904003374879486
Cd_2,0.04683080310242155
Cd_3,0.07915265644229902
Cd_4,0.09897838224050363
Cd_5,0.1133884611353574
Cd_6,0.13121434006584007
Zn_1,-0.06145590008756247
Zn_2,-0.10468053572212813
Zn_3,-0.107475292164142
Zn_4,-0.10387623521834263
Zn_5,-0.094083858758231
Zn_6,-0.08475976208171092
Cu_1,0.013073330862678052
Cu_2,0.026764421794122747
Cu_3,0.039688466042748616
Cu_4,0.051492544675743095
Cu_5,0.06238281464641386
Cu_6,0.07621052035079898
Pb_1,0.011477124882898815
Pb_2,0.015138228068874398
Pb_3,0.018005047451881386
Pb_4,0.02195410748383128
Pb_5,0.03539691261206703
Pb_6,0.05247772409320933
