,BSU_misc_RNA_51
M9exp_1,13.411
M9exp_2,13.0291
M9exp_3,12.6315
M9tran_1,12.4845
M9tran_2,12.1825
M9tran_3,12.7778
M9stat_1,11.6098
M9stat_2,11.4515
M9stat_3,11.2955
MG-0.1_1,13.329
MG-0.1_2,12.2349
MG-0.1_3,13.725
MG-0.2_2,13.3259
MG-0.2_3,13.4462
MG+5_1,13.5305
MG+5_2,13.1467
MG+5_3,12.9203
MG+10_1,13.6842
MG+10_2,13.4852
MG+10_3,12.1423
MG+15_1,13.0186
MG+15_2,13.827
MG+15_3,13.5836
MG+25_1,13.4654
MG+25_2,13.4004
MG+25_3,13.4157
MG+45_1,13.4003
MG+45_2,13.0774
MG+45_3,13.7308
MG+60_2,13.0717
MG+60_3,13.4131
MG+90_2,12.9137
MG+90_3,13.4853
MG+120_1,11.8083
MG+120_2,13.0132
MG+120_3,12.3129
MG+150_1,12.9848
MG+150_3,13.3442
GM-0.1_1,13.2993
GM-0.1_2,13.4505
GM-0.1_3,13.355
GM-0.2_1,13.371
GM-0.2_2,13.447
GM-0.2_3,13.2732
GM+5_1,12.7216
GM+5_2,13.3978
GM+5_3,13.2883
GM+10_2,13.5708
GM+10_3,12.3032
GM+15_1,13.6683
GM+15_2,13.7833
GM+15_3,13.6174
GM+25_1,13.7069
GM+25_2,13.4718
GM+25_3,13.1408
GM+45_1,13.9484
GM+45_2,12.591
GM+45_3,12.5994
GM+60_1,13.4664
GM+60_2,12.718
GM+60_3,12.5819
GM+90_1,13.6835
GM+90_2,13.5821
GM+90_3,12.8316
GM+120_1,12.7797
GM+120_3,12.4722
GM+150_1,12.933
GM+150_2,12.5818
GM+150_3,12.803
BT_1,12.7831
BT_2,12.2516
B36_1,14.9591
B36_2,14.3799
B60_1,14.6966
B60_2,14.5953
S0_1,13.3534
S0_2,13.5193
S0_3,13.855
S1_1,12.5076
S1_2,12.3281
S1_3,12.5394
S2_1,11.8827
S2_2,11.628
S2_3,12.0641
S3_1,12.3488
S3_2,12.7618
S4_1,13.4299
S4_2,13.5422
S4_3,13.4094
S5_1,13.1428
S5_2,13.5494
S5_3,13.6992
S6_1,13.0125
S6_2,10.022
S6_3,13.0337
S6/t_1,13.0206
S6/t_2,10.2275
S6_4,12.7456
S6_5,13.4132
S6_6,13.7454
S7_4,13.1879
S7_5,12.8182
S7_6,12.67
S8_4,12.916
S8_5,11.943
G135_1,10.7528
G135_3,9.4567
G150_1,10.5059
G150_2,11.4585
G150_3,10.4475
G180_1,12.0336
G180_2,12.3383
G180_3,11.1616
T-5.40H_1,12.9095
T-4.40H_1,12.9856
T-3.40H_1,12.8408
T-2.40H_1,12.3596
T-1.40H_1,12.4097
T-1.10H_1,12.539
T-0.40H_1,12.0789
T0.0H_1,11.7576
T0.30H_1,11.3178
T1.0H_1,11.0481
T1.30H_1,10.9364
T2.0H_1,10.7095
T2.30H_1,10.8802
T3.0H_1,10.4695
T3.30H_1,11.0105
T4.0H_1,11.1111
T5.0H_1,10.5404
LBexp_1,13.0755
LBexp_2,12.6819
LBexp_3,12.3131
LBtran_1,11.6385
LBtran_2,11.4888
LBtran_3,11.6199
LBstat_1,11.2932
LBstat_2,10.8934
LBstat_3,10.6157
LBGexp_1,10.4757
LBGexp_2,13.4864
LBGexp_3,12.7627
LBGtran_2,11.4658
LBGtran_3,12.714
LBGstat_1,12.6893
LBGstat_2,11.8466
LBGstat_3,11.9834
Mt0_1,12.7378
Mt0_3,12.8735
M0t45_1,12.3342
M0t45_2,12.3968
M0t45_3,12.2919
M0t90_1,10.7237
M0t90_2,12.1525
M0t90_3,11.1333
M40t45_1,11.3318
M40t45_2,11.7653
M40t45_3,12.2917
M40t90_1,10.919
M40t90_2,11.5362
M40t90_3,11.5663
dia0_1,12.747
dia0_2,12.8721
dia0_3,12.7432
dia5_1,11.7915
dia5_2,12.6452
dia5_3,12.4673
dia15_1,13.107
dia15_2,13.8959
dia15_3,12.9662
C30_1,12.4776
C30_2,13.1486
C90_1,12.5875
C90_2,12.6529
SMM_1,13.3051
SMM_2,13.2835
SMM_3,13.1529
Salt_1,12.6722
Salt_2,12.4222
Salt_3,12.2032
