,A,BaeR,CpxR
R2,,0.34639611907219947,0.04900984738743053
xmin,,-6.021555931,-8.11516967
xmid,,,
xmax,,1.065994119,1.489093841
ystart,,7.725154962920931,-3.053425114210868
yend,,-1.9393246758484526,0.9107846850194499
ecoli_00001,0.11754048760000001,-0.104464949,-0.016455943
ecoli_00002,-0.11754048760000001,0.104464949,0.016455943
ecoli_00003,-3.1173142269,0.9354531290000001,0.48361660700000003
ecoli_00004,-3.2058478633,1.005497606,0.481963148
ecoli_00005,-0.0399154904,-0.47185759600000005,-0.34823233600000003
ecoli_00006,-0.0470534067,-0.573715842,-0.46786989100000004
ecoli_00007,-2.8922047013,0.5087897290000001,0.46443511400000004
ecoli_00008,-2.5532909842000002,0.620466252,0.45899736500000005
ecoli_00009,-0.6192063619,-0.22285495800000002,-0.205701605
ecoli_00010,-0.4524679888,-0.16739393900000002,-0.16910454
ecoli_00011,-0.5779359234,-0.031408551,-0.122076266
ecoli_00012,-0.3413614403,0.177933948,-0.09064453500000001
ecoli_00014,-0.3104878725,0.150063094,-0.035502778000000006
ecoli_00015,-0.8209232588,0.002175925,-0.10232901400000001
ecoli_00016,-0.6611995313,-0.158185295,0.016478089
ecoli_00017,-0.1888154766,-0.013529890000000001,0.003416019
ecoli_00018,-0.4144728077,0.12091252300000001,-0.023407665
ecoli_00019,-2.3007121704,0.093259169,0.161531063
ecoli_00020,-1.9383373072,0.194681559,0.244877788
ecoli_00021,-2.1626866597,0.589372564,-0.10101905500000001
ecoli_00022,-1.7520045516,0.569959489,-0.118285491
ecoli_00023,-2.2311830893,0.29332007,0.130968896
ecoli_00024,-2.0017616763,0.21013036400000001,0.16416381700000002
ecoli_00025,-2.217281464,0.19153330600000001,0.5578435850000001
ecoli_00026,-1.537032638,0.36858433300000004,0.587865716
ecoli_00027,-0.0546669934,0.435854383,0.479075976
ecoli_00028,-0.09383847990000001,0.355645551,0.43220153
ecoli_00029,0.5075082797,0.032544265,0.207309178
ecoli_00030,0.5560071633,0.199456394,0.157351611
ecoli_00031,0.7603278451000001,0.311345455,0.661718113
ecoli_00032,0.6532721945000001,0.424334449,0.5436341450000001
ecoli_00033,-0.6066196035,0.794281668,0.731233737
ecoli_00034,-0.6509085044,0.735331308,0.89835275
ecoli_00035,0.1997576601,0.09812014000000001,0.36012009300000003
ecoli_00036,0.0469068065,0.147296004,0.28217445
ecoli_00037,0.0952490253,0.35692768,0.37726644600000003
ecoli_00038,0.2570546668,0.139465752,0.443128212
ecoli_00039,0.1955512723,-0.510035619,-0.045097728000000004
ecoli_00040,-0.4631534265,-0.38211748100000004,-0.047231382
ecoli_00041,-1.0102729954,-0.032092025,0.265605576
ecoli_00042,-0.34095989190000003,-0.029033455000000003,0.21461374500000002
ecoli_00043,0.0187651224,-0.126234433,-0.36555257100000005
ecoli_00044,0.1976222182,-0.063708059,-0.290672036
ecoli_00045,0.1722994428,-0.23376590900000002,-0.49350523100000004
ecoli_00046,0.44967478590000004,-0.323514833,-0.40606392900000005
ecoli_00047,0.0896441884,-0.018954541000000002,-0.131238931
ecoli_00048,-0.0946514829,-0.009485508,-0.088533862
ecoli_00049,0.4502705529,0.187038525,0.561196726
ecoli_00050,-0.6768999384000001,0.620405826,1.100875522
ecoli_00051,-0.5532360186,1.065994119,1.237183526
ecoli_00052,0.3521846956,0.361740599,0.832935233
ecoli_00053,0.4403044976,0.080853798,0.864445447
ecoli_00054,1.7084127961000002,0.42665246300000004,1.441400653
ecoli_00055,1.6232474723,0.7866453950000001,1.424536454
ecoli_00056,-0.3152681802,-0.339181815,0.281755229
ecoli_00057,-0.8730023442,-0.15841902300000002,0.188715756
ecoli_00058,-0.5771098656,-0.569552249,-0.18006717500000002
ecoli_00059,-1.2053971287,-0.472305024,-0.031336151
ecoli_00060,-1.1539212749,0.036636083,-0.059620317000000006
ecoli_00061,-1.1801836073,-0.134731588,-0.051596002
ecoli_00062,-0.4881854102,0.08572636700000001,0.063542728
ecoli_00063,-1.0156547468,-0.44246195,0.031548838
ecoli_00064,-2.7148311902,-0.206041296,0.470277959
ecoli_00065,-3.3274190779,-0.039258115,0.595664834
ecoli_00066,-2.3361195316,-0.5101604240000001,0.25057528500000004
ecoli_00067,-2.8001797274999998,-0.38167936900000005,0.31728971
ecoli_00068,0.2410954045,-0.178362911,-0.303016885
ecoli_00070,0.6836799469,-0.9954655210000001,-0.366281515
ecoli_00071,0.669962955,-0.417313358,-0.39905693600000003
ecoli_00072,-0.0139876892,-0.761888435,-0.197432551
ecoli_00073,-1.0285507666,-0.573049288,-0.519723361
ecoli_00074,-2.5429748469,-0.24227864300000002,-0.123981032
ecoli_00075,1.2006919694,-0.512959174,-0.21628477200000001
ecoli_00077,1.0981810079,-0.38081331300000004,-0.0010492020000000002
ecoli_00078,-0.107790574,-0.31455682300000004,-0.351655979
