sample,new_877404_877496
LBexp_1,13.9005
LBexp_2,12.7521
LBexp_3,12.7761
LBtran_1,9.7226
LBtran_2,9.9925
LBtran_3,10.3219
LBstat_1,10.5303
LBstat_2,10.2727
LBstat_3,10.5012
LBGexp_1,13.6535
LBGexp_2,13.1463
LBGexp_3,13.7279
LBGtran_2,11.3219
LBGtran_3,11.7905
LBGstat_1,12.8054
LBGstat_2,11.9773
LBGstat_3,10.1631
S0_1,11.8633
S0_2,12.4231
S0_3,11.8143
S1_1,12.3334
S1_2,12.4066
S1_3,12.3518
S2_1,10.802
S2_2,10.7113
S2_3,10.0527
S3_1,11.0941
S3_2,11.3506
S4_1,11.5921
S4_2,10.6916
S4_3,10.9559
S5_1,10.1889
S5_2,9.4666
S5_3,10.6614
S6_1,10.0683
S6_2,7.6389999999999985
S6_3,9.5814
S6/t_1,9.3399
S6/t_2,7.5616
S6_4,9.1266
S6_5,9.5931
S6_6,10.007
S7_4,9.7226
S7_5,9.4611
S7_6,9.9983
S8_4,9.3591
S8_5,9.2661
G135_1,14.2549
G135_3,12.0982
G150_1,13.515999999999998
G150_2,14.4397
G150_3,14.1461
G180_1,13.7016
G180_2,14.1573
G180_3,13.3498
C30_1,11.8136
C30_2,12.3796
C90_1,10.453
C90_2,10.4099
BI_1,12.2677
BI_2,12.6302
BC_2,11.4678
BC/t_1,10.4224
BC/t_2,10.8262
BC_1,10.9134
Sw_1,10.8772
Sw_2,11.9551
BT_1,10.6186
BT_2,10.0798
B36_1,11.533
B36_2,10.9919
B60_1,11.2984
B60_2,11.2917
M9exp_1,12.7653
M9exp_2,12.5312
M9exp_3,12.404000000000002
M9tran_1,11.8087
M9tran_2,11.475
M9tran_3,12.4333
M9stat_1,9.1939
M9stat_2,9.2627
M9stat_3,8.8582
M+G_1,11.3464
M+G_2,12.4704
M+G_3,12.0189
Glu_1,12.6014
Glu_2,11.9764
Glu_3,12.3019
Fru_1,12.0798
Fru_2,12.3331
Fru_3,11.8212
Mal_1,12.0466
Mal_2,11.2688
Mal_3,11.8132
G+S_2,11.278
G+S_3,11.5488
Pyr_1,10.286
Pyr_2,11.6096
Pyr_3,10.5662
Gly_1,10.4202
Gly_2,11.4046
Gly_3,9.2352
Glucon_1,10.9294
Glucon_2,11.2844
Glucon_3,9.8923
aero_1,13.8953
aero_2,12.6844
aero_3,13.5587
nit_1,12.0788
nit_2,12.1271
nit_3,12.0291
ferm_1,11.4592
ferm_2,11.9534
ferm_3,12.0448
T-5.40H_1,12.8869
T-4.40H_1,12.8399
T-3.40H_1,12.5727
T-2.40H_1,12.1415
T-1.40H_1,12.2785
T-1.10H_1,11.9585
T-0.40H_1,12.3186
T0.0H_1,11.5631
T0.30H_1,10.2194
T1.0H_1,10.1506
T1.30H_1,10.1446
T2.0H_1,9.6471
T2.30H_1,10.5477
T3.0H_1,10.5297
T3.30H_1,10.817
T4.0H_1,10.8345
T5.0H_1,10.1351
HPh_1,12.6087
HPh_2,12.4673
HPh_3,12.4203
LPh_1,12.6997
LPh_2,13.6851
LPh_3,13.0546
LPhT_1,12.0913
LPhT_2,11.9381
LPhT_3,12.407
SMMPr_1,12.0453
SMMPr_2,12.3687
SMMPr_3,12.4542
HiTm_1,11.4958
HiTm_2,11.3076
HiTm_3,10.8612
LoTm_1,13.2165
LoTm_2,12.9065
LoTm_3,12.98
HiOs_1,11.7007
HiOs_2,11.4728
HiOs_3,11.3368
BMM_1,13.0651
BMM_2,12.5598
BMM_3,11.649
Heat_1,11.3468
Heat_2,10.9907
Heat_3,10.8098
Cold_1,13.0629
Cold_2,10.6022
Cold_3,10.164
Etha_1,8.334
Etha_2,8.3954
Etha_3,8.0703
SMM_1,12.5384
SMM_2,12.4609
SMM_3,12.2637
Salt_1,11.2916
Salt_2,11.3966
Salt_3,11.4985
Mt0_1,13.3195
Mt0_3,14.015999999999998
M0t45_1,11.3145
M0t45_2,13.2669
M0t45_3,12.5058
M0t90_1,9.4244
M0t90_2,11.3147
M0t90_3,10.5566
M40t45_1,11.341
M40t45_2,10.2769
M40t45_3,12.6801
M40t90_1,10.2414
M40t90_2,11.178
M40t90_3,10.9804
dia0_1,13.2192
dia0_2,13.5191
dia0_3,13.2766
dia5_1,10.2251
dia5_2,11.6801
dia5_3,11.7211
dia15_1,14.4104
dia15_2,14.5097
dia15_3,11.2506
Diami_1,12.1958
Diami_2,12.8051
Diami_3,12.6581
Paraq_1,13.5009
Paraq_2,14.59
Paraq_3,12.9655
H2O2_1,13.9645
H2O2_2,14.2981
H2O2_3,13.7037
Oxctl_1,12.1989
Oxctl_2,12.6893
Oxctl_3,13.8385
GM-0.1_1,11.2543
GM-0.2_1,10.395
GM+5_1,10.4176
GM+15_1,11.8761
GM+25_1,12.4789
GM+45_1,12.2378
GM+60_1,12.3923
GM+90_1,11.2199
GM+120_1,9.7938
GM+150_1,10.9723
GM-0.1_2,11.8348
GM-0.2_2,11.212
GM+5_2,11.8617
GM+10_2,10.5518
GM+15_2,11.1816
GM+25_2,12.0432
GM+45_2,11.1661
GM+60_2,10.2932
GM+90_2,11.1669
GM+150_2,10.9631
GM-0.1_3,12.0093
GM-0.2_3,11.6446
GM+5_3,11.8876
GM+10_3,10.7382
GM+15_3,11.9811
GM+25_3,10.4656
GM+45_3,10.1989
GM+60_3,10.3923
GM+90_3,11.1491
GM+120_3,10.9746
GM+150_3,10.6898
MG-0.1_1,11.717
MG+5_1,11.6366
MG+10_1,12.5906
MG+15_1,11.8132
MG+25_1,11.9327
MG+45_1,12.5804
MG+120_1,9.8104
MG+150_1,11.0065
MG-0.1_2,11.0238
MG-0.2_2,11.3845
MG+5_2,10.4279
MG+10_2,12.1261
MG+15_2,12.0536
MG+25_2,11.9193
MG+45_2,10.4692
MG+60_2,10.8006
MG+90_2,11.3671
MG+120_2,10.8389
MG-0.1_3,12.8602
MG-0.2_3,11.4391
MG+5_3,11.2446
MG+10_3,10.2935
MG+15_3,12.8581
MG+25_3,12.2215
MG+45_3,12.5489
MG+60_3,10.970999999999998
MG+90_3,12.0883
MG+120_3,11.1984
MG+150_3,11.9294
