,ompN
Cr_1,0.002670249693424916
Cr_2,0.009712333865228613
Cr_3,0.014564807656139862
Cr_4,0.011608451315884194
Cr_5,0.0028830629443098122
Cr_6,0.00045297761454475734
Fe_1,-0.016011902322195487
Fe_2,-0.03063550856855412
Fe_3,-0.03969012864478293
Fe_4,-0.0458826610065768
Fe_5,-0.04385118429909835
Fe_6,-0.040807716033662685
Cd_1,-0.0020875721562256654
Cd_2,0.0007398786937072295
Cd_3,0.0010369154239450989
Cd_4,0.005281650774026226
Cd_5,-0.007086431007135766
Cd_6,-0.009787162802499569
Zn_1,0.0743356583657439
Zn_2,0.11193092718630726
Zn_3,0.14674708831370845
Zn_4,0.13472683505142266
Zn_5,0.2341456094423477
Zn_6,0.2819938938937361
Cu_1,0.004536377812167051
Cu_2,0.014864925362810047
Cu_3,0.0197098691338431
Cu_4,0.018543855536538974
Cu_5,0.0180805699802351
Cu_6,0.01816941873758121
Pb_1,0.003297530691334147
Pb_2,0.002802266557012205
Pb_3,0.003599214453471142
Pb_4,0.009473740976798813
Pb_5,0.009669435834346
Pb_6,0.01173901383397755
