sample,new_2593286_2594087
LBexp_1,7.2599
LBexp_2,7.2031
LBexp_3,7.4932
LBtran_1,7.1927
LBtran_2,7.069
LBtran_3,7.2976
LBstat_1,7.3919
LBstat_2,7.8031
LBstat_3,7.4559
LBGexp_1,7.2191
LBGexp_2,7.1576
LBGexp_3,7.5156
LBGtran_2,7.4905
LBGtran_3,7.3362
LBGstat_1,7.268
LBGstat_2,7.1592
LBGstat_3,7.5713
S0_1,7.2271
S0_2,7.0255
S0_3,7.59
S1_1,7.4513
S1_2,7.4507
S1_3,6.6346
S2_1,7.7462
S2_2,7.297999999999999
S2_3,7.1581
S3_1,8.9366
S3_2,8.4725
S4_1,10.1005
S4_2,9.116
S4_3,8.8859
S5_1,10.5601
S5_2,10.5775
S5_3,10.7504
S6_1,11.527
S6_2,8.1383
S6_3,11.6991
S6/t_1,11.4229
S6/t_2,7.9022
S6_4,10.4271
S6_5,11.0103
S6_6,10.8141
S7_4,10.6223
S7_5,10.4265
S7_6,10.7076
S8_4,10.4288
S8_5,9.4951
G135_1,8.0238
G135_3,8.1349
G150_1,7.4938
G150_2,7.0611
G150_3,7.865
G180_1,7.4743
G180_2,7.1252
G180_3,7.8729
C30_1,9.5884
C30_2,10.3977
C90_1,9.4212
C90_2,7.6441
BI_1,7.2093
BI_2,7.3962
BC_2,7.3706
BC/t_1,9.0193
BC/t_2,9.6114
BC_1,7.3567
Sw_1,8.8224
Sw_2,7.3243
BT_1,8.5238
BT_2,8.2474
B36_1,7.9127
B36_2,8.3479
B60_1,7.3752
B60_2,8.5434
M9exp_1,6.9861
M9exp_2,6.9475
M9exp_3,6.8146
M9tran_1,7.2412
M9tran_2,7.255
M9tran_3,7.0439
M9stat_1,7.8543
M9stat_2,7.8388
M9stat_3,7.542999999999998
M+G_1,9.2091
M+G_2,7.7202
M+G_3,7.8987
Glu_1,8.1262
Glu_2,7.5632
Glu_3,7.8828
Fru_1,9.235
Fru_2,9.0886
Fru_3,7.391
Mal_1,7.7907
Mal_2,9.0115
Mal_3,7.5185
G+S_2,9.2863
G+S_3,8.913
Pyr_1,8.9805
Pyr_2,9.5297
Pyr_3,9.3511
Gly_1,7.9259
Gly_2,8.8516
Gly_3,8.9321
Glucon_1,8.8914
Glucon_2,8.3766
Glucon_3,8.1567
aero_1,7.5363
aero_2,7.3994
aero_3,7.0459
nit_1,8.9958
nit_2,7.7222
nit_3,8.0611
ferm_1,8.5203
ferm_2,7.5017
ferm_3,8.3536
T-5.40H_1,7.1133
T-4.40H_1,7.27
T-3.40H_1,7.0917
T-2.40H_1,7.0499
T-1.40H_1,6.9818
T-1.10H_1,6.9514
T-0.40H_1,6.6639
T0.0H_1,6.5794
T0.30H_1,7.5646
T1.0H_1,7.3026
T1.30H_1,7.5767
T2.0H_1,7.8073
T2.30H_1,7.5144
T3.0H_1,7.4224
T3.30H_1,7.959
T4.0H_1,8.1176
T5.0H_1,8.2972
HPh_1,7.5812
HPh_2,7.141
HPh_3,8.2496
LPh_1,7.249
LPh_2,6.9751
LPh_3,7.697999999999999
LPhT_1,7.6148
LPhT_2,7.3027
LPhT_3,7.7282
SMMPr_1,7.1212
SMMPr_2,7.269
SMMPr_3,7.3236
HiTm_1,7.9928
HiTm_2,7.4932
HiTm_3,7.4428
LoTm_1,9.2385
LoTm_2,9.2335
LoTm_3,9.5222
HiOs_1,7.2601
HiOs_2,8.5154
HiOs_3,7.6933
BMM_1,6.6375
BMM_2,6.7302
BMM_3,7.4709
Heat_1,7.5555
Heat_2,6.9926
Heat_3,7.6524
Cold_1,6.9488
Cold_2,7.5347
Cold_3,7.7139
Etha_1,7.4834
Etha_2,7.6818
Etha_3,7.2455
SMM_1,7.5881
SMM_2,7.5178
SMM_3,7.0949
Salt_1,7.5383
Salt_2,7.4135
Salt_3,7.227
Mt0_1,7.2981
Mt0_3,7.3116
M0t45_1,6.9447
M0t45_2,7.6675
M0t45_3,7.0152
M0t90_1,7.3044
M0t90_2,7.1156
M0t90_3,6.9269
M40t45_1,7.245
M40t45_2,7.3761
M40t45_3,6.7032
M40t90_1,7.0259
M40t90_2,6.7555
M40t90_3,6.9282
dia0_1,6.9868
dia0_2,7.0915
dia0_3,6.8021
dia5_1,7.0198
dia5_2,7.3056
dia5_3,6.9769
dia15_1,6.805
dia15_2,7.0568
dia15_3,7.3192
Diami_1,7.4259
Diami_2,6.9708
Diami_3,7.6351
Paraq_1,7.6257
Paraq_2,6.9944
Paraq_3,7.0767
H2O2_1,7.0055
H2O2_2,6.9284
H2O2_3,7.1746
Oxctl_1,7.6528
Oxctl_2,7.6357
Oxctl_3,7.3459
GM-0.1_1,6.9699
GM-0.2_1,7.4116
GM+5_1,6.7661
GM+15_1,6.6996
GM+25_1,6.7033
GM+45_1,7.0286
GM+60_1,6.6696
GM+90_1,6.9588
GM+120_1,7.657
GM+150_1,7.4091
GM-0.1_2,7.0212
GM-0.2_2,7.3155
GM+5_2,6.9381
GM+10_2,6.7473
GM+15_2,7.6428
GM+25_2,6.8482
GM+45_2,6.7975
GM+60_2,6.8253
GM+90_2,7.5272
GM+150_2,6.6748
GM-0.1_3,7.2223
GM-0.2_3,6.4674
GM+5_3,6.9025
GM+10_3,6.8739
GM+15_3,7.1142
GM+25_3,7.1045
GM+45_3,7.6384
GM+60_3,7.2605
GM+90_3,7.4254
GM+120_3,7.9754
GM+150_3,7.3033
MG-0.1_1,6.6836
MG+5_1,7.4494
MG+10_1,6.7025
MG+15_1,7.049
MG+25_1,6.8954
MG+45_1,7.4914
MG+120_1,7.4832
MG+150_1,7.1963
MG-0.1_2,6.3315
MG-0.2_2,7.2454
MG+5_2,6.7154
MG+10_2,6.8072
MG+15_2,7.2908
MG+25_2,6.9972
MG+45_2,6.9274
MG+60_2,7.0352
MG+90_2,6.4616
MG+120_2,6.9095
MG-0.1_3,6.8738
MG-0.2_3,7.3989
MG+5_3,7.3039999999999985
MG+10_3,7.1034
MG+15_3,7.4166
MG+25_3,7.0229
MG+45_3,6.9492
MG+60_3,7.2598
MG+90_3,6.8312
MG+120_3,6.9699
MG+150_3,7.2226
