,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,ALE__GalactoseA5,-4.9363625689560315,0.011408193402741462,2.0,0.0,-4.944429379872198,1.0,-4.928295758039866,,,,
1,ALE__GalactoseA6,-18.889675639748738,0.2473040915977229,2.0,2.0,-18.71480523956481,3.0,-19.06454603993267,,,,
2,ALE__GalactoseA8,-17.247077841803033,0.5960427165414388,2.0,4.0,-16.82561199505973,5.0,-17.668543688546336,,,,
3,ALE__IL_Control,-3.7258129914619076e-10,3.584371911772267,4.0,6.0,-2.7454424061661307,7.0,5.175581835323143,8.0,-0.4193700735585446,9.0,-2.010769357088793
4,ALE__IL_TEOH_OAc,5.87048470109052,0.7373968310573991,2.0,10.0,6.391903000756678,11.0,5.349066401424363,,,,
5,ALE__IL_TEA_HS,0.07275665580349333,3.0946130969922905,2.0,12.0,2.260978561835445,13.0,-2.1154652502284583,,,,
6,ALE__IL_Mixed,3.5050467327926476,0.13703967126717204,2.0,14.0,3.60194841363724,15.0,3.408145051948055,,,,
7,ALE__IL_PP5350,-18.20791729806296,1.3033937342707504,2.0,16.0,-19.129555846121864,17.0,-17.286278750004055,,,,
8,ALE__IL_T8,-7.785307752421142,0.7699534347248015,2.0,18.0,-8.329747047312923,19.0,-7.240868457529361,,,,
9,ALE__IL_T9,-17.789211310762973,0.11187234944407538,2.0,20.0,-17.86831700768215,21.0,-17.710105613843798,,,,
10,ALE__IL_Control2,-16.030030766560024,2.1896862816952147,2.0,22.0,-14.48168874810218,23.0,-17.578372785017866,,,,
11,ALE__IL_Glc+Ace,-1.441874085061988,0.3534054617711392,2.0,24.0,-1.6917694835887238,25.0,-1.1919786865352524,,,,
12,ALE__XyloseA1,5.409197821607693,0.07718520539614773,2.0,26.0,5.3546196394648,27.0,5.463776003750585,,,,
13,ALE__XyloseA2,0.06830227347563306,0.3724474619830232,2.0,28.0,0.3316623994795476,29.0,-0.1950578525282815,,,,
14,ALE__XyloseA3,-2.1286161887703505,0.1349678850816024,2.0,30.0,-2.224052895553958,31.0,-2.0331794819867426,,,,
15,ALE__XyloseA4,1.2561245576284752,0.12843935859274924,2.0,32.0,1.3469448990606587,33.0,1.1653042161962914,,,,
16,Aromatic__Coumarate,18.395373623758406,2.5004900076537218,3.0,34.0,20.869978020862185,35.0,18.446364903709032,36.0,15.869777946704009,,
17,Aromatic__Coumarate+ferulate,19.641515477072932,0.6744949807653443,3.0,37.0,19.09127654621389,38.0,19.4392762531472,39.0,20.393993631857708,,
18,Aromatic__Ferulate,18.397713519493873,1.0376030956076734,3.0,40.0,19.4133690289582,41.0,18.44029751843862,42.0,17.339474011084796,,
19,Aromatic__Glucose,-2.0219973843419817e-10,2.9736461136683605,3.0,43.0,-1.30411628745919,44.0,3.4028819729941264,45.0,-2.098765686141536,,
20,Bioreactor1__24h,2.5376034606949815e-11,2.598414846504164,2.0,46.0,-1.8373567582735204,47.0,1.8373567583242725,,,,
21,Bioreactor2__S_0min,1.5116796703296131e-10,5.121407939708365,3.0,48.0,-1.712742912465153,60.0,5.758279561612851,72.0,-4.045536648694195,,
22,Bioreactor2__S_15min,-1.452877126337337,1.546172979705099,3.0,49.0,0.2689240022616585,61.0,-1.9048748435734244,73.0,-2.722680537700245,,
23,Bioreactor2__P1_15min,-2.9674282411837773,2.01499811757122,3.0,50.0,-0.6407365508046203,62.0,-4.140610104673242,74.0,-4.120938068073471,,
24,Bioreactor2__P3_15min,-0.7408983880884952,0.8557069108793007,3.0,51.0,0.1935412467327381,63.0,-0.9299972893799432,75.0,-1.4862391216182804,,
25,Bioreactor2__P5_15min,3.8297468280709537,1.2491920323012367,3.0,52.0,5.266565251321607,64.0,3.221543548774715,76.0,3.001131684116539,,
26,Bioreactor2__S_1h,-1.0496077952989598,2.4988038246940145,3.0,53.0,1.6856478862553457,65.0,-3.2127246816946577,77.0,-1.621746590457567,,
27,Bioreactor2__S_3h,1.4584388543633413,0.885784404557784,3.0,54.0,2.18603808177566,66.0,0.4720932306631129,78.0,1.717185250651251,,
28,Bioreactor2__S_9h,3.1072739783020515,0.5916783740803842,3.0,55.0,3.767642192319872,67.0,2.928808903687209,79.0,2.6253708388990726,,
29,Bioreactor2__S_25h,2.3273993946851146,1.61441977490484,3.0,56.0,3.3527311430123508,68.0,3.1630184733441387,80.0,0.4664485676988546,,
30,Bioreactor2__P1_25h,2.1048833438507857,0.26709866000185817,3.0,57.0,2.241134931085276,69.0,1.797136343102682,81.0,2.276378757364399,,
