,A,Lrp
R2,,0.4241680707842903
xmin,,-3.3317966780000012
xmid,,
xmax,,0.9569347599999992
ystart,,-24.708133107268125
yend,,3.4559315423267685
control__wt_glc__1,-0.0952369397723716,-0.011641710000001028
control__wt_glc__2,0.0952369397724055,0.01164170999999925
fur__wt_dpd__1,-9.7906443560147,-0.6940244830000015
fur__wt_dpd__2,-10.223676562392251,-1.072648193000001
fur__wt_fe__1,1.2263815879679334,-0.29271737000000186
fur__wt_fe__2,1.0457252623124134,-0.3638154000000018
fur__delfur_dpd__1,-13.601968865268391,-0.3755461500000017
fur__delfur_dpd__2,-13.177082385149523,-0.42726524000000055
fur__delfur_fe2__1,-0.5494063339155253,-0.4071929400000016
fur__delfur_fe2__2,-0.6259310247982672,-0.3888872200000009
acid__wt_ph5__1,-1.1194865978815982,-0.09708397000000167
acid__wt_ph5__2,-0.6855648986248234,-0.09599975000000073
acid__delgadx_ph5__2,-0.7444261354162843,-0.2525905400000017
acid__delgadw_ph5__1,-0.5568905085671387,-0.20636768000000136
acid__delgadw_ph5__2,-1.164744761558287,-0.13596409000000165
acid__delgade_ph5__1,-0.8585116179441211,-0.03282263000000185
acid__delgade_ph5__2,-0.6621069582256919,-0.08436744000000118
oxidative__wt_pq__1,-1.973725661686148,-0.3174906800000006
oxidative__wt_pq__2,-3.172867835847665,-0.2652203200000009
oxidative__deloxyr_pq__1,-1.0064573327305104,-0.09725503000000124
oxidative__deloxyr_pq__2,-1.3786660569090257,-0.14415623000000188
oxidative__delsoxr_pq__1,-3.872692885172365,-0.4801003560000012
oxidative__delsoxr_pq__2,-3.618687945558548,-0.4378053500000014
oxidative__delsoxs_pq__1,-4.911762676447098,-0.3665641600000011
oxidative__delsoxs_pq__2,-4.680718523295824,-0.2735768400000005
nac_ntrc__wt_csn__1,-4.839409268218791,0.2274395999999985
nac_ntrc__wt_csn__2,-5.104863992578212,0.3078409099999995
nac_ntrc__wt_cytd__1,-0.4827982886206616,0.12546446999999894
nac_ntrc__wt_cytd__2,-0.761575214565668,0.14888169999999867
nac_ntrc__wt_gln__1,-2.351069887979944,0.06384898999999855
nac_ntrc__wt_gln__2,-2.147445868400579,0.03403800999999973
nac_ntrc__bw_delnac_csn__1,-4.230083922726096,-0.26887009000000184
nac_ntrc__bw_delnac_csn__2,-3.1797623821695176,-0.4971630210000004
nac_ntrc__bw_delnac_cytd__1,0.3985834975677736,0.3625208999999981
nac_ntrc__bw_delnac_cytd__2,0.5712522820165888,0.31627000999999844
nac_ntrc__bw_delnac_gln__1,-0.6728948440799537,0.20808447999999835
nac_ntrc__bw_delnac_gln__2,-0.923652556486013,0.1513593999999987
nac_ntrc__bw_delnac_nh4__1,-1.3162630872262897,0.2307366199999983
nac_ntrc__bw_delnac_nh4__2,-0.9007444500436042,0.13001686999999862
misc__wt_no_te__1,0.095971079662965,-0.3009276000000014
misc__wt_no_te__2,0.961550258005239,-0.1921471100000005
misc__bw_delcbl__1,-0.0743318598958841,-0.3094116300000014
misc__bw_delcbl__2,-0.3216455537595994,-0.2649644800000015
misc__bw_delfabr__1,0.1309156319031061,-0.2603695600000009
misc__bw_delfabr__2,0.261884833939804,-0.2737464100000011
