,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,AB0057_PGcoculture__PGAB,-1.6316064020999999,1.346843860066912,3.0,0.0,-2.9241418734,1.0,-0.23633771520000002,2.0,-1.7343396177,,
1,AB0057_PGcoculture__AB ,0.0,0.3143869533124647,4.0,3.0,-0.0011185758,4.0,-0.24090818460000002,5.0,-0.2023988863,6.0,0.4444256467
2,AB0057_PGcoculture__ABPG,-0.041345119050000004,0.17762655496893484,4.0,7.0,-0.0189392256,8.0,0.1543359424,9.0,-0.0237404278,10.0,-0.27703676520000003
3,AB5075_AZI__AZI_000,0.0,0.5768366386128498,2.0,11.0,-0.4078850988,17.0,0.4078850988,,,,
4,AB5075_AZI__preculture,-21.5828353309,0.056319639917998245,2.0,12.0,-21.5430113316,13.0,-21.6226593302,,,,
5,AB5075_AZI__AZI_040,-29.9508714469,0.5093447781615638,2.0,14.0,-29.5907103003,18.0,-30.3110325935,,,,
6,AB5075_AZI__AZI_028,-14.66770502365,1.89867441194261,2.0,15.0,-13.3251394717,19.0,-16.0102705756,,,,
7,AB5075_AZI__AZI_003,0.67829494035,0.12231266967185667,2.0,16.0,0.7647830585000001,20.0,0.5918068222,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,-1.1642067159666667,1.214768509911463,3.0,21.0,-1.8287555449,28.0,0.2378544404,29.0,-1.9017190434,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,-7.401486830834377e-17,1.4264723213946513,3.0,22.0,-1.5256154993000002,23.0,0.22503800810000002,24.0,1.3005774911999999,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,0.20216759493333325,1.368275127194592,3.0,25.0,-0.6517078552000001,26.0,-0.5221328658000001,27.0,1.7803435058,,
11,AB5075_VIR-O_LSO__VIR-O,-1.850371707708594e-17,1.0580981827443792,3.0,30.0,-0.7760923848,32.0,1.2052562156,34.0,-0.42916383080000003,,
12,AB5075_VIR-O_LSO__LSO,0.10052559909999999,0.298267810623977,3.0,31.0,-0.050289529900000005,33.0,-0.09221751140000001,35.0,0.4440838386,,
13,AB5075_Zinc__Control,1.4802973661668753e-16,2.347859444713533,3.0,36.0,-1.2274402394,37.0,2.7071591124000003,38.0,-1.479718873,,
14,AB5075_Zinc__Zinc,8.81396039555,0.09219123671902915,2.0,39.0,8.8791494442,40.0,8.7487713469,,,,
15,AB5075_biofilm+abx__planktonic,-1.850371707708594e-17,0.6982578290482875,3.0,41.0,0.5766043821,42.0,-0.7763693337,44.0,0.19976495160000002,,
16,AB5075_biofilm+abx__biofilm,1.5678209596000003,4.952316584853292,3.0,43.0,-4.140175813,45.0,4.7210169221000005,46.0,4.1226217697,,
17,AB5075_biofilm+abx__cip_biofilm,-1.3290972595666666,0.8828414574694777,3.0,47.0,-0.7009921901,48.0,-2.3385072961,50.0,-0.9477922925000001,,
