,-0.08809209495349574,-0.07207535041649651,-0.05605860587949729,-0.04004186134249807,-0.024025116805498847,-0.008008372268499625,0.008008372268499597,0.02402511680549882,0.04004186134249804,0.056058605879497264,0.07207535041649649,0.08809209495349571,0.10410883949049493,0.12012558402749415,0.13614232856449338,0.1521590731014926,0.16817581763849182,0.18419256217549101,0.20020930671249026,0.21622605124948951
thresh,-0.09610046722199535,0.09610046722199535,1,,,,,,,,,,,,,,,,,
unreg,0,2,6,45,318,1666,1536,247,46,8,4,3,4,3,2,3,1,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],['ald1' 'lipA2' 'ABUW_1572' 'ABUW_1574'],['ABUW_1573' 'ABUW_3779' 'ABUW_3781'],['ABUW_3780' 'acoC'],['mmsA1' 'lpdA2' 'mmsB'],['acoB'],[],['acoA'],[]
