locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
new_3276604_3276710,0.15984873700000002,S1227,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3276604_3276710
new_2415264_2415371,0.10749094000000001,S877,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2415264_2415371
new_961009_961338,0.10205842,S309,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_961009_961338
new_3227502_3227580,0.10156628200000001,S1203,5'UTR of yugF,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3227502_3227580
BSU_15069,0.098556219,ylzH,unknown,No COG category,ylzH->tmcAL,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15069
new_2100391_2100457_c,0.09488985400000001,S743,5'UTR of yozC,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2100391_2100457_c
new_4198071_4198574,0.092956382,S1574,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4198071_4198574
BSU_06033,0.09069186600000001,ydzT/1,unknown,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06033
new_490527_490638_c,0.081907796,S144,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_490527_490638_c
new_4215473_4215670,0.08129251900000001,S1583,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4215473_4215670
BSU_00080,0.080209559,yaaC,unknown,Function unknown,yaaC,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU00080
new_1932502_1932632,0.080124624,S671,5'UTR of yneT,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1932502_1932632
BSU_18899,0.079510227,yozX,unknown,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18899
BSU_06036,0.07761902700000001,ydzT/3,unknown,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06036
new_2930783_2931047,0.076206126,S1082,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2930783_2931047
new_1925540_1925623_c,0.076041128,S666,intergenic region,No COG category,,"GerE,SigK,SigE",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1925540_1925623_c
BSU_11320,0.075970697,yjzB,spore coat protein,Function unknown,yjzB,"GerE,SigK",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11320
new_1_148,0.075013957,S1,5'UTR of dnaA,No COG category,,"Spo0A,SigA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1_148
new_45224_45399_c,0.072841653,S23,5'UTR of abrB,No COG category,,"Spo0A,SigA,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_45224_45399_c
new_2549645_2549774,0.07207461700000001,S923,5'UTR of yqhH,No COG category,,SigF,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2549645_2549774
BSU_07720,0.06829919999999999,yflD,unknown,No COG category,yflD->yflA,"SigB,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU07720
new_4121082_4121165_c,0.06798831100000001,S1541,3'UTR of bglA,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4121082_4121165_c
new_2409565_2409634,0.067910334,S873,5'UTR of fer,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2409565_2409634
new_1276876_1277061_c,0.067032138,S441,intergenic region,No COG category,,SigE,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1276876_1277061_c
new_2246149_2246571,0.066660509,S804,3'UTR of yomM,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2246149_2246571
new_2600050_2600154,0.06650367,S950,5' of S950,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2600050_2600154
new_3224752_3224810,0.06611705100000001,S1199,5'UTR of yuzA,No COG category,,"SigB,SigG",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3224752_3224810
new_490639_490854,0.064903693,S145,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_490639_490854
BSU_17990,0.064898467,sspO,small acid-soluble spore protein (minor),No COG category,sspO->sspP,SigG,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17990
new_3194349_3194635,0.06469799,S1188,3'UTR of yubC,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3194349_3194635
new_1097952_1098088_c,0.06440757300000001,S362,intergenic region,No COG category,,YlxR,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1097952_1098088_c
BSU_09958,0.063193024,sscA,small spore protein,No COG category,sscA,"GerE,SigK",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09958
BSU_36790,0.061479387,ywmA,unknown,Function unknown,ywmA,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36790
BSU_07540,0.061146939000000004,yfmA,unknown,No COG category,yfmA->yflT,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU07540
new_2217691_2217966_c,0.060081889000000006,S794,intergenic region,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2217691_2217966_c
BSU_11549,0.059993501000000005,yizD,unknown,Function unknown,yizD,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11549
new_17238_17833_c,0.058594353,S9,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_17238_17833_c
BSU_08779,0.057626962000000004,ygzC,unknown,No COG category,ygzC,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08779
BSU_05899,0.057466229,ydhU/2,unknown,No COG category,"ydhU/2->ydhU/1, ydhU/2",Fur,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU05899
new_2401843_2402036,0.057330626,S869,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2401843_2402036
BSU_10230,0.05654095,yhfH,unknown,Function unknown,yhfH,YlxR,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU10230
BSU_06034,0.056471366,ydzT/2,unknown,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06034
new_3036310_3036529_c,0.055441347,S1136,independent transcript,No COG category,S1136->S1134,SigB,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3036310_3036529_c
new_2692852_2692932_c,0.055404912,S982,intergenic region,No COG category,,"SigA,SknR",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2692852_2692932_c
new_3744236_3744320_c,0.054967112000000005,S1401,5'UTR of ywpB,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3744236_3744320_c
BSU_10009,0.054919661,yhzF,unknown,No COG category,yhzF,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU10009
new_1071489_1071740,0.05440829,S347,3'UTR of sscA,No COG category,,"GerE,SigK",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1071489_1071740
new_4167624_4168153,0.05425199,S1562,intergenic region,No COG category,,"SigK,SpoIIID",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4167624_4168153
new_1071742_1072225,0.053455578000000004,S349,3'UTR of sscA,No COG category,,"GerE,SigK",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1071742_1072225
new_2664534_2664730,0.053355236,S974,5' of S975,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2664534_2664730
new_3182591_3182678_c,0.05300482,S1183,5'UTR of yuaF,No COG category,,SigW,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3182591_3182678_c
new_3170472_3171891,0.052534239,S1180,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3170472_3171891
BSU_12090,0.051910161,cotT,spore coat protein (inner),No COG category,cotT,"GerE,SigK,SigE,SpoIIID",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU12090
new_827843_827923,0.051717402,S261,intergenic region,No COG category,,SigB,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_827843_827923
new_2002172_2002505,0.051509579,S680,5'UTR of iseA,No COG category,,WalR,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2002172_2002505
new_24_297_c,0.051464143000000004,S2,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_24_297_c
new_4084590_4084742_c,0.05145851,S1528,5'UTR of iolA,No COG category,,"SigA,IolR,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4084590_4084742_c
new_347670_349525_c,0.049922487,S117,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_347670_349525_c
new_3299590_3299699,-0.051541734000000006,S1236,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3299590_3299699
