,A,CdaR
R2,,0.46281751369463275
xmin,,-4.2190319013
xmid,,-1.97816220784575
xmax,,6.9196173505
ystart,,-5.13832021569887
yend,,15.63929340787822
SRX1125282,1.7747898315000001,0.2717160057
SRX1125283,-0.0707533051,-0.1066393617
SRX1125284,0.5605951754,0.3002814312
SRX1125285,0.0051138978,-0.17711872920000002
SRX1125286,-1.2329052576,-0.3331962114
SRX1125287,-1.2466933499,-0.434629739
SRX1125288,-0.49003332850000003,-0.3150991255
SRX1125289,-0.1507733868,-0.3006933319
SRX1125290,0.3314831547,-0.3668180089
SRX1125291,-0.3884420733,-0.34110595850000003
SRX1125292,-0.6127236024,-0.499958279
SRX1125293,0.5642443754,-0.1558289495
SRX1125294,-1.284756503,0.0433831199
SRX1125295,0.060467129700000004,-0.1097074657
SRX1125296,-0.014405317800000001,-0.22511390990000002
SRX1125297,-0.40709336900000004,-0.293067464
SRX1125298,-0.1278693521,-0.0228744383
SRX1125299,0.0897109554,-0.1942822505
SRX5694250,1.0492843261,0.3983712341
SRX5694251,-11.3553001319,-1.9133201533
SRX5694252,4.1743991508,0.23301343060000002
SRX5694253,-1.402480117,-0.9123440261
SRX5694254,-1.5397419819,-0.2960290239
SRX5694255,-8.1416141997,-4.2190319013
SRX5694256,-4.6721001908,1.0375287163
SRX5694257,-3.5728182925,-1.2085641031
SRX5694258,-2.2954347374,-0.7877747328
SRX5694259,-11.6497863959,-2.6341094579
SRX5694260,2.2742695225,1.3076562369
SRX5694261,-9.4661954301,-0.3840661877
SRX5694262,-5.7614421965,-1.0238009598
SRX5694263,-0.7185292985,1.172257103
SRX5694264,1.3247392837,-0.4742150717
SRX5694265,-4.3506892869,0.4680643433
SRX5694267,-1.8465576299,-1.1343014052
SRX5694268,1.8410067909,2.0425922947
SRX5694269,0.8052809659,1.2697563906
SRX5694271,1.3956749759,0.0758899294
SRX5694273,-6.8271362461,-1.4078611341
SRX5694274,4.0769546362,2.1798547795
SRX5694275,-4.9682002147,0.051000033800000004
SRX5694276,-7.5449696261,-3.1724989503
SRX5694277,2.4593535901,1.4896678435
SRX5694278,-2.4258774904,-0.0423101031
SRX5694279,0.716865347,1.3393064138000002
SRX5694280,-4.8259064535,0.1010037351
SRX5694281,1.2039184043,1.0157635302
SRX5694282,-6.711255126,0.4203841233
SRX5694283,-5.2717391806,-0.1937569205
SRX5694284,-6.9815604984,1.0933396784
SRX5694285,-5.2381219604,-0.2786346192
SRX5694286,-4.8162595756,-0.0215051772
SRX5694287,-7.9100547424,-0.9282526857000001
SRX5694288,1.0144307574,0.2499154982
SRX5694289,-2.6899568952,-1.123671843
SRX5694290,1.1539551694,-0.2519613893
SRX5694291,-8.4249118245,-3.4952385954
SRX5694292,0.4612464281,0.9826763284000001
SRX5694293,2.0533546541,0.53304831
SRX5694294,-1.3598048564,0.1408134128
SRX5694295,-9.2798683071,-0.0074962655
SRX5694296,-2.5022620258,-1.1431044598
SRX5694297,-9.5768528736,-2.0729989232
SRX5694298,-5.7869959669,-0.2504063526
SRX5694299,0.7262045316,0.8560860857
SRX5694300,-1.1585323669,0.0484849931
SRX5694301,1.2322304847,1.0648405075
SRX5694302,3.6634629587000003,1.8816754731
SRX5694303,3.8339982088,1.6842335541
SRX5694304,-3.6461721857000002,-0.2745328247
SRX5694305,-8.5748786432,-1.6870794785
SRX5694306,0.921674333,-0.027885807000000002
SRX5694307,-6.5964659224,0.1475950107
SRX5694308,1.950430687,0.8977159691000001
SRX5694309,-8.5334436225,-1.8732557919000001
SRX5694310,-8.4318050898,-0.5836753238
SRX5694311,-8.7444036069,-2.0567385577
SRX5694312,-5.138505637,-0.9621395382000001
SRX5694313,-8.7534635457,0.2543442765
SRX5694315,-0.3415203989,1.4879045477
SRX5694317,-8.8557969249,-0.29449761
SRX5694319,-1.2753065915000001,-0.5533098924000001
SRX5694320,-7.1022423265,-2.7533610512
SRX5694321,-7.9588599437,-0.914345567
SRX5694322,-9.8553501849,-1.188826467
SRX5694323,-7.0045888942,-0.8844563714
SRX5694324,-10.0444545523,-1.9645596157
SRX5694325,-6.3524779357,-2.0632316566
SRX5694326,-3.3202606629,0.9322523339000001
SRX5694327,-8.8991911936,-0.6497308460000001
SRX5694328,0.6540719515,0.5025141373
SRX5694329,-6.6187048193999996,-0.8804568219000001
SRX5694330,-0.4083771145,0.7557004485000001
SRX5694331,0.7517205323,-0.4817522307
SRX5694332,-2.1125689057,0.7463818533000001
SRX5694334,0.0107223467,0.8849272065
SRX5694335,-4.9054525791,-1.0822330176
SRX5694336,-6.7277538194,-1.0880422899
SRX5694337,-5.234813427,1.0282538629
SRX5694338,3.0605051101,1.9388844397
SRX5694339,-0.028400861200000002,0.131048355
SRX5694340,-2.0204787078,0.9021286276
SRX5694341,-11.8679990774,-2.3178651114
SRX5694342,-6.8480379339,-0.9175550914
SRX5694343,-0.5505551953,0.6728645601000001
SRX5694344,-4.5755745678,-0.7554322343000001
SRX5694345,0.2795817736,0.351465937
SRX5694346,-5.2625245752,0.37224252350000003
