,A,GlcC,PdhR,ArcA,ihfB
R2,,0.5084330141320165,0.12667010443382087,0.06954061798844846,0.03602033453661857
xmin,,-5.997961207,-7.947651277,-9.267007604,-2.3858350260000005
xmid,,-1.2674089104985014,-1.117730273840656,-0.2483967104407668,
xmax,,2.5161412590000007,2.4049609830000005,3.5163621913034038,1.6466498449999991
ystart,,-2.764790730560187,3.4389525896781468,-1.2028759408598901,-3.494384015188105
yend,,16.958364517567723,-7.027480625304341,10.169147504678206,3.874334626369249
control__wt_glc__1,0.0835508851603927,-0.004306210999999394,-0.07620582400000052,0.03663697100000008,0.08337238499999877
control__wt_glc__2,-0.0835508851604041,0.004306211000000282,0.07620582400000052,-0.03663697100000008,-0.08337238500000055
fur__wt_dpd__1,0.9825574246338646,-0.9693893239999998,0.388628516999999,1.0583041259999997,0.7158603249999995
fur__wt_dpd__2,1.046458439382664,-1.0313947509999997,0.5117209729999992,1.1267206660000006,0.8566654449999991
fur__wt_fe__1,2.266832584266211,0.10819666700000052,-0.3930810890000007,-0.052645840000000284,-0.0769950650000002
fur__wt_fe__2,2.843816033081769,0.0540585430000009,-0.34930649499999955,-0.1298470389999995,-0.08671744500000145
fur__delfur_dpd__1,0.6214579922425888,-1.0964693299999997,0.4813537309999987,1.1226786959999997,0.6898034449999989
fur__delfur_dpd__2,0.2063368414814239,-0.9785935099999996,0.6873811950000004,1.0438290660000007,0.621869414999999
fur__delfur_fe2__1,-0.4721788765722911,-0.4534780719999994,-0.20407438199999994,0.03887232199999957,0.3658187149999996
fur__delfur_fe2__2,-0.2595218165149566,-0.3959792459999996,-0.21128722100000008,0.005759821999999914,0.33581042499999825
acid__wt_ph5__1,0.8211676413813475,-0.127573378000001,-0.29704539100000016,0.907706566,0.2842574349999989
acid__wt_ph5__2,0.7829260887936185,-0.061555368999999686,-0.3119040880000004,0.8854765760000003,0.3016573449999989
acid__delgadx_ph5__2,0.8289040111173732,-0.05291487199999967,-0.3260838070000007,0.6386470709999994,0.03620512499999862
acid__delgadw_ph5__1,1.064308574351777,-0.11998831099999928,-0.34906235500000005,0.7741884859999999,0.19517709499999825
acid__delgadw_ph5__2,1.105875179831712,-0.017641440999999425,-0.42781822900000055,0.8036499260000003,0.1831834249999993
acid__delgade_ph5__1,1.1028767132345925,0.1001080080000003,-0.2605393180000002,0.4993382329999996,0.3321859449999991
acid__delgade_ph5__2,1.4603984262762315,0.15302807800000018,-0.35429130099999995,0.4822611769999998,0.2395609849999989
oxidative__wt_pq__1,1.3410284831809816,0.5700464200000006,-0.4578373020000006,2.1614953959999994,0.9466146249999988
oxidative__wt_pq__2,1.169150547704756,0.5932907050000011,-0.4787508390000017,2.173902676000001,0.948808184999999
oxidative__deloxyr_pq__1,2.871688567045414,1.1183206680000009,-0.7092171360000004,2.1325921060000006,0.8749087249999992
oxidative__deloxyr_pq__2,2.470008500382305,1.193433827000001,-0.6351466580000018,2.155119376,0.9672342149999996
oxidative__delsoxr_pq__1,-1.0443196301305229,0.1763013080000002,-0.6996669610000001,2.1141333860000007,1.0713253449999982
oxidative__delsoxr_pq__2,-0.4941630257176678,0.16489388599999974,-0.7625320840000009,2.045519786,1.1682316949999991
oxidative__delsoxs_pq__1,-0.3135537993147379,0.5847461980000004,-0.8738887340000003,2.3445910960000003,1.1351437949999994
oxidative__delsoxs_pq__2,-0.1108282532664928,0.6653744650000011,-0.975521455,2.4052781759999995,1.020138574999999
nac_ntrc__wt_csn__1,-1.0734214749255326,-0.7186544859999993,-0.034281074999999994,0.6141077429999999,0.17254414499999982
nac_ntrc__wt_csn__2,-0.4971915318390439,-0.6280787789999991,-0.10774283900000103,0.5605477890000009,0.2130251749999985
