,-0.11916566863749761,-0.08937425147812321,-0.059582834318748806,-0.029791417159374403,0.0,0.02979141715937439,0.059582834318748806,0.08937425147812322,0.11916566863749761,0.148957085796872,0.1787485029562464,0.20853992011562084,0.23833133727499523,0.2681227544343696,0.29791417159374406,0.32770558875311845,0.35749700591249284,0.3872884230718672,0.4170798402312416,0.446871257390616
thresh,-0.1340613772171848,0.1340613772171848,9,,,,,,,,,,,,,,,,,
unreg,0,0,2,204,3412,192,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA,0,0,0,19,152,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,16,156,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and PdhR,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and GlcC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and IHF,0,0,0,1,29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, PdhR, and IHF",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, PdhR, GlcC, and IHF",0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ArcA_genes,[],[],[],"['mqo' 'glpD' 'ybfA' 'cadA' 'ybiU' 'ptsG' 'sdhC' 'nupC' 'yhjE' 'rpmC'
 'iraM' 'caiD' 'yeiQ' 'hyaE' 'betT' 'cadB' 'gatD' 'kdpA' 'betA']","['glpB' 'arcA' 'dcuB' 'dcuC' 'folE' 'rpoS' 'yieE' 'glpC' 'oppB' 'dpiB'
 'ackA' 'rplP' 'rutE' 'rutG' 'aldA' 'dsbB' 'hybF' 'puuR' 'rpsC' 'rpsQ'
 'lldD' 'yncD' 'gadE' 'yjiR' 'glpA' 'thiC' 'rsd' 'rplB' 'oppC' 'ypdA'
 'oppD' 'rplV' 'rpsS' 'fadH' 'pntA' 'hyaC' 'hybG' 'oppF' 'ssb' 'moeB'
 'sdhB' 'hybE' 'betB' 'caiC' 'caiB' 'xylR' 'rho' 'hyaD' 'rutB' 'caiT'
 'argT' 'citG' 'rstA' 'moeA' 'cydB' 'dcuA' 'nudE' 'betI' 'fadI' 'puuC'
 'uvrA' 'ybdN' 'oppA' 'cydC' 'rpsJ' 'puuB' 'putA' 'cydD' 'rplC' 'rutA'
 'citF' 'fadJ' 'igaA' 'rplW' 'yfiF' 'rmf' 'thrA' 'rplD' 'ndk' 'fadL'
 'gadX' 'xthA' 'ynaJ' 'caiA' 'ydeA' 'icd' 'hyaA' 'fadD' 'hybC' 'msrB'
 'gatA' 'pepN' 'acpP' 'hyaB' 'yejG' 'putP' 'yhgE' 'dctA' 'puuD' 'phoH'
 'rhaT' 'cycA' 'fadE' 'acnA' 'hybD' 'caiE' 'fumC' 'lldR' 'citE' 'pldA'
 'puuA' 'rutD' 'treC' 'gatC' 'rutC' 'treB' 'tpx' 'gatB' 'hybB' 'pncB'
 'gadA' 'yncE' 'sdhD' 'sdhA' 'dpiA' 'fumA' 'citC' 'manA' 'hyaF' 'acnB'
 'fumB' 'feoA' 'sstT' 'gatZ' 'yigI' 'ydgC' 'puuP' 'citX' 'appC' 'argR'
 'gatY' 'appY' 'ompW' 'mdh' 'rutF' 'puuE' 'lldP' 'kgtP' 'hybA' 'glpE'
 'appA' 'cydA']",['ymjE' 'fadB' 'potF' 'fadA' 'hybO' 'csiD' 'sthA' 'appB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PdhR_genes,[],[],[],['pdhR' 'tomB'],"['ftsL' 'fecE' 'fecB' 'hha' 'mraY' 'murD' 'ddlB' 'murF' 'mraZ' 'fecA'
 'ftsW' 'rsmH' 'lpxC' 'murE' 'ftsA' 'murC' 'hemL' 'fecD' 'murG' 'ftsQ'
 'ftsZ' 'fecC' 'ftsI']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],[],[],"['flhD' 'flhC' 'ilvM' 'tdcA' 'nirD' 'dcuD' 'paaD' 'fliA' 'uspB' 'hycF'
 'ilvA' 'ilvG' 'cysG' 'nrfB' 'tdcD' 'atoE']","['gcd' 'nirC' 'rtcB' 'ilvD' 'yiaK' 'ilvE' 'phoU' 'dmsA' 'ompF' 'ompR'
 'ulaA' 'narH' 'sodB' 'plaR' 'rseD' 'csgD' 'atoA' 'tdcE' 'hycH' 'tcyJ'
 'hpt' 'pstA' 'narJ' 'osmE' 'sgbE' 'paaZ' 'fis' 'sufC' 'rpoE' 'sufB'
 'nrfA' 'fimG' 'ulaG' 'tyrP' 'hycD' 'yiaL' 'pspD' 'fhlA' 'fimH' 'patA'
 'rseC' 'pstB' 'norV' 'fimC' 'sufE' 'hycA' 'dmsB' 'cysH' 'ulaD' 'sufS'
 'tdcC' 'proW' 'fliZ' 'hycE' 'ssuE' 'sufD' 'dmsC' 'fimI' 'htrE' 'folA'
 'pstC' 'dusB' 'yiaN' 'yeiL' 'rseA' 'nrfC' 'yadV' 'rseB' 'paaA' 'atoD'
 'nrfE' 'dppB' 'hycC' 'lyxK' 'tdcB' 'atoB' 'nrfD' 'hipB' 'paaE' 'yjbG'
 'ulaC' 'proV' 'ibpB' 'hycI' 'hipA' 'hypC' 'hypE' 'proX' 'narG' 'nrfF'
 'ulaF' 'tdcG' 'sufA' 'paaC' 'dppC' 'carB' 'hycB' 'cysI' 'hypA' 'uspA'
 'hycG' 'hypB' 'pstS' 'gltB' 'rtcA' 'paaG' 'fimA' 'hypD' 'norW' 'ssuB'
 'tdcF' 'yjbE' 'yiaM' 'envZ' 'csgE' 'gltF' 'pspB' 'glnH' 'rpoH' 'pspA'
 'nrfG' 'dps' 'yiaO' 'dppD' 'paaH' 'narI' 'ompC' 'acs' 'ihfA' 'hemF'
 'pspC' 'amiA' 'fimB' 'gltD' 'ihfB' 'paaF' 'nirB' 'cysJ' 'yjbH' 'glnP'
 'yjbF' 'glpQ' 'glnQ' 'ulaE' 'fimD' 'mtr' 'fimF' 'ssuC' 'ssuA' 'dppF'
 'pspG' 'csgF' 'csgG' 'sra' 'ssuD' 'paaI']","['sgbU' 'adiA' 'pspE' 'ulaB' 'narK' 'glpT' 'paaB' 'sgbH' 'actP' 'yjcH'
 'paaK' 'paaJ']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
