,yejA
Cr_1,0.001255868353657218
Cr_2,0.003092550969095868
Cr_3,0.006970874314435771
Cr_4,0.012559856562869127
Cr_5,0.01499759312789994
Cr_6,0.014728780483753038
Fe_1,-0.011095653202253936
Fe_2,-0.026759004226227817
Fe_3,-0.032739891756642166
Fe_4,-0.03611630396124662
Fe_5,-0.03417654513414984
Fe_6,-0.02960797223927365
Cd_1,0.00019844727560223852
Cd_2,0.0008563522211874438
Cd_3,0.003098475381038665
Cd_4,0.0030629736397807953
Cd_5,-0.0007254260467587301
Cd_6,0.002664637582134546
Zn_1,-0.0009870830064802275
Zn_2,0.0015106844064301725
Zn_3,0.013388936596023792
Zn_4,0.032506710597096186
Zn_5,0.05058900312503041
Zn_6,0.06738017216081411
Cu_1,0.005759597022885381
Cu_2,0.012202821489021704
Cu_3,0.01935338931173813
Cu_4,0.026599256789390912
Cu_5,0.034310794914029955
Cu_6,0.043414289366551166
Pb_1,0.0016342524826265215
Pb_2,0.00424226357407018
Pb_3,0.011879953243475223
Pb_4,0.0234723405974435
Pb_5,0.036922951490284135
Pb_6,0.05440372412325969
