,fucR
Cr_1,0.004108731062031154
Cr_2,0.00778400662790023
Cr_3,0.011153567328583271
Cr_4,0.012471777217643835
Cr_5,0.011077591561076638
Cr_6,0.0058538795983539395
Fe_1,-0.030487061355279524
Fe_2,-0.06868439408301835
Fe_3,-0.08388902520131551
Fe_4,-0.09081444530665964
Fe_5,-0.11322729815943125
Fe_6,-0.11957716266884197
Cd_1,0.004556008499894086
Cd_2,0.009792291583150769
Cd_3,0.015571038805612588
Cd_4,0.019742263757480824
Cd_5,0.022325186552156977
Cd_6,0.02756168040013513
Zn_1,0.04046118522119654
Zn_2,0.07043728877938056
Zn_3,0.08722559257018743
Zn_4,0.1046727228454988
Zn_5,0.11686771649699702
Zn_6,0.20535799931573048
Cu_1,0.0002689426221413191
Cu_2,0.0029275324082239725
Cu_3,0.013434981478772168
Cu_4,0.024036773462300712
Cu_5,0.03331487764609195
Cu_6,0.04792630811417264
Pb_1,0.007547851592712007
Pb_2,0.029486373642773563
Pb_3,0.04678436004935309
Pb_4,0.06857413553708543
Pb_5,0.0802700435264376
Pb_6,0.10046534133027588
