,-0.06558984725,-0.05684453428333333,-0.04809922131666666,-0.039353908349999994,-0.030608595383333326,-0.021863282416666657,-0.013117969449999989,-0.00437265648333332,0.004372656483333348,0.013117969450000017,0.021863282416666685,0.030608595383333354,0.03935390835000002,0.04809922131666669,0.05684453428333336,0.06558984725000003,0.0743351602166667,0.08308047318333336,0.09182578615000003,0.1005710991166667
thresh,-0.0524718778,0.0524718778,1,,,,,,,,,,,,,,,,,
unreg,1,0,3,5,55,238,1022,1950,1479,650,285,124,55,23,11,2,0,1,1,1
unreg_genes,['aspA'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['yegD' 'fis' 'rimP' 'rplU' 'purB' 'PSPTO_2052' 'rpiA' 'fnr-1' 'rpsU'
 'rho' 'PSPTO_4653']",['PSPTO_4803' 'PSPTO_3487'],[],['PSPTO_3067'],['PSPTO_4613'],['PSPTO_4611']
