,A,FucR,ExuR
R2,,0.44328489537262217,0.07454854524060495
xmin,,3.86283694,6.5066142488
xmid,,6.2093274914328855,7.477902026393082
xmax,,10.2270986457,9.8339921614
ystart,,1.0703019505595286,1.9236030113693303
yend,,19.676882600660186,7.7936021447568145
control__wt_glc__1,-0.1338513081,5.8826850027,7.4675650945
control__wt_glc__2,0.1338513081,5.4851047983,7.396534194
fur__wt_dpd__1,1.6199365926,5.3527368438,7.715001797
fur__wt_dpd__2,1.5050690001,5.358972667,7.9104995862
fur__wt_fe__1,-0.24837213760000001,5.23298901,7.0320070968
fur__wt_fe__2,0.0715981774,5.5142470348,6.966966032
fur__delfur_dpd__1,0.4412514158,5.3427108075,7.4787610477
fur__delfur_dpd__2,-0.23929879580000002,5.1755386136,7.5359358996
fur__delfur_fe2__1,-0.8269434917,5.8583715199,6.8349517395
fur__delfur_fe2__2,-0.570110038,5.6611251904,6.7720041758
acid__wt_ph5__1,0.5444021557000001,5.6184670434,7.4604865705
acid__wt_ph5__2,0.3929829234,5.7118070542,7.448461491
acid__delgadx_ph5__1,0.4941801864,5.3749822868,7.2126101316
acid__delgadx_ph5__2,-0.2221875456,5.7467968202,7.6245607873
acid__delgadw_ph5__1,-0.1407942847,5.5576869225,7.3942304739
acid__delgadw_ph5__2,0.060835027300000004,5.7263989475,7.4254630314
acid__delgade_ph5__1,0.45448268350000004,5.5630493194,7.4800012325
acid__delgade_ph5__2,0.8170487448,5.593242955,7.4990245596000005
oxidative__wt_pq__1,4.5189264865,5.6110872431,9.4690282463
oxidative__wt_pq__2,4.1206323417,5.5220895774,9.4556282309
oxidative__deloxyr_pq__1,2.0091848827,6.2034847768,9.2727344919
oxidative__deloxyr_pq__2,2.6045798502,6.2368635917,9.3181371975
oxidative__delsoxr_pq__1,4.8758931183000005,6.1040904162,9.8339921614
oxidative__delsoxr_pq__2,5.3906411696,5.9870395958,9.7156642982
oxidative__delsoxs_pq__1,4.2500606012,5.8107956051,9.7912404521
oxidative__delsoxs_pq__2,5.1112844871,5.8552373509,9.7812733082
nac_ntrc__wt_csn__1,1.0650002144,5.7616321395,8.0736447257
