sample,BSU29460
LBexp_1,11.0267
LBexp_2,11.0356
LBexp_3,10.687
LBtran_1,9.4202
LBtran_2,9.6267
LBtran_3,9.8099
LBstat_1,8.8337
LBstat_2,8.4072
LBstat_3,8.38
LBGexp_1,11.4769
LBGexp_2,12.4218
LBGexp_3,11.2894
LBGtran_2,11.7565
LBGtran_3,12.3408
LBGstat_1,9.3533
LBGstat_2,9.0599
LBGstat_3,9.9982
S0_1,9.5092
S0_2,9.9213
S0_3,9.7765
S1_1,9.9274
S1_2,9.6256
S1_3,9.6855
S2_1,9.111
S2_2,8.8009
S2_3,9.1348
S3_1,8.7517
S3_2,8.6722
S4_1,9.1447
S4_2,8.8933
S4_3,8.7253
S5_1,9.0096
S5_2,9.1558
S5_3,9.1287
S6_1,8.2899
S6_2,7.3935
S6_3,8.3683
S6/t_1,8.5738
S6/t_2,7.6404
S6_4,8.315
S6_5,8.6322
S6_6,8.4961
S7_4,9.105
S7_5,8.9047
S7_6,9.283
S8_4,8.8304
S8_5,8.9655
G135_1,10.2562
G135_3,9.1207
G150_1,10.0884
G150_2,10.5237
G150_3,10.3625
G180_1,10.3097
G180_2,10.8265
G180_3,9.6317
C30_1,9.8161
C30_2,10.2479
C90_1,10.5592
C90_2,10.9187
BI_1,10.1057
BI_2,10.303
BC_2,9.6428
BC/t_1,9.4604
BC/t_2,9.7327
BC_1,9.0878
Sw_1,9.4238
Sw_2,9.7613
BT_1,8.8529
BT_2,8.6526
B36_1,9.737
B36_2,9.6319
B60_1,9.0955
B60_2,9.3558
M9exp_1,10.7971
M9exp_2,10.4059
M9exp_3,10.1094
M9tran_1,9.5735
M9tran_2,9.6725
M9tran_3,9.8786
M9stat_1,8.4644
M9stat_2,8.7175
M9stat_3,8.3907
M+G_1,9.8865
M+G_2,9.8029
M+G_3,9.8509
Glu_1,10.2696
Glu_2,10.0063
Glu_3,9.9993
Fru_1,10.1565
Fru_2,9.8048
Fru_3,9.3719
Mal_1,9.1872
Mal_2,9.6313
Mal_3,9.8276
G+S_2,8.9404
G+S_3,9.3053
Pyr_1,8.7382
Pyr_2,9.1217
Pyr_3,8.8539
Gly_1,8.9176
Gly_2,9.1364
Gly_3,8.6143
Glucon_1,9.3514
Glucon_2,9.6194
Glucon_3,9.4572
aero_1,11.1234
aero_2,9.4472
aero_3,10.5959
nit_1,9.878
nit_2,10.0468
nit_3,9.7027
ferm_1,9.6383
ferm_2,9.7531
ferm_3,10.2084
T-5.40H_1,9.9033
T-4.40H_1,9.7722
T-3.40H_1,9.6444
T-2.40H_1,9.4384
T-1.40H_1,9.5525
T-1.10H_1,9.6684
T-0.40H_1,9.7341
T0.0H_1,9.3218
T0.30H_1,9.1541
T1.0H_1,8.5278
T1.30H_1,8.5918
T2.0H_1,8.604
T2.30H_1,9.4108
T3.0H_1,8.7097
T3.30H_1,8.8307
T4.0H_1,8.8758
T5.0H_1,8.5655
HPh_1,10.9306
HPh_2,10.6954
HPh_3,10.988
LPh_1,11.0684
LPh_2,11.4882
LPh_3,10.9669
LPhT_1,10.3313
LPhT_2,10.3495
LPhT_3,10.3519
SMMPr_1,9.5256
SMMPr_2,9.636
SMMPr_3,9.6191
HiTm_1,9.7707
HiTm_2,10.3088
HiTm_3,9.9955
LoTm_1,9.8398
LoTm_2,9.4472
LoTm_3,9.3548
HiOs_1,10.1148
HiOs_2,9.9783
HiOs_3,9.9625
BMM_1,10.7093
BMM_2,10.5749
BMM_3,11.2215
Heat_1,11.696
Heat_2,11.561
Heat_3,11.2923
Cold_1,9.5967
Cold_2,9.1913
Cold_3,8.9663
Etha_1,10.3698
Etha_2,10.2146
Etha_3,10.7469
SMM_1,9.7205
SMM_2,9.6538
SMM_3,9.7106
Salt_1,10.1454
Salt_2,10.033
Salt_3,10.0008
Mt0_1,11.1345
Mt0_3,11.0406
M0t45_1,10.7108
M0t45_2,11.3467
M0t45_3,10.9031
M0t90_1,8.9732
M0t90_2,9.4405
M0t90_3,9.3246
M40t45_1,10.2644
M40t45_2,9.4947
M40t45_3,11.0184
M40t90_1,9.0066
M40t90_2,9.4867
M40t90_3,9.9295
dia0_1,10.8165
dia0_2,11.0588
dia0_3,11.4712
dia5_1,10.7172
dia5_2,10.8623
dia5_3,10.8984
dia15_1,11.1442
dia15_2,11.079
dia15_3,12.1257
Diami_1,10.2077
Diami_2,10.3537
Diami_3,10.5844
Paraq_1,10.8749
Paraq_2,11.0714
Paraq_3,9.9003
H2O2_1,10.4787
H2O2_2,10.6534
H2O2_3,10.5887
Oxctl_1,10.6076
Oxctl_2,10.5641
Oxctl_3,10.9313
GM-0.1_1,9.8354
GM-0.2_1,10.1124
GM+5_1,9.693
GM+15_1,10.4785
GM+25_1,10.9449
GM+45_1,10.7519
GM+60_1,10.5578
GM+90_1,10.6734
GM+120_1,10.1841
GM+150_1,10.257
GM-0.1_2,10.2417
GM-0.2_2,10.2422
GM+5_2,10.0723
GM+10_2,10.4364
GM+15_2,10.5944
GM+25_2,10.8415
GM+45_2,9.8997
GM+60_2,9.9048
GM+90_2,10.7525
GM+150_2,9.8269
GM-0.1_3,10.0602
GM-0.2_3,9.91
GM+5_3,10.1297
GM+10_3,9.2998
GM+15_3,10.2283
GM+25_3,10.329
GM+45_3,10.4471
GM+60_3,9.8976
GM+90_3,9.8592
GM+120_3,10.4461
GM+150_3,10.1344
MG-0.1_1,10.5268
MG+5_1,10.3472
MG+10_1,10.8631
MG+15_1,10.3014
MG+25_1,10.3328
MG+45_1,10.1317
MG+120_1,9.7306
MG+150_1,9.805
MG-0.1_2,9.939
MG-0.2_2,10.3621
MG+5_2,10.4833
MG+10_2,10.6552
MG+15_2,11.3248
MG+25_2,10.0639
MG+45_2,10.0387
MG+60_2,10.4108
MG+90_2,10.0046
MG+120_2,9.903
MG-0.1_3,10.9342
MG-0.2_3,10.6361
MG+5_3,10.4626
MG+10_3,10.3362
MG+15_3,10.7979
MG+25_3,10.538
MG+45_3,10.7579
MG+60_3,10.8945
