,aer
Cr_1,0.01141178443284749
Cr_2,0.02511508743268869
Cr_3,0.051478697792105066
Cr_4,0.08033096291154708
Cr_5,0.1048253560789867
Cr_6,0.12433435311111116
Fe_1,-0.01521811378121761
Fe_2,-0.03651952972148675
Fe_3,-0.04602683496035683
Fe_4,-0.04916008451957777
Fe_5,-0.05466589711866967
Fe_6,-0.04952711550162008
Cd_1,-0.002422981682473111
Cd_2,-0.005954376837032881
Cd_3,-0.006137665759730402
Cd_4,-0.006391533515130149
Cd_5,-0.010966078163912095
Cd_6,-0.009103504011690251
Zn_1,-0.033144172515591284
Zn_2,-0.051994235526224515
Zn_3,-0.06363353223094173
Zn_4,-0.060271987383622126
Zn_5,-0.051974001521419136
Zn_6,-0.042074428271047584
Cu_1,0.0031241017332938213
Cu_2,0.010719096548193443
Cu_3,0.02304009651769004
Cu_4,0.032511737987677
Cu_5,0.04342332125760581
Cu_6,0.05426263726427901
Pb_1,0.011154134150149812
Pb_2,0.020525704180395062
Pb_3,0.0326829788525568
Pb_4,0.03788408060495183
Pb_5,0.05054820848662464
Pb_6,0.07001380583541601
