,cmr
Cr_1,0.006468652746564906
Cr_2,0.007861342168875242
Cr_3,0.015599343304087585
Cr_4,0.02528224057521465
Cr_5,0.03523201526022983
Cr_6,0.035822223657098334
Fe_1,-0.021365232884362068
Fe_2,-0.05623957477701296
Fe_3,-0.09636576553832622
Fe_4,-0.12730008221722386
Fe_5,-0.14505898602491651
Fe_6,-0.15327416450490847
Cd_1,0.003745036019743612
Cd_2,0.009635197072925678
Cd_3,0.01587481944807064
Cd_4,0.024643485678844498
Cd_5,0.02654259936878139
Cd_6,0.026319204309774046
Zn_1,0.06138013551888575
Zn_2,0.11889588976439384
Zn_3,0.1760868337638523
Zn_4,0.2283501251570897
Zn_5,0.2636330720042185
Zn_6,0.2852447816287311
Cu_1,-0.0025263052115127443
Cu_2,0.0030253756384498783
Cu_3,0.008143441838792825
Cu_4,0.010349376292985813
Cu_5,0.01964649699334459
Cu_6,0.029657254516966505
Pb_1,-0.00021493475463364264
Pb_2,0.0018634662700193808
Pb_3,0.00734793969209684
Pb_4,0.009388721505049456
Pb_5,0.017024941340186076
Pb_6,0.02613688983720546
