locus,gene_weight,gene_name,gene_product,cog,regulator,link
b1143,0.4514287792013061,ymfI,e14 prophage%3B protein YmfI,No COG annotation,,https://ecocyc.org/gene?orgid=ECOLI&id=G6587
b1145,0.3790101607681585,ymfK,e14 prophage%3B putative repressor protein YmfK,Transcription,,https://ecocyc.org/gene?orgid=ECOLI&id=G6589
b1139,0.2468401286774968,lit,e14 prophage%3B cell death peptidase Lit,"Post-translational modification, protein turnover,and chaperones",,https://ecocyc.org/gene?orgid=ECOLI&id=EG10535
b1137,0.2258585266619418,ymfD,e14 prophage%3B putative SAM-dependent methyltransferase,Coenzyme transport and metabolism,,https://ecocyc.org/gene?orgid=ECOLI&id=G6582
b1159,0.224701137681918,mcrA,e14 prophage%3B 5-methylcytosine-specific restriction enzyme McrA,Defense mechanisms,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=EG10573
b1138,0.1709784975514762,ymfE,e14 prophage%3B uncharacterized protein YmfE,No COG annotation,,https://ecocyc.org/gene?orgid=ECOLI&id=G6583
b1140,0.163710616373296,intE,e14 prophage%3B putative integrase,"Replication, recombination and repair",,https://ecocyc.org/gene?orgid=ECOLI&id=EG12370
b1141,0.1502504049983971,xisE,e14 prophage%3B putative excisionase,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G6585
b1144,0.1435175369589782,ymfJ,e14 prophage%3B protein YmfJ,No COG annotation,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G6588
b1155,0.1196126824974218,tfaP,e14 prophage%3B putative tail fiber assembly protein TfaP,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G6598
b3357,0.0872564450779528,crp,DNA-binding transcriptional dual regulator CRP,Transcription,"RpoD,Crp,Cra,Fis,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG10164
b1156,0.0674667208343811,tfaE,e14 prophage%3B putative tail fiber assembly protein TfaE,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11120
b1160,-0.0842260385298029,iraM,anti-adaptor protein IraM%2C inhibitor of sigma(S) proteolysis,Transcription,"RpoD,Fnr,ArcA,PhoP",https://ecocyc.org/gene?orgid=ECOLI&id=G6600
b4519,-0.3334562149279184,icdC,protein IcdC,Energy production and conversion,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10556
