,A,trpR
R2,,0.016947991848737742
xmin,,4.17175261897812
xmid,,6.219955345170676
xmax,,7.67969345017697
ystart,,-1.5248668142318245
yend,,-4.507584475715898
control__wt_glc__1,-0.0992929952081,5.51711942015119
control__wt_glc__2,0.0992929952081,5.3375722441703
fur__wt_dpd__1,-1.26536957292,6.424738849921731
fur__wt_dpd__2,-1.98505154806,6.4284005083979805
fur__wt_fe__1,0.9399337369700002,6.16675751985245
fur__wt_fe__2,0.547463035936,6.370484324181191
fur__delfur_dpd__1,-1.11087783309,6.20692073738012
fur__delfur_dpd__2,-0.500732363143,6.02625001968174
fur__delfur_fe2__1,1.32841292302,6.238065657737759
fur__delfur_fe2__2,0.621773907994,6.26095830310309
acid__wt_ph5__1,1.11828995448,6.77491717858844
acid__wt_ph5__2,0.5774980310419999,6.5891062316277695
acid__delgadx_ph5__1,0.597127173765,6.735900401355949
acid__delgadx_ph5__2,0.891714167529,6.8025784150688695
acid__delgadw_ph5__1,0.09382259290789999,6.599915386878839
acid__delgadw_ph5__2,0.815908367292,6.457953944168941
acid__delgade_ph5__1,0.755056071126,6.57200312580616
acid__delgade_ph5__2,1.1703115374200002,6.598521132218179
oxidative__wt_pq__1,-0.835297440915,5.76810061862467
oxidative__wt_pq__2,-0.472262471698,6.10963181414263
oxidative__deloxyr_pq__1,1.04049949983,6.28254492151282
oxidative__deloxyr_pq__2,0.859575085029,6.4337692513281
oxidative__delsoxr_pq__1,-1.8743625251400002,5.7352122799588505
oxidative__delsoxr_pq__2,-1.89283380771,6.02320259831293
oxidative__delsoxs_pq__1,-0.994461029254,6.2682985294651905
oxidative__delsoxs_pq__2,-1.03199258966,5.913269125871559
nac_ntrc__wt_csn__1,-0.0359077304376,5.23334016677119
nac_ntrc__wt_csn__2,-0.328303303543,4.84525542157179
nac_ntrc__wt_cytd__1,-1.3462520614200002,5.44182682155914
nac_ntrc__wt_cytd__2,-1.36751108761,4.9884140440883495
nac_ntrc__wt_gln__1,-1.9275510411099996,5.35926547544105
nac_ntrc__wt_gln__2,-1.3707423263499998,5.23444950644471
nac_ntrc__bw_delnac_csn__1,1.66848322324,6.591977103390019
nac_ntrc__bw_delnac_csn__2,3.01745833773,6.746517159260301
nac_ntrc__bw_delnac_cytd__1,1.5481620764500001,6.37716513242037
nac_ntrc__bw_delnac_cytd__2,1.79656992108,5.8514654472044505
nac_ntrc__bw_delnac_gln__1,0.10254495545,6.337950068061231
nac_ntrc__bw_delnac_gln__2,-0.251081272766,5.98614473957599
nac_ntrc__bw_delnac_nh4__1,1.5674054960600001,5.8708103350959595
nac_ntrc__bw_delnac_nh4__2,1.84245076787,6.24560987462737
misc__wt_no_te__1,5.4996227821899994,6.1662678470189105
misc__wt_no_te__2,1.9044664567099998,5.975090171613751
misc__bw_delcbl__1,3.43300375532,6.2199604589726
misc__bw_delcbl__2,3.02073493888,6.18920953175986
misc__bw_delfabr__1,3.2979603461,5.91381892349841
misc__bw_delfabr__2,3.2014084427599996,6.14170014353615
misc__bw_delfadr__1,2.21355062334,6.228327336686539
misc__bw_delfadr__2,1.78700516384,6.112740350950509
misc__nitr_031__1,1.14616023062,6.509525418255381
omics__wt_glu__1,0.842416846972,5.60753393097232
omics__wt_glu__2,1.39725724743,5.98094477892342
omics__wt_gly__1,0.885481436744,5.59392579901042
omics__wt_gly__2,0.539507881487,5.55954691226964
omics__wt_thr__1,-0.290656565584,4.73906224277837
omics__wt_thr__2,-0.380850252335,4.4424223314005
omics__bw_ac__1,-5.91581761418,5.98624212829694
omics__bw_ac__2,-6.53819914766,6.16326273106632
omics__bw_fum__1,-6.150844187430001,7.278658131695041
omics__bw_fum__2,-6.66381679661,7.21056373611259
omics__bw_glc__1,-3.07686145407,6.8891047273842
omics__bw_glc__2,-2.6425672608,6.937763512163709
omics__bw_pyr__1,-4.43234138773,6.2005075341343705
omics__bw_pyr__2,-4.39793448878,6.02160823532688
ompr__wt_nacl__1,-5.5879816587999995,5.182348446501191
ompr__wt_nacl__2,-5.187712508040001,5.772589935663491
ompr__bw_delompr_nacl__1,-1.03571051418,5.820447261078769
ompr__bw_delompr_nacl__2,-0.808782515125,6.320381968751559
minspan__wt_ade__1,0.316549844903,7.310414502031291
minspan__wt_glc__1,-2.3919293330599998,6.105991763211759
minspan__wt_glc__2,-3.00532359551,6.29919611172277
minspan__wt_glc__3,-3.558417291619999,6.186805801651349
minspan__wt_glc__4,-3.1243617825700003,6.47907508590548
minspan__wt_glc_anaero__1,-2.00315734542,6.419817045496111
minspan__wt_glc_anaero__2,-1.30448027956,6.21290462488286
minspan__wt_trp__1,-16.6019224988,5.6684539629183694
minspan__bw_delcra_glc__1,-1.3176309962000001,6.7773177138809
minspan__bw_delcra_glc__2,-1.2183983245899999,6.74866952859609
minspan__bw_delcra_trp__1,-13.2376176939,5.26315678064707
minspan__bw_delmntr__1,-1.76357934866,6.972684000335901
minspan__bw_delnac_ade__1,3.05391255399,6.756439389383839
minspan__bw_delnac_glc__1,-4.28866265498,6.3347670895368395
cra_crp__wt_ac__1,-3.6574805424699997,5.879759271348389
cra_crp__wt_ac__2,-3.2591586459400004,5.6959059200822
cra_crp__wt_fru__1,-2.32701789281,5.027727999664429
cra_crp__wt_fru__2,-2.8164697081200005,5.84960406624194
cra_crp__delcra_ac__1,3.1212158988099996,6.88755000902105
cra_crp__delcra_ac__2,3.78309607129,6.981270897418599
cra_crp__delcra_fru__1,0.10754756833799999,6.31068345682948
cra_crp__delcra_fru__2,-0.12476716288699999,6.35105189588287
cra_crp__delcra_glc__1,1.04634867809,6.258730952978429
cra_crp__delcra_glc__2,1.54973714774,6.3972684945771805
rpoB__wt_031__1,-5.15089339942,5.70909440420161
rpoB__wt_044__1,-1.5207688086700002,6.26250051806289
rpoB__wt_lb__1,-4.52104408684,6.126060011775251
rpoB__wt_lb__2,-4.48605793508,5.8022438742835405
rpoB__rpoBE546V_031__1,-3.4965594033999996,6.48412308619056
rpoB__rpoBE546V_044__1,-3.6844367722699998,6.16747938409009
rpoB__rpoBE546V_lb__1,-15.169759145899999,4.64205550507101
rpoB__rpoBE546V_lb__2,-15.8895531868,4.17175261897812
rpoB__rpoBE546V_glc__1,-1.45747476278,6.6424996101675
rpoB__rpoBE672K_glc__1,0.924543353512,4.603454974238191
rpoB__rpoBE672K_glc__2,0.618838794098,4.8835472342222195
rpoB__rpoBE672K_lb__1,7.720501283939999,5.82019555087317
rpoB__rpoBE672K_lb__2,7.56201585513,6.08599779838957
crp__wt_fru__1,-3.95874028917,6.2061266426533
crp__wt_glyc__1,-4.18507619173,6.322122365026799
crp__wt_glyc__2,-4.48083919635,6.317804070517879
crp__delar1_glyc__1,0.7270334624779999,5.55387749650843
crp__delar1_glyc__2,3.1345136998100003,5.96902975460427
crp__delar1ar2_glyc__1,-0.180822594021,5.35053944968808
crp__delar1ar2_glyc__2,-0.0706694338603,5.0533858641971
crp__delar1ar2_glyc__3,-0.491337299718,5.396876827772631
crp__delar2_glyc__1,-2.9743370212,5.9416892502956
crp__delar2_glyc__2,-5.1782758828099995,5.58137291923684
crp__delar2_glyc__3,-4.8975937722300005,5.86509603363606
crp__delcrp_fru__1,0.371980327607,5.80262555268815
crp__delcrp_fru__2,0.376095957072,5.34293954905701
crp__delcrp_fru__3,0.022254991826999998,5.21574176343192
crp__delcrp_glc__1,0.662376413324,6.23997297886006
crp__delcrp_glc__2,0.16724522372,5.811437276575
crp__delcrp_glc__3,0.6207769010399999,6.07166767945219
crp__delcrp_glyc__1,-0.38328916489799997,5.32695908222089
crp__delcrp_glyc__2,0.07064129768369999,5.6625799716191505
crp__delcrp_glyc__3,0.0914208531002,5.68238257500262
glu__glu_ale3__1,-1.2096323917799998,6.320592633884719
glu__glu_ale4__1,1.1037848088200002,5.72499336231687
glu__glu_ale5__1,-0.447062185886,5.24591168174309
glu__glu_ale6__1,2.87379529405,5.5166860822164105
glu__glu_ale8__1,-4.03121195328,5.499510911340491
glu__glu_ale9__1,0.93604708672,6.20710119711593
glu__glu_ale10__1,-0.603320421023,5.59481432062391
42c__wt_42c__1,1.73086143993,5.82439687547804
42c__42c_ale1__1,-4.60636901856,5.72171686270046
42c__42c_ale2__1,1.5619526977899998,5.80452492269408
42c__42c_ale3__1,0.868227161561,6.8089791681801
42c__42c_ale4__1,0.691916610619,5.9511405584891905
42c__42c_ale5__1,-0.159133900441,6.096683472442
42c__42c_ale6__1,-2.2425048363999998,6.799994472733361
42c__42c_ale8__1,0.7851754679809999,6.9355112223043704
42c__42c_ale9__1,4.13617543037,6.37537891736559
42c__42c_ale10__1,-0.6833148285230001,6.244088593759941
ssw__wt_ac__1,-7.118261703150001,6.80925123435523
ssw__wt_glc__1,-3.16575049975,5.52592474074308
ssw__wt_glyc__1,-2.51667300586,6.0739345614488105
ssw__wt_xyl__1,-1.61056839215,6.198814006749389
ssw__glc_ale1__1,0.7422383978489999,6.58693145639857
ssw__glc_ale2__1,-1.3499051881600002,6.592915290334459
ssw__glc_ale3__1,2.38301864875,6.43989462463284
ssw__glyc_ale1__1,-3.50832023375,6.516763457766549
ssw__glyc_ale2__1,-4.7876858245300005,6.73482798723057
ssw__xyl_ale1__1,-5.21531373888,6.74635742705403
ssw__xyl_ale2__1,-6.84253162114,6.99109721089757
ssw__xyl_ale3__1,-2.5785572870299998,6.47023747032081
ssw__glc_ac_ac2__1,-8.51245283855,6.715298410599719
ssw__glc_ac_glc1__1,-0.741490041149,7.2865463211421595
ssw__glc_ac_glc2__1,-0.381816643111,6.53206493670852
ssw__glc_glyc_glc__1,-2.5537484323,6.43251509253281
ssw__glc_glyc_glyc__1,-4.18236690862,6.16556451332963
ssw__glc_xyl_glc__1,-2.94179463568,6.578794033190451
ssw__glc_xyl_xyl__1,-4.248909057840001,6.39612614545603
pgi__glu4_delpgi__1,11.258554482300001,6.3352934318788305
pgi__pgi_ale1__1,-0.105804441274,6.1093278772540796
pgi__pgi_ale2__1,2.6725187241999997,4.55763230577058
pgi__pgi_ale3__1,0.618563430637,6.03356673575736
pgi__pgi_ale5__1,1.6766741006499999,6.17158786382528
pgi__pgi_ale6__1,0.305389897199,6.56845258711873
pgi__pgi_ale7__1,-0.276975011544,6.2975930565877105
pgi__pgi_ale8__1,1.86843066123,5.59371656706895
ica__wt_glc__1,-0.8829413169310001,5.579569115781339
ica__wt_glc__2,-0.600725507061,5.2885175924626
ica__wt_glc__3,-1.6322541665099999,6.17193862884716
ica__wt_glc__4,-2.6707200263799997,6.1638711989768895
ica__arg_sbt__1,-6.60418337049,6.00091086586029
ica__arg_sbt__2,-6.80489719576,5.66042655024865
ica__cytd_rib__1,-5.28028049649,6.25963109957424
ica__cytd_rib__2,-6.08036571373,6.47162944522784
ica__gth__1,-6.08252043229,6.42586879461789
ica__gth__2,-5.79199010184,6.443216438107981
ica__leu_glcr__1,-7.14345316362,4.70610355946875
ica__leu_glcr__2,-6.84984408591,5.12002014362612
ica__met_glc__1,-0.254514855369,5.5361875895921395
ica__met_glc__2,-0.260644380877,5.34211656738933
ica__no3_anaero__1,-1.43839502614,6.69046272210765
ica__no3_anaero__2,-1.05045293111,6.68447340580843
ica__phe_acgam__1,2.02598597434,5.111621000654349
ica__phe_acgam__2,2.92611765218,5.3016168768672
ica__thm_gal__1,-0.800934362184,5.96736261534865
ica__thm_gal__2,-0.395518579193,6.1420447842011
ica__tyr_glcn__1,-3.8899354136300004,5.4476095894456895
ica__tyr_glcn__2,-3.9239333585500002,5.05744890254269
ica__ura_pyr__1,-4.41606400878,6.11814220911707
ica__ura_pyr__2,-5.30214125894,6.00589623295983
ica__wt_glc__5,-2.1985023424900003,5.79418401684947
ica__wt_glc__6,-2.5010659616099997,6.08989085409418
ica__bw_delpurR_cytd__1,-1.23157363532,6.03854681351228
ica__bw_delpurR_cytd__2,-1.03488191785,5.96583211475231
ica__ade_glc__1,-5.610938698280001,6.133203425028241
ica__ade_glc__2,-4.672859745769999,6.22938760143291
ytf__wt_glc__1,-1.53059870311,6.2225852642129
ytf__wt_glc__2,-1.41101516876,5.81296832732748
ytf__delyafC__1,-3.59326188189,6.215636570820809
ytf__delyafC__2,-4.44763095921,6.6826278737068705
ytf__delyeiE__1,-3.53617493084,6.2607370474956205
ytf__delyeiE__2,-3.59357242334,5.5308743471583295
ytf__delyiaJ__1,-2.28736601711,6.254997094692089
ytf__delyiaJ__2,-1.89844314742,6.14721813132007
ytf__delyieP__1,-1.22974107714,6.467025699124581
ytf__delyieP__2,-1.5280229401299998,6.926561511452791
ytf__wt_ph5__1,-2.38890591629,6.41997120418329
ytf__wt_ph5__2,-3.1493768920700003,6.41785232670426
ytf__wt_ph8__1,-0.18609950389600002,6.1871460935701394
ytf__wt_ph8__2,1.1308204466399998,5.82026929243093
ytf__delybaO__1,-3.15941311411,6.5959301898605
ytf__delybaO__2,-4.2681941038,6.22114039806601
ytf__delybaQ__1,-1.2867740677700001,6.07534075993019
ytf__delybaQ__2,-1.7529708729499998,6.08477673785597
ytf__delybiH__1,0.181292876714,6.01291906364576
ytf__delybiH__2,-2.75689446788,5.90409490379879
ytf__delydcI_ph5__1,-2.26052681325,6.434510428590679
ytf__delydcI_ph5__2,-3.00571939699,5.94862852756014
ytf__delydcI_ph8__1,2.08244189278,6.13123906764745
ytf__delydcI_ph8__2,-0.967837688523,6.23971548642676
ytf__delyddM__1,-4.26005007239,5.80042069686882
ytf__delyddM__2,-3.31691533725,6.03966170391045
ytf__delyheO__1,-2.96377269666,6.43249983227104
ytf__delyheO__2,-4.78165073313,6.248508289467799
fps__bw_glc__1,-0.8200208975929999,6.508810895622459
fps__bw_glc__2,-2.2005631295500003,6.37421480837497
fps__fps_thrA_ale1__1,-3.34929394364,6.13297899881101
fps__fps_thrA_ale1__2,-2.72606430638,5.88596591192211
fps__fps_thrA_ale2__1,-1.98783033025,6.362743006270519
fps__fps_thrA_ale2__2,-2.1648497693,6.41958554154834
fps__fps_serB_ale1__1,0.640520460963,6.5161085810511
fps__fps_serB_ale1__2,0.622734883864,6.3734548196278
fps__fps_serB_ale4__1,-0.874520487088,7.595838794279209
fps__fps_serB_ale4__2,0.801781159341,7.338003315668209
fps__fps_ptsI_ale1__1,-6.1287111132700005,6.90482989122041
fps__fps_ptsI_ale1__2,-5.73498931799,6.76956392405149
fps__fps_ptsI_ale3__1,-5.7142427682,6.445099539078011
fps__fps_ptsI_ale3__2,-5.54992641987,6.70470188459376
pal__lyx_ale2_f6__1,-6.981106924189999,6.75197258427646
pal__lyx_ale2__1,-6.14267593262,6.369318668046219
pal__lyx_ale2__2,-5.805919423810001,6.36210896157702
pal__lyx_ale4__1,-6.14267593262,6.369318668046219
pal__lyx_ale4__2,-5.805919423810001,6.36210896157702
pal__5drib_ale10_f18__1,-8.263000775770001,6.785508530015861
pal__5drib_ale10_f18__2,-8.91344156653,6.72256088934728
pal__5drib_ale10__1,-8.33162584942,6.8168079358554
pal__arab_ale14_f9__1,-3.86526196646,6.85027452023755
pal__arab_ale14_f9__2,-3.6105595103099994,6.48040975643381
pal__arab_ale14__1,-2.8084305996200003,6.25052171723555
pal__arab_ale14__2,-2.6030868377400003,6.48311046320722
pal__arab_ale16__1,-5.33845549898,6.41163456535444
