,A,GlpR
R2,,0.04222425883312175
xmin,,-3.687042556
xmid,,
xmax,,2.6445748131
ystart,,-2.296352429170346
yend,,0.9602884636295175
aat__00m_00s__1,0.6211014577,0.3336421338
aat__00m_30s__1,0.2719070703,0.1322853169
aat__01m_00s__1,0.6022357493,0.1379898731
aat__02m_00s__1,-0.1558349326,-0.1586975422
aat__05m_00s__1,-0.0683723073,0.2136782605
aat__10m_00s__1,0.09727644390000001,0.3339229168
aat__00m_00s__2,-0.7935271383,-0.1369120458
aat__00m_30s__2,0.3099510117,0.1840679837
aat__01m_00s__2,1.1005094175,0.26414496330000004
aat__02m_00s__2,-0.18711253560000002,0.2976973886
aat__05m_00s__2,-0.4548101745,0.49745057480000004
aat__10m_00s__2,0.07135224400000001,0.5138344154
aat__00m_00s__3,0.17242568060000002,-0.19673008800000003
aat__00m_30s__3,0.6210129307000001,0.19385847920000002
aat__01m_00s__3,0.8938661748000001,0.2551159381
aat__02m_00s__3,0.7690896205000001,0.0812067577
aat__05m_00s__3,0.9015774070000001,0.3435203826
aat__10m_00s__3,0.0308307066,0.34533108960000003
abx_mega__dmso-2__1,1.0130915596,1.0927577769
abx_mega__ery_dmso__1,1.1998545315,0.5820894339
abx_mega__nal_naoh__1,1.2895343952,0.7684996548
abx_mega__dmso-5__1,-0.1815099962,-0.0875871288
abx_mega__rif_dmso__1,-1.6569207922,0.3539827252
abx_mega__novo_h2o__1,1.0384261383,-0.5285344437
abx_mega__rach_dmso__1,0.0533999501,0.3928865637
abx_mega__metro_dmso__1,1.1635762417,0.2413140604
abx_mega__dmso-6__1,1.3820625754,0.047116248400000005
abx_mega__chl_h2o__1,-2.4535372235,0.7190244456
abx_mega__cst_h2o__1,0.1426252836,0.2991213554
abx_mega__tec_h2o__1,-0.1217860426,1.1501029825
abx_mega__str_h2o__1,2.4772055209,0.329780507
abx_mega__ctx_h2o__1,-0.0293313044,0.1734631499
abx_mega__nal_naoh__2,0.0364758572,-0.2563901807
abx_mega__phos_h2o__1,1.169491695,-0.3659369467
abx_mega__dmso-5__2,0.10261555380000001,0.0184306477
abx_mega__polmyx_h2o__1,-0.3904062095,0.5416867159000001
abx_mega__h2o-8b__1,0.3747121906,0.09483661480000001
abx_mega__h2o-6__1,0.1317253227,0.0234963948
abx_mega__thio_dmso__1,2.4977313536,0.8349246022
abx_mega__phos_h2o__2,0.9347179457,-0.3175334094
abx_mega__ctx_h2o__2,1.7147730518,0.7257595673
abx_mega__lzd_dmso__1,1.4797580236,0.23754655
abx_mega__naoh-9__1,0.1459169344,0.9390116536
abx_mega__dox_dmso__1,0.2276099382,1.188360869
abx_mega__phos_ethanol__1,0.6180534291,0.3595799794
abx_mega__teix_dmso__1,1.5452405125,0.5426239553000001
abx_mega__dmso-10__1,0.9671331584,0.5691680513
abx_mega__van_dmso__1,-1.4884817668,-0.3567962509
abx_mega__ramo_h2o__1,-1.1695618030000001,0.0783428788
