,ydiS
Cr_1,-0.005151970609987475
Cr_2,-0.00041048816922212295
Cr_3,0.013203671929979309
Cr_4,0.02308685889142753
Cr_5,0.034064495378284376
Cr_6,0.03709108704032768
Fe_1,0.0659338566738528
Fe_2,0.14222881766179982
Fe_3,0.25234925581958423
Fe_4,0.3712963414691392
Fe_5,0.5031701671721793
Fe_6,0.6233511248100448
Cd_1,-0.0005604024625812901
Cd_2,0.00748797379601043
Cd_3,0.00957036488837418
Cd_4,0.008380538083931681
Cd_5,0.009436362427487015
Cd_6,0.011116741388439749
Zn_1,-0.01633690373325497
Zn_2,-0.027426335403205646
Zn_3,-0.03531433288951586
Zn_4,-0.04679740205186991
Zn_5,-0.05503211926863871
Zn_6,-0.0628321678315163
Cu_1,-0.0007749883739299074
Cu_2,0.0033766835593679588
Cu_3,0.005199951919552368
Cu_4,0.012620212030913364
Cu_5,0.016832608790279237
Cu_6,0.024329143764911253
Pb_1,0.0005529775583420042
Pb_2,0.007029853132628861
Pb_3,0.015195655448784238
Pb_4,0.03402387585611365
Pb_5,0.054778546275133615
Pb_6,0.07370253361145221
