,uxaC
Cr_1,0.007095094854724744
Cr_2,0.019290067877103217
Cr_3,0.028330025339246175
Cr_4,0.04108880079594476
Cr_5,0.04670483621013897
Cr_6,0.04920225942983136
Fe_1,-0.0003043655530915929
Fe_2,0.005576021264363739
Fe_3,0.01157442530656178
Fe_4,0.0026409117099612228
Fe_5,-0.010645458228251609
Fe_6,-0.026945139785814736
Cd_1,0.002329713934188597
Cd_2,0.010414256730801251
Cd_3,0.022441684018681792
Cd_4,0.029804940732188562
Cd_5,0.03098690693726963
Cd_6,0.03917810024006693
Zn_1,-0.0018573398549198727
Zn_2,0.013551538027553022
Zn_3,0.03591268910437781
Zn_4,0.05924528002154333
Zn_5,0.0834938652767913
Zn_6,0.0981696724170381
Cu_1,0.0024349753853821856
Cu_2,0.004336254591475358
Cu_3,0.009888108860460716
Cu_4,0.01493704745868254
Cu_5,0.02122028180057371
Cu_6,0.026217265940433054
Pb_1,0.010371943550935276
Pb_2,0.017067192017373334
Pb_3,0.022791372059128408
Pb_4,0.034246811630830085
Pb_5,0.0495351422171479
Pb_6,0.0733197188350018
