,ybjK
Cr_1,0.002705460666632635
Cr_2,0.0044463838240848
Cr_3,0.007236816560240231
Cr_4,0.009610934234268285
Cr_5,0.012596346779657592
Cr_6,0.014412949852372032
Fe_1,-0.004718625118598041
Fe_2,-0.004050372075355667
Fe_3,-0.005674106324959486
Fe_4,-0.008154336687832928
Fe_5,-0.0055482173326878905
Fe_6,0.001173211647426764
Cd_1,0.0008781876530126046
Cd_2,0.003775973551227514
Cd_3,0.008027378487208086
Cd_4,0.009019425986736874
Cd_5,0.004807104972317046
Cd_6,0.008006076882688952
Zn_1,-0.003100861331571083
Zn_2,0.0005679368093642559
Zn_3,0.014568182193638953
Zn_4,0.02850751743632397
Zn_5,0.043825261784584194
Zn_6,0.05126333628473087
Cu_1,0.005298683854913571
Cu_2,0.007689703722989123
Cu_3,0.0075159968541805315
Cu_4,0.01439133284928634
Cu_5,0.021675823893476876
Cu_6,0.029587530814905876
Pb_1,0.004611360727797965
Pb_2,0.008275356940865335
Pb_3,-0.0056976831630844256
Pb_4,-0.01840208428743796
Pb_5,-0.025597824301228613
Pb_6,-0.036100713042612136
