,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,9.25185853854297e-18,0.195674544876498,3.0,0.0,-0.0811131834,1.0,0.22318741090000002,2.0,-0.1420742275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-0.32607026473333334,0.1066135396152117,3.0,3.0,-0.23660782830000002,4.0,-0.2975635066,5.0,-0.4440394593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-0.2044086671333333,0.47084433905195905,3.0,6.0,0.2935157395,7.0,-0.2642998373,8.0,-0.6424419036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-8.591011500075616e-18,0.524985508793714,21.0,9.0,1.1372877807,10.0,-0.6605556333,11.0,0.1421610885,12.0,-0.1658761988,13.0,-0.9182398425,14.0,-0.40717276880000003,15.0,-0.034645452800000004,16.0,0.5244655865,17.0,0.3777964283,18.0,-0.1658844549,19.0,0.5803586333,20.0,-0.42764816200000005,21.0,-0.6275140053,22.0,-0.1778629883,23.0,-0.1737664734,24.0,-0.4438991605,25.0,0.7782380699,26.0,-0.0948360431,27.0,-0.0154198544,28.0,0.6973418763,29.0,0.0756715746
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,0.9422647410809524,0.6559770149214701,21.0,30.0,1.8756945448,31.0,0.5449543541,32.0,0.9033964934000001,33.0,0.6886128806,34.0,0.1976135954,35.0,1.1387531379,36.0,0.2953989273,37.0,0.8436026954,38.0,0.8040488477000001,39.0,0.7886330863000001,40.0,0.3367079281,41.0,0.2831430736,42.0,1.5004703456000001,43.0,1.4290815204,44.0,-0.22743065580000002,45.0,0.6445719269,46.0,2.2810189382,47.0,0.6646200781,48.0,1.9472309198,49.0,1.8095271140000002,50.0,1.0379098109
5,WT_vs_Del_ccpA__THY_None_WT_exponential,4.625929269271485e-18,0.11577548805124249,3.0,51.0,-0.0490551943,52.0,0.1322269684,53.0,-0.0831717741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,0.002660473124999986,0.495458253569857,4.0,54.0,-0.07465182940000001,55.0,0.6904166063,56.0,-0.4911484474,57.0,-0.11397443700000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.5000002068509275e-11,0.6903250530016289,4.0,58.0,0.29396334220000003,59.0,0.8377830137000001,60.0,-0.5443522040000001,61.0,-0.587394152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.06300041414999999,0.4435837517039659,4.0,62.0,-0.0654200462,63.0,0.5244116379,64.0,-0.1629702687,65.0,-0.5480229796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,0.143811084575,0.23653105339306865,4.0,66.0,-0.092733779,67.0,0.0889444311,68.0,0.47174837080000004,69.0,0.1072853154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
