,yafT
Cr_1,0.005792075905260963
Cr_2,0.00880601079647459
Cr_3,0.017231493149188072
Cr_4,0.022357709428834555
Cr_5,0.030321065064494782
Cr_6,0.02354597544967473
Fe_1,-0.007258149793278454
Fe_2,-0.015974434792967732
Fe_3,-0.02115104973379253
Fe_4,-0.04101524760891905
Fe_5,-0.054419433637385384
Fe_6,-0.06915179740750191
Cd_1,0.004291020319579817
Cd_2,0.008891333027663501
Cd_3,0.017829234908400913
Cd_4,0.023215746725651742
Cd_5,0.020906395316026748
Cd_6,0.022359418787859058
Zn_1,-0.011827731981023716
Zn_2,-0.015418191576470876
Zn_3,-0.012617833449355659
Zn_4,-0.011688496273710705
Zn_5,-0.013503605723463395
Zn_6,0.0021571358013068656
Cu_1,0.005394853695219171
Cu_2,0.007629751429368501
Cu_3,0.007220600410531258
Cu_4,0.010523540707427644
Cu_5,0.011449851011070442
Cu_6,0.01862797492195352
Pb_1,0.005204030471347482
Pb_2,0.011475845085758888
Pb_3,0.02220456066674352
Pb_4,0.031068157756569858
Pb_5,0.0324406968583021
Pb_6,0.03377971150976762
