,nudH
Cr_1,0.004130608203256108
Cr_2,0.009025799009905472
Cr_3,0.012845110960474485
Cr_4,0.01583621433063151
Cr_5,0.01731751880734425
Cr_6,0.01486195192682952
Fe_1,-0.01034057693203585
Fe_2,-0.024612132448098564
Fe_3,-0.027710714990397636
Fe_4,-0.03444610658480873
Fe_5,-0.03604097547561988
Fe_6,-0.033364407936225464
Cd_1,0.0021164391263703364
Cd_2,0.005982376643012018
Cd_3,0.0115818337511885
Cd_4,0.015556017677345704
Cd_5,0.016283470880061227
Cd_6,0.02129299553870806
Zn_1,0.0041041142329823095
Zn_2,0.006072547352242226
Zn_3,0.01820945004736013
Zn_4,0.03522544436330121
Zn_5,0.048458730331434184
Zn_6,0.061455200301873375
Cu_1,0.005692541755440866
Cu_2,0.01983912294115904
Cu_3,0.03155844102731694
Cu_4,0.03990953164977205
Cu_5,0.05088111176908043
Cu_6,0.059387967086469325
Pb_1,-0.0030366861623892997
Pb_2,-0.0033493911234746877
Pb_3,-0.006357719948344534
Pb_4,-0.01025040112120448
Pb_5,-0.008641843697339495
Pb_6,-0.0017163185588994045
