,pbpG
Cr_1,0.0040099801390948795
Cr_2,0.008136509287829637
Cr_3,0.009995797968423004
Cr_4,0.012948091542520712
Cr_5,0.018121260795362432
Cr_6,0.02099795292132152
Fe_1,-0.0039893808398632396
Fe_2,-0.014987558947077062
Fe_3,-0.019742062226572037
Fe_4,-0.024497977411099086
Fe_5,-0.02889843751299935
Fe_6,-0.02737744589270153
Cd_1,-0.0016008753358191805
Cd_2,-0.0017349147871912015
Cd_3,-0.0008252760482332792
Cd_4,3.1473402307976316e-05
Cd_5,-0.0018883506902968653
Cd_6,0.002478198673007654
Zn_1,-0.008967573901218948
Zn_2,-0.007518234905779881
Zn_3,0.0008761372490349974
Zn_4,0.007105435606963219
Zn_5,0.012832889332057574
Zn_6,0.01741040265940346
Cu_1,0.004865879997693615
Cu_2,0.010059512303395465
Cu_3,0.01803710989651355
Cu_4,0.029405057762601883
Cu_5,0.03616265789041522
Cu_6,0.04363277415492702
Pb_1,0.010367253203589107
Pb_2,0.021233124673721536
Pb_3,0.029171406834928082
Pb_4,0.03714547139639925
Pb_5,0.04338831403876698
Pb_6,0.0525838048654402
