,feaB
Cr_1,0.004909293704791173
Cr_2,0.01092440566635973
Cr_3,0.01748499830209475
Cr_4,0.02098053749684799
Cr_5,0.02338791916923029
Cr_6,0.0217610419354268
Fe_1,-0.001779283544998814
Fe_2,0.011402594841991655
Fe_3,0.02174593373981206
Fe_4,0.02164305174901197
Fe_5,0.009734171591816743
Fe_6,-0.0006930615500249423
Cd_1,0.004979842202574547
Cd_2,0.009194258454314829
Cd_3,0.015059919725333569
Cd_4,0.019358073818135632
Cd_5,0.017080639084175463
Cd_6,0.022163142772530238
Zn_1,0.0032738002338980818
Zn_2,0.029142687526832373
Zn_3,0.042595545514393415
Zn_4,0.057348671832561274
Zn_5,0.0715394082001766
Zn_6,0.0826008222622338
Cu_1,0.0070843474058627206
Cu_2,0.015326323652345559
Cu_3,0.02906907130207435
Cu_4,0.044330421173687164
Cu_5,0.05838766465316275
Cu_6,0.07424969830381442
Pb_1,0.002898493263389037
Pb_2,0.016026597183402484
Pb_3,0.032742104172640236
Pb_4,0.042173846327090224
Pb_5,0.056403030184442565
Pb_6,0.06646221885097335
