,rpmB
Cr_1,-0.004624547315761761
Cr_2,-0.00981630032895564
Cr_3,-0.012950759723711248
Cr_4,-0.017091853109892342
Cr_5,-0.018015644267528757
Cr_6,-0.01518444208069587
Fe_1,0.003101085161437352
Fe_2,0.00031238487737502167
Fe_3,-0.0018643443235498765
Fe_4,-0.004682725049802638
Fe_5,-0.003279622974259079
Fe_6,-0.0016065595733423007
Cd_1,-0.00430558594567994
Cd_2,-0.012032151415640287
Cd_3,-0.022121184925802458
Cd_4,-0.030681523798840406
Cd_5,-0.04093471349000186
Cd_6,-0.04309354219324864
Zn_1,-0.004760209210858021
Zn_2,-0.0033084008253506897
Zn_3,0.0061947203303994655
Zn_4,0.0081335751124856
Zn_5,0.009636949591597806
Zn_6,0.014249322632537796
Cu_1,0.005663779922670573
Cu_2,0.00867463717425903
Cu_3,0.009448736440631012
Cu_4,0.009746962735552056
Cu_5,0.013477396521475359
Cu_6,0.01518426786580521
Pb_1,-0.0020448222431830414
Pb_2,-0.0029894994421239547
Pb_3,-0.005496993230740968
Pb_4,-0.011038368501955791
Pb_5,-0.014168691508638157
Pb_6,-0.015761403947552027
