,yddH
Cr_1,0.00012156295538536565
Cr_2,0.003312510131335728
Cr_3,0.009372089956765431
Cr_4,0.014762529983482582
Cr_5,0.018240982474920675
Cr_6,0.02014973564144733
Fe_1,-0.005599275240866113
Fe_2,-0.027286361231082988
Fe_3,-0.04539163911468523
Fe_4,-0.06407330315511295
Fe_5,-0.0872622131868421
Fe_6,-0.0945641434650802
Cd_1,-0.0005313287778615729
Cd_2,0.00017008158464993316
Cd_3,0.003039701025613299
Cd_4,0.0066850512808520855
Cd_5,0.0029874344412192744
Cd_6,0.0061002465476595645
Zn_1,-0.009293247620175698
Zn_2,-0.01579055437420512
Zn_3,-0.0231052931472582
Zn_4,-0.025619491322319218
Zn_5,-0.02565026917627446
Zn_6,-0.02363303276114392
Cu_1,0.003095859710028432
Cu_2,0.006981596450916111
Cu_3,0.010873767015493448
Cu_4,0.0163311463400475
Cu_5,0.01670889949495072
Cu_6,0.019260480699575568
Pb_1,0.002591254658105753
Pb_2,0.01315422102032828
Pb_3,0.02311817986735834
Pb_4,0.03635309334293112
Pb_5,0.0527816839491912
Pb_6,0.07004486284246561
