,A,CysB
R2,,0.021987413912227582
xmin,,-4.4330305179
xmid,,0.4720321233594528
xmax,,3.9772486522
ystart,,0.3627440098999067
yend,,-2.4716363771880507
aat__00m_00s__1,0.358827139,-0.1277888639
aat__00m_30s__1,0.4216339127,-0.1394835766
aat__01m_00s__1,0.5237023909,-0.0189607874
aat__02m_00s__1,0.0639095599,0.38422940310000003
aat__05m_00s__1,-1.1534678832,1.3395606398
aat__10m_00s__1,0.42033114190000004,1.3076250607
aat__00m_00s__2,-0.3490075254,0.1269884803
aat__00m_30s__2,-0.4602307342,0.4347601231
aat__01m_00s__2,0.0807761059,0.5324037686
aat__02m_00s__2,-1.1272362626,0.9816632017
aat__05m_00s__2,-1.0933841323,1.5246939245
aat__10m_00s__2,-0.5801278655000001,1.7517866319
aat__00m_00s__3,-0.0098196136,0.0008003836
aat__00m_30s__3,0.1887377376,0.0789020814
aat__01m_00s__3,0.2063050065,0.1364204376
aat__02m_00s__3,-0.4910843442,0.409513528
aat__05m_00s__3,-1.2726672365,1.2692347137
aat__10m_00s__3,-0.5156836308,1.3613592837000001
abx_mega__dmso-2__1,1.3053524657,0.6382570215000001
abx_mega__ery_dmso__1,2.0565072973,-0.3315318367
abx_mega__nal_naoh__1,0.8298840016,0.5764907361
abx_mega__dmso-5__1,1.2195808332,0.0167750786
abx_mega__rif_dmso__1,3.8768482641,-0.750527241
abx_mega__novo_h2o__1,2.5062512441,-0.5703463240000001
abx_mega__rach_dmso__1,3.2342510452,-0.8555429246
abx_mega__metro_dmso__1,3.3050802201,0.13888758980000002
abx_mega__dmso-6__1,1.7542078767,-0.0554193082
abx_mega__chl_h2o__1,0.2598481157,0.2284818394
abx_mega__cst_h2o__1,0.5026517801,-0.1196698382
abx_mega__tec_h2o__1,-0.5133813787,-0.3449798935
abx_mega__str_h2o__1,-1.0416045389,1.1169475663
abx_mega__ctx_h2o__1,-0.223193243,-0.41485102150000003
abx_mega__nal_naoh__2,1.2111593,0.0507313958
abx_mega__phos_h2o__1,-1.8827679498,-0.7274179601
abx_mega__dmso-5__2,1.014782242,-0.178849966
abx_mega__polmyx_h2o__1,0.5050459831,-0.4623337051
abx_mega__h2o-8b__1,-0.8409039861000001,-0.0059149482
abx_mega__h2o-6__1,0.8552339875,0.2578506941
abx_mega__thio_dmso__1,-0.0555469332,-0.9428703262
abx_mega__phos_h2o__2,0.1513732892,-0.22410519610000001
abx_mega__ctx_h2o__2,0.4749737398,-0.9213158863
abx_mega__lzd_dmso__1,0.9135836862000001,-0.1420263347
abx_mega__naoh-9__1,1.1087352623,0.0499046126
abx_mega__dox_dmso__1,0.44726220590000004,-0.8714365168
abx_mega__phos_ethanol__1,1.0482223263,0.050923295300000004
abx_mega__teix_dmso__1,2.0093335587,-1.2156187584
abx_mega__dmso-10__1,1.2826576762,-0.1479042026
abx_mega__van_dmso__1,-4.7277150095,-1.6984036122
abx_mega__ramo_h2o__1,0.2173105142,-0.7096658302000001
abx_mega__tec_h2o__2,-0.5161631738,-1.1675629643
abx_mega__h2o-7__1,-0.5040652513,-0.8004458663
abx_mega__cro_h2o__1,0.6746356532000001,-0.7581876553
abx_mega__tric_ethanol__1,0.3860493567,-0.4149425651
abx_mega__nor_naoh__1,0.8795262286000001,0.2654321007
abx_mega__teix_dmso__2,1.5729498348000002,-0.5713505280000001
abx_mega__nal_naoh__3,1.2288870079,0.08557556990000001
abx_mega__novo_h2o__2,2.4979578082,-0.7039500648
abx_mega__dmso-10__2,1.0349156565,-0.029483668900000003
abx_mega__phos_h2o__3,0.1900634931,0.477140883
abx_mega__dmso-6__2,1.6564542307,-0.254379026
