,new_2025088_2025159_c
LBexp_1,8.2592
LBexp_2,9.8103
LBexp_3,9.4055
LBtran_1,10.4809
LBtran_2,9.9455
LBtran_3,9.3284
LBstat_1,10.1406
LBstat_2,9.8757
LBstat_3,9.3466
LBGexp_1,8.0788
LBGexp_2,7.6685
LBGexp_3,8.042300000000001
LBGtran_2,7.9923
LBGtran_3,9.5119
LBGstat_1,7.4749
LBGstat_2,7.575
LBGstat_3,8.1871
S0_1,8.6008
S0_2,8.6945
S0_3,9.5219
S1_1,11.7301
S1_2,11.5217
S1_3,11.9212
S2_1,11.5404
S2_2,10.7326
S2_3,10.2165
S3_1,10.8269
S3_2,13.1988
S4_1,11.5409
S4_2,11.4019
S4_3,9.8284
S5_1,10.6366
S5_2,11.1727
S5_3,11.3977
S6_1,8.8229
S6_2,7.5187
S6_3,9.5414
S6/t_1,9.2656
S6/t_2,7.6291
S6_4,9.7642
S6_5,9.9973
S6_6,10.1494
S7_4,10.6241
S7_5,10.277
S7_6,10.4911
S8_4,10.0836
S8_5,9.8057
G135_1,8.1963
G135_3,7.6656
G150_1,7.8455
G150_2,7.7273
G150_3,7.8683
G180_1,7.5466
G180_2,7.6825
G180_3,7.4431
C30_1,10.5343
C30_2,10.7964
C90_1,12.2586
C90_2,11.79
BI_1,10.4088
BI_2,10.2211
BC_2,10.2067
BC/t_1,10.5959
BC/t_2,11.4231
BC_1,10.6841
Sw_1,11.7201
Sw_2,10.7029
BT_1,10.2562
BT_2,9.0225
B36_1,10.147
B36_2,9.7639
B60_1,9.738
B60_2,10.8495
M9exp_1,13.704
M9exp_2,13.3506
M9exp_3,13.2647
M9tran_1,11.7247
M9tran_2,11.6872
M9tran_3,12.1736
M9stat_1,9.8966
M9stat_2,8.9942
M9stat_3,8.7405
M+G_1,12.0454
M+G_2,12.6675
M+G_3,12.2548
Glu_1,13.1775
Glu_2,12.8355
Glu_3,13.2891
Fru_1,13.3924
Fru_2,12.3597
Fru_3,12.3785
Mal_1,10.4792
Mal_2,11.8158
Mal_3,11.6577
G+S_2,11.1832
G+S_3,11.8955
Pyr_1,10.558
Pyr_2,10.8058
Pyr_3,10.6863
Gly_1,10.1485
Gly_2,10.725
Gly_3,10.0085
Glucon_1,11.4601
Glucon_2,11.9312
Glucon_3,10.9559
aero_1,10.2192
aero_2,8.5661
aero_3,9.4576
nit_1,10.2488
nit_2,10.4608
nit_3,9.713799999999999
ferm_1,10.4242
ferm_2,9.0878
ferm_3,10.3914
T-5.40H_1,12.3981
T-4.40H_1,12.0069
T-3.40H_1,12.5791
T-2.40H_1,12.0529
T-1.40H_1,11.8482
T-1.10H_1,12.094
T-0.40H_1,11.0855
T0.0H_1,11.4923
T0.30H_1,9.4251
T1.0H_1,8.9846
T1.30H_1,9.074
T2.0H_1,9.8203
T2.30H_1,10.3407
T3.0H_1,9.7048
T3.30H_1,9.694
T4.0H_1,9.4718
T5.0H_1,8.9799
HPh_1,10.3603
HPh_2,10.3348
HPh_3,10.7811
LPh_1,10.4666
LPh_2,10.3683
LPh_3,10.0977
LPhT_1,10.1794
LPhT_2,9.7537
LPhT_3,9.8244
SMMPr_1,12.1566
SMMPr_2,11.5201
SMMPr_3,11.7635
HiTm_1,10.719100000000001
HiTm_2,12.8288
HiTm_3,14.0329
LoTm_1,12.3785
LoTm_2,12.1521
LoTm_3,11.9552
HiOs_1,12.7327
HiOs_2,13.1394
HiOs_3,12.9129
BMM_1,14.6559
BMM_2,14.648
BMM_3,14.5421
Heat_1,13.8533
Heat_2,13.7873
Heat_3,13.6114
Cold_1,10.2749
Cold_2,11.1481
Cold_3,9.9603
Etha_1,9.5957
Etha_2,9.4892
Etha_3,9.7305
SMM_1,12.7536
SMM_2,12.868500000000001
SMM_3,12.792
Salt_1,9.4091
Salt_2,9.5207
Salt_3,9.1941
Mt0_1,8.7812
Mt0_3,7.6675
M0t45_1,10.0205
M0t45_2,8.7409
M0t45_3,8.9896
M0t90_1,10.2492
M0t90_2,10.428
M0t90_3,10.7262
M40t45_1,9.5112
M40t45_2,10.2924
M40t45_3,9.3355
M40t90_1,9.9869
M40t90_2,10.2
M40t90_3,10.5149
dia0_1,7.9223
dia0_2,8.4552
dia0_3,8.5867
dia5_1,8.7134
dia5_2,8.8736
dia5_3,8.9619
dia15_1,8.1926
dia15_2,8.517
dia15_3,8.4906
Diami_1,9.0913
Diami_2,9.0357
Diami_3,8.9106
Paraq_1,7.7198
Paraq_2,7.9288
Paraq_3,7.201
H2O2_1,7.7287
H2O2_2,7.6035
H2O2_3,7.6741
Oxctl_1,8.0496
Oxctl_2,8.1215
Oxctl_3,7.836
GM-0.1_1,12.7537
GM-0.2_1,12.7773
GM+5_1,11.7394
GM+15_1,13.4775
GM+25_1,14.5556
GM+45_1,13.4162
GM+60_1,13.6291
GM+90_1,13.2365
GM+120_1,12.5689
GM+150_1,12.7458
GM-0.1_2,13.292
GM-0.2_2,13.6711
GM+5_2,12.3275
GM+10_2,13.2742
GM+15_2,13.3754
GM+25_2,14.4726
GM+45_2,12.509
GM+60_2,12.5969
GM+90_2,13.8165
GM+150_2,11.3036
GM-0.1_3,13.0723
GM-0.2_3,13.0426
GM+5_3,12.4448
GM+10_3,12.3775
GM+15_3,13.3819
GM+25_3,13.3938
GM+45_3,12.3787
GM+60_3,12.4599
GM+90_3,13.1697
GM+120_3,13.0329
GM+150_3,13.1884
MG-0.1_1,13.1013
MG+5_1,14.9012
MG+10_1,15.5945
MG+15_1,13.703
MG+25_1,13.2823
MG+45_1,12.267900000000001
MG+120_1,11.4576
MG+150_1,12.9917
MG-0.1_2,12.2376
MG-0.2_2,12.9656
MG+5_2,14.779
MG+10_2,14.9756
