,lepA
Cr_1,-0.00022448748781947714
Cr_2,-0.0002567938959190126
Cr_3,0.0015985638054369562
Cr_4,0.0011484159680145776
Cr_5,-0.0015701040087455233
Cr_6,-0.005243251734477953
Fe_1,-0.00851211219209849
Fe_2,-0.022325340176130876
Fe_3,-0.030253182921496112
Fe_4,-0.038885462581840315
Fe_5,-0.044319545509686316
Fe_6,-0.046222650463826585
Cd_1,-0.0008322925859565344
Cd_2,0.0003805921574212213
Cd_3,0.0037465625739871405
Cd_4,0.007153633578678704
Cd_5,0.006658741267003312
Cd_6,0.013043029333220593
Zn_1,0.0020498789118979987
Zn_2,0.007687551386537581
Zn_3,0.021962317820959743
Zn_4,0.04311604367394586
Zn_5,0.06743348511003429
Zn_6,0.08804080841759461
Cu_1,0.0030233726711459967
Cu_2,0.004952404472903583
Cu_3,0.00832960497277235
Cu_4,0.012284312762970704
Cu_5,0.01752710718443456
Cu_6,0.025847081456134503
Pb_1,0.003870714150634429
Pb_2,0.005638630709598531
Pb_3,0.012765932966018884
Pb_4,0.023779129339699067
Pb_5,0.03152193603433636
Pb_6,0.04133533581422531
