,cueR
Cr_1,0.001593382846136361
Cr_2,0.008505105338436758
Cr_3,0.018751962613762482
Cr_4,0.02424992116351916
Cr_5,0.02974480602014333
Cr_6,0.03626740323883045
Fe_1,-0.024106284500890363
Fe_2,-0.05298975357526137
Fe_3,-0.07821591728593591
Fe_4,-0.09974419604923344
Fe_5,-0.12361426646765752
Fe_6,-0.14751086064373176
Cd_1,-0.005197473915141711
Cd_2,-0.008852656169954433
Cd_3,-0.00985767737304332
Cd_4,-0.011720469052996205
Cd_5,-0.021871637674431902
Cd_6,-0.023023796783760098
Zn_1,-0.019086362307359547
Zn_2,-0.030328845960915143
Zn_3,-0.03759726550101171
Zn_4,-0.02077676581015888
Zn_5,-0.010164759843559707
Zn_6,0.0009875378231971744
Cu_1,0.006311083959342622
Cu_2,0.007037744426728864
Cu_3,0.009948000030624269
Cu_4,0.016953970919932806
Cu_5,0.02578396530138078
Cu_6,0.04440343681413887
Pb_1,0.0035992277839517477
Pb_2,0.010280586633528469
Pb_3,0.015647877286868037
Pb_4,0.02795457597222921
Pb_5,0.03938384672496216
Pb_6,0.04240882671662548
