,A,SpeB
R2,,0.9965867801655464
xmin,,-7.9315049879
xmid,,
xmax,,10.5300731996
ystart,,-12.842030979479974
yend,,17.032048628990196
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,0.646194669,0.5213074525
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,0.9952546559000001,1.1105951055
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,-1.641449325,-1.6319025580000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,12.5013706439,7.4587823735
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,12.3746971308,7.4462614037
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,10.5109523082,6.9038764391
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,14.4836136657,8.0275017312
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,14.0975501289,7.880933104
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,12.9236688189,7.4775989253
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,-4.3255368174,-2.2804644033
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,-3.2155033796,-1.926998383
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,0.14584435310000002,0.0197818614
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,-1.2294915421,-0.888970306
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,-1.8493902476000001,-1.0802649621
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-5.1499449268,-3.4926952327
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-2.3308787191,-1.6343438187000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-1.5289870839000002,-1.4767973865
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-1.7055299176,-1.4444137982
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,3.7572104436,2.1604544333
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-2.0144808062,-1.1950947856
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-4.7542749026,-2.9047499246
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,0.356100849,0.21889839190000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,1.0697996496,0.5353933635
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,0.8039881440000001,0.6775346040000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,2.3704610809,1.6339298273
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,0.24550437360000002,0.29138078430000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,-2.7389316426,-1.6287040741
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,7.9694476562,5.2316811448
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,7.6714598353,4.7941498779
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,6.4531336002,4.3902927864
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,15.9535801495,9.8766982414
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,15.6944264808,9.5652665003
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,15.3045735032,9.4109363334
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,14.3756422737,9.003161252
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,12.9526917259,8.4153320103
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,14.3674898104,9.0632051224
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,14.8457623728,9.3034825827
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,15.2255026443,9.3007976029
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,16.343287015,9.863319348000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,14.3527553096,8.8606161232
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,14.317326813,8.9474055805
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,15.7365433669,9.7467962004
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,15.8045528402,9.7020873673
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,16.3589264126,9.9561034993
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,16.1430341278,9.7805082072
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,15.3567710884,9.4882455556
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,17.843800103,10.2122110713
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,15.5054828662,9.4146369439
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,15.5175385967,9.6876255354
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,15.4012109978,9.5776344515
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,16.4511912766,10.2343405377
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,2.2114871761,1.3519731391
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,-2.4991064775,-1.4401621134
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.2876193013,0.0881889743
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,1.1692645255,1.2898863817000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,4.7311643348,3.4607377463
