,BSU_tRNA_84
M9exp_1,9.5871
M9exp_2,8.5312
M9exp_3,8.6942
M9tran_1,9.4456
M9tran_2,9.2779
M9tran_3,9.2605
M9stat_1,9.2271
M9stat_2,9.5073
M9stat_3,9.257
MG-0.1_1,9.8039
MG-0.1_2,8.1714
MG-0.1_3,9.7168
MG-0.2_2,9.0614
MG-0.2_3,9.4819
MG+5_1,10.6662
MG+5_2,8.879
MG+5_3,8.9779
MG+10_1,9.5303
MG+10_2,9.3173
MG+10_3,9.2475
MG+15_1,8.9472
MG+15_2,9.5546
MG+15_3,9.2711
MG+25_1,9.1451
MG+25_2,9.4994
MG+25_3,8.9958
MG+45_1,10.6697
MG+45_2,8.7855
MG+45_3,9.087
MG+60_2,8.64
MG+60_3,9.4403
MG+90_2,8.9374
MG+90_3,8.8323
MG+120_1,9.1511
MG+120_2,8.9339
MG+120_3,8.0833
MG+150_1,8.7207
MG+150_3,9.2718
GM-0.1_1,9.7229
GM-0.1_2,8.6645
GM-0.1_3,9.5465
GM-0.2_1,9.4707
GM-0.2_2,8.8031
GM-0.2_3,9.0058
GM+5_1,8.5283
GM+5_2,8.9225
GM+5_3,9.4985
GM+10_2,9.7418
GM+10_3,7.6927
GM+15_1,9.9634
GM+15_2,9.6372
GM+15_3,9.8714
GM+25_1,8.7882
GM+25_2,9.6373
GM+25_3,9.0297
GM+45_1,10.0989
GM+45_2,8.1818
GM+45_3,8.6667
GM+60_1,9.4549
GM+60_2,8.2807
GM+60_3,8.7178
GM+90_1,9.7473
GM+90_2,9.3287
GM+90_3,8.3991
GM+120_1,9.4321
GM+120_3,8.8774
GM+150_1,9.1238
GM+150_2,8.3478
GM+150_3,8.3799
BT_1,10.4555
BT_2,8.3161
B36_1,10.3206
B36_2,9.3119
B60_1,9.4145
B60_2,9.7502
S0_1,10.014
S0_2,9.4775
S0_3,9.5691
S1_1,10.8022
S1_2,12.1233
S1_3,9.857
S2_1,9.5983
S2_2,9.1733
S2_3,9.1682
S3_1,11.7134
S3_2,9.8825
S4_1,9.9461
S4_2,10.8262
S4_3,10.1305
S5_1,10.9866
S5_2,10.1327
S5_3,10.4898
S6_1,10.7537
S6_2,11.4921
S6_3,10.037
S6/t_1,10.4702
S6/t_2,10.5753
S6_4,10.8655
S6_5,11.8727
S6_6,11.5578
S7_4,12.6958
S7_5,11.6503
S7_6,11.6453
S8_4,11.5792
S8_5,12.942
G135_1,8.4919
G135_3,8.4414
G150_1,7.8659
G150_2,9.4798
G150_3,7.8333
G180_1,7.8305
G180_2,7.5995
G180_3,8.8579
T-5.40H_1,8.9172
T-4.40H_1,9.1173
T-3.40H_1,9.9091
T-2.40H_1,9.2613
T-1.40H_1,9.4411
T-1.10H_1,9.4416
T-0.40H_1,9.7759
T0.0H_1,9.1997
T0.30H_1,10.4394
T1.0H_1,9.4116
T1.30H_1,9.2995
T2.0H_1,8.7813
T2.30H_1,9.2835
T3.0H_1,9.0356
T3.30H_1,8.2327
T4.0H_1,8.6583
T5.0H_1,7.7429999999999986
LBexp_1,8.932
LBexp_2,8.4149
LBexp_3,8.8342
LBtran_1,8.523
LBtran_2,8.4246
LBtran_3,8.1483
LBstat_1,9.3572
LBstat_2,9.0917
LBstat_3,11.7256
LBGexp_1,8.7848
LBGexp_2,8.2875
LBGexp_3,8.6693
LBGtran_2,8.262
LBGtran_3,9.1999
LBGstat_1,9.1675
LBGstat_2,8.902999999999997
LBGstat_3,9.5198
Mt0_1,9.3593
Mt0_3,9.5705
M0t45_1,7.8318
M0t45_2,9.815
M0t45_3,9.9836
M0t90_1,8.7942
M0t90_2,10.1828
M0t90_3,7.9435
M40t45_1,7.6547
M40t45_2,10.0633
M40t45_3,9.3598
M40t90_1,8.433
M40t90_2,8.6061
M40t90_3,8.4948
dia0_1,8.0505
dia0_2,8.1807
dia0_3,9.0663
dia5_1,8.7604
dia5_2,8.4892
dia5_3,8.1552
dia15_1,8.6179
dia15_2,9.0167
dia15_3,8.2052
C30_1,9.4467
C30_2,9.862
C90_1,9.2334
C90_2,9.6089
SMM_1,9.4839
SMM_2,9.5632
SMM_3,9.6863
Salt_1,9.6764
Salt_2,9.5043
Salt_3,8.8426
M+G_1,9.4104
M+G_2,9.8684
M+G_3,9.791
Glu_1,9.9906
Glu_2,9.9491
Glu_3,9.9073
Fru_1,10.6108
Fru_2,11.4391
Fru_3,9.0219
Mal_1,9.4301
Mal_2,10.2325
Mal_3,8.6968
G+S_2,11.0673
G+S_3,10.0966
Pyr_1,10.0548
Pyr_2,10.5778
Pyr_3,9.9777
Gly_1,9.8445
Gly_2,11.2809
Gly_3,10.1431
Glucon_1,9.1392
Glucon_2,9.6629
Glucon_3,9.6213
BI_1,8.6498
BI_2,9.2768
BC_2,10.431
BC/t_1,11.147
BC/t_2,11.4931
BC_1,10.1922
Sw_1,10.4965
Sw_2,9.7089
BMM_1,9.2893
BMM_2,9.2761
BMM_3,9.0068
Heat_1,9.6445
Heat_2,9.4288
Heat_3,9.2585
Cold_1,9.9729
Cold_2,8.8231
Cold_3,8.899
Etha_1,10.0622
Etha_2,9.4905
Etha_3,9.8342
SMMPr_1,9.084
SMMPr_2,9.3247
SMMPr_3,9.6856
HiTm_1,11.0574
HiTm_2,10.687
HiTm_3,11.0017
LoTm_1,8.6834
LoTm_2,8.7131
LoTm_3,8.814
HiOs_1,9.3583
HiOs_2,9.7984
HiOs_3,9.548
Oxctl_1,7.8968
Oxctl_2,8.7903
Oxctl_3,9.9723
Diami_1,8.3636
Diami_2,7.4817
Diami_3,7.8786
Paraq_1,8.293
Paraq_2,10.3424
Paraq_3,7.4423
H2O2_1,7.9847
H2O2_2,8.4732
H2O2_3,8.2918
HPh_1,11.36
HPh_2,10.9194
HPh_3,11.9804
LPh_1,11.127
LPh_2,10.7927
LPh_3,10.6906
LPhT_1,12.0917
LPhT_2,12.1422
LPhT_3,11.9181
aero_1,10.2045
aero_2,9.4263
aero_3,10.4824
nit_1,10.668
nit_2,10.6534
nit_3,10.2781
ferm_1,10.1684
ferm_2,9.7924
ferm_3,10.5912
