,hemA
Cr_1,0.0005678268372621495
Cr_2,0.0063216326069123596
Cr_3,0.0110725812108205
Cr_4,0.017086659280390815
Cr_5,0.023137458649535283
Cr_6,0.027850450449983175
Fe_1,-0.006854133499366357
Fe_2,-0.01249366642059947
Fe_3,-0.0031445170057267783
Fe_4,0.017095495516695758
Fe_5,0.03317707584605214
Fe_6,0.0531659006169421
Cd_1,-0.0171284739728531
Cd_2,-0.028533503424421607
Cd_3,-0.032689713548314465
Cd_4,-0.036110631032005784
Cd_5,-0.04104042585756439
Cd_6,-0.03316348133261461
Zn_1,-0.0012324698618436539
Zn_2,0.004026749223231593
Zn_3,0.015111055996774148
Zn_4,0.02770498856627167
Zn_5,0.03910640070299457
Zn_6,0.043517425822484114
Cu_1,-0.0013243345766191408
Cu_2,-0.001194948411208448
Cu_3,0.0007680735987431534
Cu_4,0.007201548294386683
Cu_5,0.015571430703510502
Cu_6,0.02225037685964044
Pb_1,0.002999464053315028
Pb_2,0.007573698576951987
Pb_3,0.006604710192001837
Pb_4,0.011400960240623374
Pb_5,0.01729322974142401
Pb_6,0.026264424564601388
