,udk
Cr_1,0.011041643493088577
Cr_2,0.02707656890368245
Cr_3,0.038442350960877635
Cr_4,0.04905159771673416
Cr_5,0.06397525505281851
Cr_6,0.07831377810875323
Fe_1,-0.0015693890706064734
Fe_2,0.014213667163697331
Fe_3,0.04501498845967791
Fe_4,0.0729760950460541
Fe_5,0.10362597613497973
Fe_6,0.12869954878909592
Cd_1,0.003163367622152997
Cd_2,0.011462991956373928
Cd_3,0.02216433107598742
Cd_4,0.025999339378942204
Cd_5,0.02679374331545929
Cd_6,0.03101780259997885
Zn_1,0.013003385650479206
Zn_2,0.022242128616061792
Zn_3,0.027971736040298442
Zn_4,0.03567474312290898
Zn_5,0.032930113871781484
Zn_6,0.02447648463922347
Cu_1,0.0071879203430436685
Cu_2,0.01049346797956454
Cu_3,0.016776057814077778
Cu_4,0.028826309299583793
Cu_5,0.03500983543683776
Cu_6,0.043764694765598536
Pb_1,0.0023373760722657307
Pb_2,0.003020754309895239
Pb_3,-0.0001178539785781312
Pb_4,0.002038003660459721
Pb_5,0.008861200682449881
Pb_6,0.019960091741903867
