,A,AtoC,RpoN
R2,,0.017007201488385526,0.006519195404026568
xmin,,-4.3210940954,-2.3873792415
xmid,,,0.2596575655927142
xmax,,4.066392929,1.8751403472
ystart,,-0.7096876141027209,0.18945077547659342
yend,,1.276807418417674,1.5789730295991165
aat__00m_00s__1,1.6536803453000002,0.3727748876,-0.1868415971
aat__00m_30s__1,-0.0085183625,-0.29440246470000003,-0.20162633530000001
aat__01m_00s__1,-0.3443924372,-0.3226111312,-0.1942665755
aat__02m_00s__1,-0.22978425830000002,-0.46763839840000004,-0.1859665862
aat__05m_00s__1,-0.9724162874000001,-0.4685221822,-0.1681106608
aat__10m_00s__1,0.23026346490000002,-0.5082064412,-0.3706350145
aat__00m_00s__2,0.13753882350000002,-0.1806402546,0.3031607257
aat__00m_30s__2,-3.2478444033000002,-0.4001466583,0.039643016600000004
aat__01m_00s__2,0.1246559925,0.0521159963,-0.0013643723
aat__02m_00s__2,-0.7371541282,-0.5138370985,-0.0414927971
aat__05m_00s__2,-0.3624914717,-0.5436494186,-0.0746450885
aat__10m_00s__2,0.8782884711000001,0.0795520064,-0.23586419190000002
aat__00m_00s__3,-1.7912191688,-0.192134633,-0.1163191286
aat__00m_30s__3,0.5528022436,0.1954813038,-0.0736221406
aat__01m_00s__3,-0.3675270308,0.139784085,-0.17730413120000002
aat__02m_00s__3,-0.0104352505,-0.023512741900000002,0.020768331
aat__05m_00s__3,0.022985221400000002,-0.5118407424,-0.0944720948
aat__10m_00s__3,0.7081191285,0.153983164,-0.2044310802
abx_mega__dmso-2__1,-0.9014112236,1.5469213633,1.436026237
abx_mega__ery_dmso__1,2.0336724047,-2.0411167467,-0.4394529035
abx_mega__nal_naoh__1,1.4885852437,0.5652934803,0.8772278743
abx_mega__dmso-5__1,1.4301756992999999,0.4849886446,0.48399777580000003
abx_mega__rif_dmso__1,3.7415910984,0.8238507904,0.5157631166000001
abx_mega__novo_h2o__1,0.5160847932,-2.4757741484,-0.47626519900000003
abx_mega__rach_dmso__1,-0.10045508060000001,-1.0405108175,0.2802484757
abx_mega__metro_dmso__1,1.9923638583,0.1752676148,0.5245333254
abx_mega__dmso-6__1,0.1899162517,0.7775793487,0.6253545409
abx_mega__chl_h2o__1,2.3611252541,-2.6283443909,-1.1569223535
abx_mega__cst_h2o__1,-0.6416175458000001,0.6195687562000001,0.47138731170000003
abx_mega__tec_h2o__1,-0.6447921761000001,-1.1336120483,1.1163565781
abx_mega__str_h2o__1,-0.4132876106,0.1420167716,1.0148136427
abx_mega__ctx_h2o__1,0.3267551588,0.4244394215,0.17737386800000002
abx_mega__nal_naoh__2,-0.1901255477,0.1510503628,0.29679740990000003
abx_mega__phos_h2o__1,-1.5899015055999999,-0.066135649,0.0454729513
abx_mega__dmso-5__2,0.9715296864,0.18896370640000001,0.3122538416
abx_mega__polmyx_h2o__1,-1.093993161,0.2635630083,0.2227196066
abx_mega__h2o-8b__1,-0.3804528995,0.23242927840000002,0.5063994107
abx_mega__h2o-6__1,0.2793551105,0.6809668947,0.3051735166
abx_mega__thio_dmso__1,0.9631588105000001,-2.1045311832,-0.5165923039
abx_mega__phos_h2o__2,-0.3853102727,0.3075019751,0.2233186073
abx_mega__ctx_h2o__2,-1.2322715993,-0.7090693624000001,0.29327006640000003
abx_mega__lzd_dmso__1,1.8166785657000002,-2.0505117546,-0.4751825277
abx_mega__naoh-9__1,-0.5006821947,0.49616809570000003,0.7141301084
abx_mega__dox_dmso__1,0.3215403692,-1.3053965866000001,-0.1250149644
abx_mega__phos_ethanol__1,-0.7522662787000001,0.1393472866,0.1832669966
abx_mega__teix_dmso__1,-0.6872181698000001,-0.5300145526,0.24005400300000002
abx_mega__dmso-10__1,0.06805122300000001,0.7504605337,0.46972722450000004
abx_mega__van_dmso__1,3.3185521623,-3.3471004547,-1.4643864076
abx_mega__ramo_h2o__1,-1.5477255069,-1.0534366515,0.1260201991
abx_mega__tec_h2o__2,-1.1086752135,-1.5155579598,0.3343991052
abx_mega__h2o-7__1,-1.3592109071,-0.5620852057,0.4390523529
abx_mega__cro_h2o__1,-0.6426411264,-0.0877072769,0.0244285967
abx_mega__tric_ethanol__1,0.5332641061,0.20598841750000002,0.8885968622
abx_mega__nor_naoh__1,0.18990305470000002,-0.0630993621,0.0717713583
abx_mega__teix_dmso__2,1.41978871,-0.0376811285,0.0577123861
abx_mega__nal_naoh__3,0.1727647947,-0.0017103323,0.3177105557
abx_mega__novo_h2o__2,4.008106065,-2.7958927591,-0.515894651
abx_mega__dmso-10__2,-0.7878723391,0.46309296250000004,0.5026956472
abx_mega__phos_h2o__3,0.4383575847,0.4660300808,0.25320663050000003
abx_mega__dmso-6__2,2.5556337018,0.6931108968,0.399044075
abx_mega__rfp_ethanol__1,-0.39903285110000003,-1.0513045651,-0.1980047811
abx_mega__dmso-5__3,1.7665437512,0.5651473193000001,0.44623232
abx_mega__amyc-d_dmso__1,4.0889042122,-1.4155236779,-1.6569644717
