,qseB
Cr_1,0.00999378721562014
Cr_2,0.015706448138065748
Cr_3,0.024565907029580027
Cr_4,0.03132967317573903
Cr_5,0.0384175251372724
Cr_6,0.042875852372647634
Fe_1,-0.011420543080791972
Fe_2,-0.02116898056671784
Fe_3,-0.024544952347396398
Fe_4,-0.029184221322288175
Fe_5,-0.023369808822613133
Fe_6,-0.012504389591717893
Cd_1,-0.0008595592969219598
Cd_2,0.0008648679182536062
Cd_3,0.003307517875358653
Cd_4,0.0061541510372845505
Cd_5,0.007203915474741105
Cd_6,0.009509743516874348
Zn_1,-0.007199861491522511
Zn_2,-0.016061265220522866
Zn_3,-0.01261563298744628
Zn_4,-0.0021779503210347965
Zn_5,0.001852091007256668
Zn_6,0.010287227093089657
Cu_1,0.0009705672210484805
Cu_2,0.0033002122201683318
Cu_3,0.010387617416234913
Cu_4,0.018300600141419626
Cu_5,0.02650023886033626
Cu_6,0.030759394574516638
Pb_1,0.003646033120035583
Pb_2,0.013124970657799342
Pb_3,0.01706841815389491
Pb_4,0.02429033589106028
Pb_5,0.034914908554535315
Pb_6,0.0424577276072256
