,cadA
Cr_1,0.0048708506950447894
Cr_2,0.012356349977262496
Cr_3,0.020587926420158675
Cr_4,0.02860681564665885
Cr_5,0.02835942401231315
Cr_6,0.03287230040810938
Fe_1,-0.012599412255253323
Fe_2,-0.03732712531063778
Fe_3,-0.05800760204360505
Fe_4,-0.07890349574039025
Fe_5,-0.09614172347468512
Fe_6,-0.1115888709095428
Cd_1,-0.004295988312278674
Cd_2,0.00453951158619079
Cd_3,0.004641524989597622
Cd_4,0.010384757932797644
Cd_5,0.0020408687985155388
Cd_6,0.007932261483872714
Zn_1,-0.0066376844104573405
Zn_2,-0.015290183990536816
Zn_3,-0.018537345306262186
Zn_4,-0.018168947801841667
Zn_5,-0.018256712589876142
Zn_6,-0.014718371577034331
Cu_1,0.00651160302162128
Cu_2,0.009374498511062795
Cu_3,0.01461771373416749
Cu_4,0.01994294153919606
Cu_5,0.02278071406976029
Cu_6,0.026337292388589
Pb_1,0.0053560628452803795
Pb_2,0.011783291034453766
Pb_3,0.01838757748722191
Pb_4,0.02207903748384332
Pb_5,0.02224627876140549
Pb_6,0.0257745335600661
