,A,PurR
R2,,0.6934310659180098
xmin,,-8.216346238
xmid,,-4.90457559799255
xmax,,3.4450354554000002
ystart,,-22.332865361970857
yend,,15.90608663653188
SRX1125282,-0.5940684691,0.0503800698
SRX1125283,0.46927583770000003,-0.1332543878
SRX1125284,1.2438560066,0.0014101016
SRX1125285,0.4169375481,-0.31710006900000004
SRX1125286,1.1823015576,-0.1236172609
SRX1125287,2.0707469168,-0.14434727760000002
SRX1125288,0.1125189535,-0.09620490450000001
SRX1125289,1.2969869329,0.307580633
SRX1125290,1.245487533,0.0299441572
SRX1125291,0.46740571300000006,-0.047903106
SRX1125292,-0.0113370104,-0.0525267936
SRX1125293,-1.5245342897,0.1386270393
SRX1125294,0.48154951560000003,0.0458248346
SRX1125295,-0.278536119,0.036710582400000004
SRX1125296,1.3191333410000001,-0.1347482753
SRX1125297,-0.48369857180000003,-0.3814392776
SRX1125298,-1.2866698728000001,-0.1729125155
SRX1125299,-1.5022227573,0.0328515393
SRX5694250,-0.6921308482,-0.6308545497
SRX5694251,8.0206457033,0.9642391604
SRX5694252,2.3359767179,-0.8345776685
SRX5694253,-2.2707504445,-0.2068950134
SRX5694254,0.0752356587,-0.6537740621
SRX5694255,0.7100936716,-3.1097509295
SRX5694256,4.9783531561,0.3344845464
SRX5694257,-0.8787973361,-0.0095377874
SRX5694258,-1.5318984065999999,-0.885687412
SRX5694259,12.3995932962,1.2463405374
SRX5694260,-0.9188748714,-0.48759685680000003
SRX5694261,7.5664087195,0.1322098291
SRX5694262,2.2850129901000003,0.7614907853
SRX5694263,1.2009994948,-0.1629441797
SRX5694264,1.0656336859,-0.654276249
SRX5694265,0.6154182535,-0.22661067740000002
SRX5694267,-0.8577522724000001,-0.48338569680000004
SRX5694268,1.5710966837,0.46313978380000004
SRX5694269,-0.9479428203,-0.7300334133
SRX5694271,0.0367088188,-0.17031202410000001
SRX5694273,10.2216991807,0.8478450377000001
SRX5694274,-0.16405691290000002,-0.12258929730000001
SRX5694275,5.9273118428,0.5567196176
SRX5694276,2.8114113288,0.7572153494
SRX5694277,0.3868330927,0.18353017430000002
SRX5694278,1.7204892455,0.7504058657
SRX5694279,1.8646083488,0.9262867545000001
SRX5694280,2.0895843934,-0.382191416
SRX5694281,0.6784736027,0.1608268145
SRX5694282,2.1862074483,-0.3797146656
SRX5694283,2.333016367,-0.2506380211
SRX5694284,4.343516414,0.4590271107
SRX5694285,1.3206213999,-0.2262112198
SRX5694286,4.0355695613,-0.1097901218
SRX5694287,-3.066199613,-1.597759788
SRX5694288,0.6203665371,-0.6973502906
SRX5694289,-0.3502152535,-0.3677205216
SRX5694290,1.2000923389,-0.4054208729
SRX5694291,-0.6965399132,-2.8663266717
SRX5694292,0.7669285864000001,0.175079656
SRX5694293,-0.6721532865000001,-0.41796178040000004
SRX5694294,-2.1868391392,-0.7215461969
SRX5694295,7.1529298317,0.5792986026
SRX5694296,-1.0212477287,-0.3682340039
SRX5694297,1.0659167095,0.5060178807
SRX5694298,0.8996609601000001,-0.7928540342
SRX5694299,-1.6446600175000001,-0.0374945458
SRX5694300,0.3644735263,0.08753187230000001
SRX5694301,-0.028655851000000003,-0.0380562053
SRX5694302,1.4908175197,-0.1266266778
SRX5694303,0.5945449152,-0.1094064285
SRX5694304,1.8221509233000002,0.0246216029
SRX5694305,6.7635168858,1.4042502818
SRX5694306,0.2401603217,-0.323556242
SRX5694307,1.9045482664,-0.2156636415
SRX5694308,2.0193214141,0.4266018848
SRX5694309,8.0854495959,0.397011426
SRX5694310,3.7060113978,0.0885600465
SRX5694311,9.7734536253,1.0486614908
SRX5694312,3.5011169358,0.7220541446000001
SRX5694313,6.0096992425,0.4710066664
SRX5694315,0.9846015228,-0.39947614600000003
SRX5694317,-1.4022322744,-0.20159220090000002
SRX5694319,1.0646844197,-0.49902500650000003
SRX5694320,-1.1162112136,-3.0382148493
SRX5694321,3.2647575532,-0.078141955
