,yhhW
Cr_1,-0.000805277717451089
Cr_2,-0.0003075556076016922
Cr_3,0.0010079018483177156
Cr_4,0.000240599424119364
Cr_5,-0.0012379134052544036
Cr_6,-0.0036440835028184017
Fe_1,-0.008090708387734541
Fe_2,-0.021175479355748254
Fe_3,-0.03964864349636888
Fe_4,-0.05561292162592205
Fe_5,-0.06590198155239846
Fe_6,-0.0732207361284222
Cd_1,0.002117220576902968
Cd_2,0.010035811324617555
Cd_3,0.0222765922136182
Cd_4,0.03381037048886915
Cd_5,0.046828629492560434
Cd_6,0.06195349697521535
Zn_1,-0.0017298058854512926
Zn_2,0.0011263892970709425
Zn_3,0.0052466677915964394
Zn_4,0.0045858938938550566
Zn_5,0.010325855386091024
Zn_6,0.01815210432538247
Cu_1,0.0007887760800144311
Cu_2,0.00428951354988154
Cu_3,0.011805196107444807
Cu_4,0.012529076094771972
Cu_5,0.012593213835727226
Cu_6,0.016033684260233973
Pb_1,0.007909415175653278
Pb_2,0.01195793984079422
Pb_3,0.021200096347349637
Pb_4,0.0281080196655858
Pb_5,0.03845912844727406
Pb_6,0.04925094290116711
