,edd
Cr_1,-0.0009670321496117848
Cr_2,-0.0011718799611181818
Cr_3,0.00590846334893098
Cr_4,0.011629850544826079
Cr_5,0.02039570630234878
Cr_6,0.021788938951887774
Fe_1,-0.02496469677739096
Fe_2,-0.05310891919000338
Fe_3,-0.05237361923633559
Fe_4,-0.05555306140514605
Fe_5,-0.04450826253665408
Fe_6,-0.03611423234562528
Cd_1,0.006476666702768463
Cd_2,0.008594904570658328
Cd_3,0.018720324018474257
Cd_4,0.01961274523686168
Cd_5,0.02550116813681189
Cd_6,0.0401273048175845
Zn_1,-0.1039975080537591
Zn_2,-0.055684523063853526
Zn_3,-0.053129623239458544
Zn_4,-0.04873813823077093
Zn_5,0.01246673651104208
Zn_6,-0.021975554835317296
Cu_1,0.010393223329781038
Cu_2,0.034629904679224326
Cu_3,0.05062694274534088
Cu_4,0.05310179730508596
Cu_5,0.04795366772590234
Cu_6,0.04219935626405616
Pb_1,0.0012818487913849078
Pb_2,-0.005271277113883044
Pb_3,0.005886808651439006
Pb_4,-0.005230614531370066
Pb_5,0.010224510478043444
Pb_6,0.01997531039923637
