,A,TfoX
R2,,0.9090110504461973
xmin,,-3.693558668499999
xmid,,1.202193794891831
xmax,,8.7812265355
ystart,,-0.0175990910262378
yend,,75.79163209972114
Rich_TF_over_stress__BHIN_Growth_Late__1,-1.7521385906323426,-0.2481154724999985
Rich_TF_over_stress__BHIN_Growth_Late__2,-2.3481847761063555,-1.1968009434999995
Rich_TF_over_stress__BHIN_Growth_Mid__1,-3.502796099821532,-3.693558668499999
Rich_TF_over_stress__BHIN_Growth_Mid__2,-0.2739807025077201,-3.1401062674999998
Rich_TF_over_stress__BHIN_Growth_Stat__1,3.393544875666487,-3.4446989524999987
Rich_TF_over_stress__BHIN_Growth_Stat__2,2.72729026207684,-3.383381967499999
Rich_TF_over_stress__LBv2_Growth_Late__1,-4.050117160151476,-1.0873107144999992
Rich_TF_over_stress__LBv2_Growth_Late__2,-2.039401071113261,-0.1802818764999987
Rich_TF_over_stress__LBv2_Growth_Mid__1,0.7991405808781599,0.1173459705000006
Rich_TF_over_stress__LBv2_Growth_Mid__2,-0.7991405808781393,-0.1173459704999988
Rich_TF_over_stress__LBv2_Growth_Stat__1,0.623409717105366,-3.010504299499999
Rich_TF_over_stress__LBv2_Growth_Stat__2,1.9361138855046511,-2.7149113055
Rich_TF_over_stress__MHB_Rich_Mid__1,-0.8161250239807015,0.7395108835000013
Rich_TF_over_stress__MHB_Rich_Mid__2,-0.406975357478086,0.3487878035000005
Rich_TF_over_stress__NBO_Rich_Mid__1,-5.525292355678022,-1.0566538694999998
Rich_TF_over_stress__NBO_Rich_Mid__2,-3.3439673442537043,-0.8068202724999995
Carbons__M9Na_Arabinose_Mid__1,-2.8286663787659614,0.0441273784999989
Carbons__M9Na_Arabinose_Mid__2,-1.315597491119512,-1.716619562500001
Carbons__M9Na_Galactose_Mid__1,-1.145791182346438,0.491222647499999
Carbons__M9Na_Galactose_Mid__2,-0.539380138802891,0.9452946414999984
Carbons__M9Na_GlcNAcGrowth_Late__1,1.2436994275688602,-1.4916146615000008
Carbons__M9Na_GlcNAcGrowth_Late__2,0.0423431620553157,-1.8632533585000008
Carbons__M9Na_GlcNAcGrowth_Mid__1,1.1500759339711777,-1.438280100500001
Carbons__M9Na_GlcNAcGrowth_Mid__2,1.6318479794512846,-1.1087426235000013
Carbons__M9Na_GlcNAcGrowth_Stat__1,0.6768227875680444,-2.6428291895000005
Carbons__M9Na_GlcNAcGrowth_Stat__2,1.0942108383375908,-2.9488728025000013
Carbons__M9Na_GlcNAc_Mid__1,-1.8797180473525184,-1.6126988195000012
Carbons__M9Na_GlcNAc_Mid__2,-0.2286729452548173,-1.2202689655000007
Carbons__M9Na_Gluconate_Mid__1,1.0036887232107616,1.150426531499999
Carbons__M9Na_Gluconate_Mid__2,-1.165424954926429,1.7784148414999983
Carbons__M9Na_Glucosamine_Mid__1,0.063384578881318,0.2488695894999999
Carbons__M9Na_Glucosamine_Mid__2,0.4782052000600682,-0.3808618265000003
Carbons__M9Na_Glycerol_Mid__1,0.1175182605765493,1.4174375414999982
Carbons__M9Na_Glycerol_Mid__2,-0.4689233370523566,1.2384967814999983
Carbons__M9Na_Maltose_Mid__1,-5.16205831332986,-2.4079907505000007
Carbons__M9Na_Maltose_Mid__2,-3.204491298496569,-2.655447080500001
Carbons__M9Na_Mannitol_Mid__1,-2.027409031943715,0.2398117194999987
Carbons__M9Na_Mannitol_Mid__2,-1.8141247322160376,0.0717182324999985
Carbons__M9Na_Trehalose_Mid__1,-0.8325972318282071,-1.5874965675000006
Carbons__M9Na_Trehalose_Mid__2,-2.158640279797161,-1.9262484785000007
Carbons__M9Na_ethanol_Mid__1,2.32611388213444,-1.5834465785000011
Carbons__M9Na_ethanol_Mid__2,2.733945928933075,-1.1421374405000009
Carbons__M9Na_fructose_Mid__1,-2.175222517321653,-0.7771709975000007
Carbons__M9Na_fructose_Mid__2,-1.188570008975952,-1.9256398595000013
Carbons__M9Na_fumarate_Mid__1,2.9678449387632444,2.3001586714999984
Carbons__M9Na_fumarate_Mid__2,4.735158327473581,2.8812578214999984
Carbons__M9Na_glucoseGrowth_Late__1,-0.0894948561531817,-0.6888072265000016
Carbons__M9Na_glucoseGrowth_Late__2,-0.8074553184321221,-0.9254381595000004
Carbons__M9Na_glucoseGrowth_Mid__1,0.1032787629813013,-0.0794324185000014
Carbons__M9Na_glucoseGrowth_Mid__2,-0.1032787629813065,0.0794324184999997
Carbons__M9Na_glucoseGrowth_Stat__1,0.2237385755944927,-0.3423809965000011
Carbons__M9Na_glucoseGrowth_Stat__2,-1.881995207461217,-3.3037261675000007
Carbons__M9Na_ribose_Mid__1,0.4412769485054932,1.3864328714999985
Carbons__M9Na_ribose_Mid__2,4.307858894251832,3.3143714814999985
Carbons__M9Na_succinate_Mid__1,-1.8915172689544488,-3.070897673500001
Carbons__M9Na_succinate_Mid__2,-2.776866248625879,-3.1309198945000007
Carbons__M9Na_sucrose_Mid__1,3.7321128731822015,1.0877687914999985
Carbons__M9Na_sucrose_Mid__2,1.739383364717878,0.1617999434999983
Rich_TF_over_stress__LBv2_HapROver_Late__1,-1.2168115962755457,-0.3880979084999989
Rich_TF_over_stress__LBv2_HapROver_Late__2,-0.49322762428169,0.4844651735000003
Rich_TF_over_stress__LBv2_HapROver_Mid__1,-0.6836527451726465,0.4689233735000009
Rich_TF_over_stress__LBv2_HapROver_Mid__2,0.0299710176365989,0.9062694435000012
Rich_TF_over_stress__LBv2_HapROver_Stat__1,0.1105784758347271,-0.5073582364999982
Rich_TF_over_stress__LBv2_HapROver_Stat__2,1.5017492006779056,-0.5410036574999992
Rich_TF_over_stress__LBv2_LuxOOver_Late__1,0.4377222521611814,-1.2826003574999998
Rich_TF_over_stress__LBv2_LuxOOver_Late__2,1.1917535899182456,-1.0718992545
Rich_TF_over_stress__LBv2_LuxOOver_Mid__1,-1.3090192905443212,-0.1482893904999986
Rich_TF_over_stress__LBv2_LuxOOver_Mid__2,-1.991950627239771,0.0474439795000005
Rich_TF_over_stress__LBv2_LuxOOver_Stat__1,-1.040826335116949,-0.4392033274999996
Rich_TF_over_stress__LBv2_LuxOOver_Stat__2,1.4221546534161331,-0.1602154954999992
Rich_TF_over_stress__LBv2_QstROver_Late__1,1.0326953248809043,-0.9760416894999988
Rich_TF_over_stress__LBv2_QstROver_Late__2,0.694704303279432,-1.333174700499999
Rich_TF_over_stress__LBv2_QstROver_Mid__1,2.3939296202970533,-0.2938625694999999
Rich_TF_over_stress__LBv2_QstROver_Mid__2,1.1993146739347238,-0.3218084404999999
Rich_TF_over_stress__LBv2_QstROver_Stat__1,-1.1269525407237249,-0.5699008604999989
Rich_TF_over_stress__LBv2_QstROver_Stat__2,0.1425765247690718,-0.0829844074999996
Rich_TF_over_stress__LBv2_TfoXOver_Late__1,5.679759680112925,-2.446292429499999
Rich_TF_over_stress__LBv2_TfoXOver_Late__2,6.590882757686936,-2.0834854724999987
Rich_TF_over_stress__LBv2_TfoXOver_Mid__1,60.05669675743593,5.729021293500001
Rich_TF_over_stress__LBv2_TfoXOver_Mid__2,59.12036684114676,5.5563718935000015
Rich_TF_over_stress__LBv2_TfoXOver_Stat__1,52.15786691651471,5.1683342835
