,accB
Cr_1,0.005764709248487513
Cr_2,0.01439458411636177
Cr_3,0.019340264657872974
Cr_4,0.025297492970535396
Cr_5,0.03328165666214198
Cr_6,0.035009444445173815
Fe_1,-0.01667085295555773
Fe_2,-0.04189334538693404
Fe_3,-0.06338159561962749
Fe_4,-0.08877856561670522
Fe_5,-0.1067064193868536
Fe_6,-0.1247696977007442
Cd_1,0.00011329870545378469
Cd_2,-0.003504504567518684
Cd_3,-0.006231512169076593
Cd_4,-0.004595222075839966
Cd_5,-0.0059779120305023395
Cd_6,-0.004501977905722993
Zn_1,-0.022261276916179643
Zn_2,-0.039302359421277536
Zn_3,-0.05284605685974171
Zn_4,-0.05456813106434439
Zn_5,-0.06080445528075683
Zn_6,-0.06472160315668236
Cu_1,0.004432109357067625
Cu_2,0.005153832784381704
Cu_3,0.005097581732870214
Cu_4,0.007721162570727645
Cu_5,0.013423969269906102
Cu_6,0.019656012409167884
Pb_1,0.004943686802669581
Pb_2,0.009128337207321162
Pb_3,0.007173133478895789
Pb_4,0.016410519193437438
Pb_5,0.028682460433640644
Pb_6,0.04156402032456402
