,yaiZ
Cr_1,0.003867124770189496
Cr_2,0.009075837157001096
Cr_3,0.01687854966131041
Cr_4,0.0251695775972236
Cr_5,0.026263604801034197
Cr_6,0.03564005117985429
Fe_1,-0.01881740668081593
Fe_2,-0.03486924098133602
Fe_3,-0.050112325240748185
Fe_4,-0.04913455453515304
Fe_5,-0.0441240567919866
Fe_6,-0.03293619242311318
Cd_1,-0.0014404719763217468
Cd_2,0.0044386495687551465
Cd_3,0.014270299514094363
Cd_4,0.018935692184673225
Cd_5,0.021303828894041508
Cd_6,0.02816415105585878
Zn_1,-0.0671790815257918
Zn_2,-0.08935801633837233
Zn_3,-0.06418981471298266
Zn_4,-0.04799444769568351
Zn_5,-0.04107857055854447
Zn_6,-0.024190285463179414
Cu_1,0.005614044891400278
Cu_2,0.00987370010158858
Cu_3,0.014932075720386824
Cu_4,0.024530004421591024
Cu_5,0.03869683122836813
Cu_6,0.04964934399837045
Pb_1,0.005978955068687185
Pb_2,0.00995326451006047
Pb_3,0.012032698776717265
Pb_4,0.01954076892137484
Pb_5,0.020701326025205302
Pb_6,0.027930838222377543
