k,name,in_iM,gene_weight,regulator,function,category
8,Zinc - Fast,False,-0.016750614009797573,,,
1,UC-2,False,-0.005022974065504968,,,
9,UC-5,False,-0.0042844495584582355,,,
14,UC-7,False,0.004047772018238902,,,
6,Iron,False,0.004024684922769666,,,
11,Chromium,False,0.0036936348094604907,,,
13,UC-6,False,-0.003671776140108704,,,
5,Lead,False,-0.0033084631781093773,,,
2,UC-3,False,-0.003016796479932964,,,
0,UC-1,False,-0.0017231571581214663,,,
12,Zinc - Intermediate,False,0.0016251386603318065,,,
4,UC-4,False,0.001587435705587268,,,
10,Copper,False,0.0013202545256353914,,,
7,Zinc - Steady,False,0.0007843991537811233,,,
3,Cadmium,False,0.00014407030204893092,,,
