,A,CueR
R2,,0.04865024987376254
xmin,,-3.260627732
xmid,,
xmax,,2.009821649
ystart,,-1.6109115784546981
yend,,1.189395041646113
control__wt_glc__1,-0.1243922427,-0.150994226
control__wt_glc__2,0.1243922427,0.150994226
fur__wt_dpd__1,2.1458286671,1.445121559
fur__wt_dpd__2,1.437215096,1.3998325280000001
fur__wt_fe__1,1.4478013669,-0.148187368
fur__wt_fe__2,1.150545405,-0.088004092
fur__delfur_dpd__1,2.40778742,1.5572242840000001
fur__delfur_dpd__2,1.694109249,1.533295426
fur__delfur_fe2__1,-0.5835597309,0.08724907500000001
fur__delfur_fe2__2,-0.1228967017,-0.104963864
acid__wt_ph5__1,1.8698985144,0.722854949
acid__wt_ph5__2,1.4550704025,0.876165759
acid__delgadx_ph5__2,1.1543405647,0.34847572800000004
acid__delgadw_ph5__1,0.8579903688,0.7777941970000001
acid__delgadw_ph5__2,0.7217300867,0.8136383450000001
acid__delgade_ph5__1,1.5937831679,0.8402734460000001
acid__delgade_ph5__2,1.9449480407,0.8108316950000001
oxidative__wt_pq__1,1.4068699777,0.835675869
oxidative__wt_pq__2,1.1328265173,0.936435423
oxidative__deloxyr_pq__1,1.6242828177000002,0.6339035120000001
oxidative__deloxyr_pq__2,1.4936141933,0.727391764
oxidative__delsoxr_pq__1,1.7686515246,0.870896353
oxidative__delsoxr_pq__2,0.9050627439000001,0.944128752
oxidative__delsoxs_pq__1,1.30596235,1.237764186
oxidative__delsoxs_pq__2,1.8352505129,1.25160717
nac_ntrc__wt_csn__1,-0.6857523103000001,0.910809206
nac_ntrc__wt_csn__2,-1.079135539,0.9243399290000001
nac_ntrc__wt_cytd__1,1.9579047963,0.186788106
nac_ntrc__wt_cytd__2,2.0576651838,0.171988375
nac_ntrc__wt_gln__1,0.8592167974,0.8234752350000001
nac_ntrc__wt_gln__2,0.6489917481,0.862517603
nac_ntrc__bw_delnac_csn__1,-0.6699591081,1.544721786
nac_ntrc__bw_delnac_csn__2,-0.8251148247000001,2.009821649
nac_ntrc__bw_delnac_cytd__1,0.47448679520000003,0.542147531
nac_ntrc__bw_delnac_cytd__2,0.8006587292,0.43983589300000003
nac_ntrc__bw_delnac_gln__1,0.1023136313,1.249270518
nac_ntrc__bw_delnac_gln__2,0.0041815911,1.442754545
nac_ntrc__bw_delnac_nh4__1,0.5445309434,-0.186487972
nac_ntrc__bw_delnac_nh4__2,0.7183816665,0.095888161
misc__wt_no_te__1,1.8375064477,0.7692654760000001
misc__wt_no_te__2,1.7399987175,0.559663349
misc__bw_delcbl__1,-0.0501955855,0.10220061600000001
misc__bw_delcbl__2,-0.2942807749,0.085074327
misc__bw_delfabr__1,0.6330044678,-0.026612433
misc__bw_delfabr__2,0.6629832589,-0.13735696
misc__bw_delfadr__1,0.16199579090000002,0.065754505
misc__bw_delfadr__2,0.8432640533,0.327071665
misc__nitr_031__1,0.4038246981,1.3958187930000001
omics__wt_glu__1,0.2932203236,0.289347471
omics__wt_glu__2,0.1812485784,0.438495334
omics__wt_gly__1,2.1118199469,0.10194705100000001
omics__wt_gly__2,1.5110200321,0.16392454
omics__wt_thr__1,-0.5319924715000001,1.33363022
omics__wt_thr__2,-0.6466404204,1.301911925
omics__bw_ac__1,-1.2857494195,0.774324506
omics__bw_ac__2,-1.4128957246,0.5968365520000001
omics__bw_fum__1,-1.5838317828,0.249939182
omics__bw_fum__2,-1.8593292975,0.276317651
omics__bw_glc__1,-0.1826744397,0.5340646840000001
omics__bw_glc__2,-0.0744704437,0.6549762370000001
omics__bw_pyr__1,-0.6632998966,0.223624971
omics__bw_pyr__2,-0.9319009331,0.38376961600000004
ompr__wt_nacl__1,-1.7186943751000001,0.673867756
ompr__wt_nacl__2,-1.4074087946,0.5293551980000001
ompr__bw_delompr_nacl__1,0.3640548288,-0.008901559
ompr__bw_delompr_nacl__2,0.41916183,0.125360624
minspan__wt_ade__1,-1.5835647341999999,-0.7461182890000001
minspan__wt_glc__2,1.3317075721,-0.592706064
minspan__wt_glc__3,0.2015061427,-1.033901883
minspan__wt_glc__4,0.2486657026,-0.721859676
minspan__wt_glc_anaero__1,-0.0497963417,-0.004619331
minspan__wt_glc_anaero__2,0.6920276663,0.151672109
minspan__wt_trp__1,-1.2740152899,-1.025367399
minspan__bw_delcra_glc__2,0.08829796720000001,-0.491716313
minspan__bw_delcra_trp__1,-1.4162680237,-0.6224315930000001
minspan__bw_delmntr__1,-0.4138365301,-0.407212299
minspan__bw_delnac_ade__1,-2.6703846562,-0.915228166
minspan__bw_delnac_glc__1,1.918206834,-0.821820948
cra_crp__wt_ac__1,-2.1050574467,0.724238597
cra_crp__wt_ac__2,-1.7512504523999999,0.780104679
cra_crp__wt_fru__1,-0.5696872891,0.33365102700000004
cra_crp__wt_fru__2,-0.7272335756,0.25940443
cra_crp__delcra_ac__1,-1.0788205459,0.736807981
cra_crp__delcra_ac__2,-1.2645751729999999,0.713602641
cra_crp__delcra_fru__1,1.3193518094,0.818907212
cra_crp__delcra_fru__2,1.6340773356,0.863182607
cra_crp__delcra_glc__1,1.0466373693,0.11578827600000001
cra_crp__delcra_glc__2,0.8613969640000001,0.07002235400000001
rpoB__wt_031__1,2.1414528678,-0.044631981
rpoB__wt_044__1,0.7245028648,0.6025369190000001
rpoB__wt_lb__1,-0.5081139592,0.144169381
rpoB__wt_lb__2,0.5783249175,0.140169773
rpoB__rpoBE546V_031__1,-0.28950391070000003,-0.055524210000000004
rpoB__rpoBE546V_044__1,-0.9743454221000001,0.25804682500000004
rpoB__rpoBE546V_lb__1,-1.218237093,-0.365462995
rpoB__rpoBE546V_lb__2,-1.3930910351999999,-0.37662010300000004
rpoB__rpoBE546V_glc__1,1.3994659149,-0.40084645
rpoB__rpoBE672K_glc__1,1.3410662782,-1.398428933
rpoB__rpoBE672K_glc__2,2.3946819452,-1.620239296
rpoB__rpoBE672K_lb__1,-1.6851085736,-1.870512835
rpoB__rpoBE672K_lb__2,-1.9552160030999999,-1.500760545
crp__wt_fru__1,-0.22524826080000002,-0.540752612
crp__wt_glyc__1,-0.028188062700000002,-0.624412469
crp__wt_glyc__2,-0.47600450050000004,-0.480499006
crp__delar1_glyc__1,-0.10147038900000001,0.102209725
crp__delar1_glyc__2,-0.5042365703,0.35818377500000004
crp__delar1ar2_glyc__1,0.8200789225,0.13256457600000002
crp__delar1ar2_glyc__2,0.5093128072,-0.0018041910000000001
crp__delar1ar2_glyc__3,0.4706701548,0.127817873
crp__delar2_glyc__1,2.0330523789,0.37387300300000004
crp__delar2_glyc__2,1.6342857925,0.34282781700000003
crp__delar2_glyc__3,1.5246385932000002,0.412249342
crp__delcrp_fru__1,0.9700922766000001,1.130582554
crp__delcrp_fru__2,0.30869601760000004,0.9845861410000001
crp__delcrp_fru__3,-0.0684421005,1.022140389
crp__delcrp_glc__1,0.8554971957,0.9908098120000001
crp__delcrp_glc__2,0.6461964081,1.008965388
crp__delcrp_glc__3,0.5411074729,1.0655076
crp__delcrp_glyc__1,0.3682130669,0.250895213
crp__delcrp_glyc__2,0.5025491419,0.424990666
crp__delcrp_glyc__3,-0.4974891098,0.48889203000000003
glu__glu_ale3__1,-0.6586162249,0.514207641
glu__glu_ale4__1,1.9651722207,-0.272942022
glu__glu_ale5__1,0.7272250322,-0.694674354
glu__glu_ale6__1,2.0475307244,-1.2932682
