,A,YcjW
R2,,0.06032129362850058
xmin,,-3.1554375144999995
xmid,,-0.7472509535270117
xmax,,1.2725951005000002
ystart,,1.3895782482450523
yend,,-0.5574380747336201
control__wt_glc__1,0.0500536178790364,0.15463555250000027
control__wt_glc__2,-0.050053617879042,-0.15463555249999938
fur__wt_dpd__1,1.305074964473273,-1.2455815574999995
fur__wt_dpd__2,1.1546040408498814,-1.3836187504999993
fur__wt_fe__1,0.0650444272879516,-0.4240131054999994
fur__wt_fe__2,-0.5890477587165127,0.027761008500000628
fur__delfur_dpd__1,0.7091911131226404,-0.9894853374999996
fur__delfur_dpd__2,0.4627261715177677,-0.9699671954999998
fur__delfur_fe2__1,1.1314396061297567,0.08950454350000038
fur__delfur_fe2__2,1.4276461998354346,0.1638422765000005
acid__wt_ph5__1,0.0538338553144236,-0.2902410965
acid__wt_ph5__2,-0.0957351746792048,-0.3172681964999997
acid__delgadx_ph5__2,-0.2095486363567503,-0.2819114824999991
acid__delgadw_ph5__1,-0.4355423711667696,-0.3282615074999997
acid__delgadw_ph5__2,-0.2242762890503086,-0.14206803150000002
acid__delgade_ph5__1,-0.6683224928652602,-0.2557842824999996
acid__delgade_ph5__2,-0.3360768305167561,-0.4477064374999991
oxidative__wt_pq__1,0.7039592246366445,-1.2012989104999994
oxidative__wt_pq__2,0.493860036624868,-0.8919328524999997
oxidative__deloxyr_pq__1,0.8417207635505803,-0.7814339944999995
oxidative__deloxyr_pq__2,0.6661462799370598,-0.8458537054999997
oxidative__delsoxr_pq__1,1.0974262871729203,-0.8643047514999997
oxidative__delsoxr_pq__2,0.9596663183088726,-1.0410967754999998
oxidative__delsoxs_pq__1,0.5169181282206093,-1.3419328694999997
oxidative__delsoxs_pq__2,0.9331809631642914,-1.4512172404999997
nac_ntrc__wt_csn__1,1.361161730688188,-0.3236630494999995
nac_ntrc__wt_csn__2,1.4062751486832297,-0.1959055294999992
nac_ntrc__wt_cytd__1,-0.6173237881060043,-0.4308050344999996
nac_ntrc__wt_cytd__2,-0.5105916797385148,-0.3088348464999999
nac_ntrc__wt_gln__1,0.451778203081656,-0.30667443449999965
nac_ntrc__wt_gln__2,0.5343009314181635,-0.1636604644999995
nac_ntrc__bw_delnac_csn__1,3.397207257144032,-0.058245618499999985
