,ybeQ
Cr_1,0.005547077220240432
Cr_2,0.011133036955608359
Cr_3,0.01177258138853116
Cr_4,0.016897526623013297
Cr_5,0.02548880366223133
Cr_6,0.02428903778941398
Fe_1,-0.0067255645677141325
Fe_2,-0.023619319771778696
Fe_3,-0.02853076260418084
Fe_4,-0.0280356373481716
Fe_5,-0.02334117482348379
Fe_6,-0.013698676235982624
Cd_1,-0.002464585430225361
Cd_2,-0.0005531160530497786
Cd_3,0.0009264160103773551
Cd_4,0.006007826276501677
Cd_5,0.00229493004105043
Cd_6,0.010428721442092994
Zn_1,-0.005618819981809828
Zn_2,0.0005049884213932403
Zn_3,0.009190544508900441
Zn_4,0.02343236570121052
Zn_5,0.03051157001077664
Zn_6,0.03387861314032843
Cu_1,0.007174887916522514
Cu_2,0.006237130951348161
Cu_3,0.0019674250310095947
Cu_4,0.004915681327962969
Cu_5,0.004586967469782874
Cu_6,0.006988094272934974
Pb_1,0.004405354821380336
Pb_2,0.010651374265709578
Pb_3,0.015017118761144034
Pb_4,0.017814635311805074
Pb_5,0.016810355759501083
Pb_6,0.01849478594246961
