,A,TdcA,Fnr,Crp,ihfB
R2,,0.5592779871877636,0.07943638396655572,0.07256354040838853,0.005066935911009485
xmin,,-1.218417149,-9.786193262000001,-9.852476477,-2.3858350260000005
xmid,,1.0665262378734077,-1.911786742721703,-0.6510826401280023,
xmax,,11.093441280999999,2.044364117999999,1.6003325529999994,1.6466498449999991
ystart,,-0.9406295407842238,1.0993546781140364,-1.8418407489263675,0.30486512027795265
yend,,11.787057505135456,-3.638175648559308,1.6824806860800519,-0.8408597427736928
control__wt_glc__1,0.0120596759564373,-0.29988375100000003,-0.0526320000000009,0.012478645999999928,0.08337238499999877
control__wt_glc__2,-0.01205967595644,0.2998837509999999,0.05263199999999912,-0.012478645999999928,-0.08337238500000055
fur__wt_dpd__1,-0.1485475505538032,-0.274100966,-0.2233275490000004,0.07757413100000042,0.7158603249999995
fur__wt_dpd__2,-0.4149514013411758,-0.796899815,-0.20726320800000053,-0.0906821709999992,0.8566654449999991
fur__wt_fe__1,-0.362256041860793,-0.36684302399999996,-0.559124369000001,-0.030513672999999738,-0.0769950650000002
fur__wt_fe__2,0.0370211771105952,-0.157307745,-0.5180337210000019,0.0581907200000007,-0.08671744500000145
fur__delfur_dpd__1,-0.5375969834974794,-0.5301953110000001,-0.35869387400000186,-0.10598198399999957,0.6898034449999989
fur__delfur_dpd__2,-1.009671938238347,-0.457311519,-0.3499676950000019,-0.22346684100000047,0.621869414999999
fur__delfur_fe2__1,-0.6535934635640138,-0.4951800799999999,-0.2728296990000008,0.4364299129999996,0.3658187149999996
fur__delfur_fe2__2,-0.8598813103496912,-0.676467493,-0.2654058500000005,0.36756339300000107,0.33581042499999825
acid__wt_ph5__1,-0.9431240410903932,-0.440693081,-0.5248469310000008,0.3455225730000002,0.2842574349999989
acid__wt_ph5__2,-1.1028287933347187,-0.63072325,-0.5394919760000008,0.34313646300000045,0.3016573449999989
acid__delgadx_ph5__2,-1.5612056734489614,-0.0969731359999999,-0.4808098230000013,0.3393877130000007,0.03620512499999862
acid__delgadw_ph5__1,-1.020198381481162,-0.0708449069999999,-0.5694477410000012,0.3838637929999997,0.19517709499999825
acid__delgadw_ph5__2,-0.5325926236775327,-0.30490064799999994,-0.5457824470000006,0.3398617829999999,0.1831834249999993
acid__delgade_ph5__1,-0.6965759351941233,-0.451871581,-0.4965959550000018,0.432408723,0.3321859449999991
acid__delgade_ph5__2,-0.3998137148945938,-0.386239084,-0.5235996460000011,0.4824361929999999,0.2395609849999989
oxidative__wt_pq__1,0.129392662136903,-0.48082933200000005,-0.27798360400000105,0.17662370300000066,0.9466146249999988
oxidative__wt_pq__2,1.041439511804672,-0.73437624,-0.40360473400000174,0.24038529300000103,0.948808184999999
oxidative__deloxyr_pq__1,1.2193634607661286,-0.8651753090000001,-0.11731480800000148,0.5131550130000004,0.8749087249999992
oxidative__deloxyr_pq__2,0.8633258963754135,-0.76631651,-0.05299572400000052,0.5363373029999998,0.9672342149999996
oxidative__delsoxr_pq__1,0.1311467529677231,-0.295936494,-0.4695711340000006,0.3346725330000009,1.0713253449999982
oxidative__delsoxr_pq__2,-0.2441510822586683,-0.8294620979999999,-0.4755742960000013,0.3870598730000001,1.1682316949999991
