,-0.10828734531847148,-0.09281772455868983,-0.07734810379890819,-0.06187848303912655,-0.046408862279344903,-0.03093924151956326,-0.015469620759781616,2.7755575615628914e-17,0.015469620759781672,0.030939241519563315,0.04640886227934496,0.0618784830391266,0.07734810379890825,0.09281772455868989,0.10828734531847153,0.12375696607825318,0.13922658683803482,0.15469620759781647,0.1701658283575981,0.18563544911737975
thresh,-0.10055253493858066,0.10055253493858066,9,,,,,,,,,,,,,,,,,
unreg,1,1,4,5,18,88,700,1813,665,86,14,9,1,1,0,0,0,0,0,0
Fnr,0,0,0,1,0,6,29,91,31,5,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,0,0,1,22,41,22,1,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,1,7,15,74,175,90,21,4,4,1,0,0,0,0,0,0,0
Fnr and IHF,0,0,0,0,0,1,13,33,9,2,0,0,0,0,0,0,0,0,0,0
Fnr and Crp,0,0,0,1,0,4,18,41,5,0,2,1,0,0,0,0,0,0,0,0
IHF and Crp,0,0,0,0,0,3,16,19,15,2,0,0,0,1,0,0,0,0,0,0
"Fnr, IHF, Crp, TdcR, and TdcA",0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0
"Fnr, IHF, and Crp",0,0,0,0,0,0,3,6,5,0,0,1,0,1,0,0,0,0,0,0
unreg_genes,['cadB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],[],[],['ynfG'],[],['nfeR' 'ynfH' 'nikA' 'ydfO' 'ccp' 'iraM'],"['dcuC' 'ccmA' 'ynfF' 'ytfE' 'ccmB' 'napC' 'gnd' 'gadW' 'nrdD' 'moeA'
 'ccmD' 'ackA' 'yecR' 'frdA' 'ycaC' 'puuA' 'amtB' 'thrA' 'cydB' 'nac'
 'yffS' 'ccmF' 'moaE' 'moaC' 'cydC' 'nikD' 'emrY' 'nrdG' 'soxS']","['ybdN' 'frdB' 'nikB' 'rplW' 'pykA' 'gapC' 'ccmE' 'zwf' 'narX' 'puuP'
 'msrB' 'cydA' 'hcr' 'fes' 'tap' 'ynfE' 'fepE' 'ymjE' 'rplT' 'garP' 'cydD'
 'moaA' 'ygbA' 'iraD' 'napF' 'rplB' 'dmsD' 'poxB' 'rplD' 'scpB' 'moeB'
 'arcA' 'cadC' 'acrF' 'rplC' 'ysgA' 'ccmG' 'rpsS' 'narL' 'ung' 'ccmH'
 'entF' 'bcsZ' 'cheB' 'moaB' 'bcsB' 'acrE' 'feoA' 'ydfZ' 'purM' 'nikC'
 'dcuS' 'ydeJ' 'nikR' 'pdeF' 'yfcZ' 'tar' 'emrK' 'rpsC' 'fdnG' 'rpmC'
 'garD' 'hmp' 'uraA' 'scpC' 'ompX' 'argK' 'pepT' 'ydhU' 'garK' 'fdhF'
 'rpsJ' 'glnD' 'adhE' 'ydhY' 'ychO' 'yibN' 'scpA' 'ybdZ' 'ydhT' 'napD'
 'katG' 'tpx' 'feoB' 'soxR' 'napB' 'napH' 'rplV' 'pitA' 'moaD' 'trmD']","['frdD' 'mltA' 'ydhW' 'rplP' 'upp' 'ccmC' 'rpsP' 'purN' 'rplS' 'frdC'
 'cheR' 'xdhB' 'hcp' 'feoC' 'rpsQ' 'nikE' 'aspC' 'ydhX' 'rimM' 'garL'
 'malP' 'ravA' 'xdhA' 'garR' 'aroP' 'glnK' 'ydhV' 'fdnH' 'fdnI' 'malQ'
 'xdhC']",['cheZ' 'napA' 'napG' 'cheY' 'viaA'],[],[],[],[],[],[],[],[],[],[]
