,A,TdcA,Crp,Fnr,ihfB
R2,,0.8506661922154045,0.032472424504703445,0.026262163579591546,0.011882225497651167
xmin,,-1.218417149,-9.852476477,-9.786193262000001,-2.3858350260000005
xmid,,3.1579155216393673,0.256480473758617,-1.5541140965812417,-1.3651064145171203
xmax,,11.093441280999999,1.6003325529999994,2.044364117999999,1.6466498449999991
ystart,,-0.06909489360900523,0.13656731750842266,2.252537689819214,2.1401390580619757
yend,,38.25365694829652,5.264197628043187,-3.4886028968507263,-0.7354620283119028
control__wt_glc__1,-0.0634761124857134,-0.29988375100000003,0.012478645999999928,-0.0526320000000009,0.08337238499999877
control__wt_glc__2,0.0634761124857412,0.2998837509999999,-0.012478645999999928,0.05263199999999912,-0.08337238500000055
fur__wt_dpd__1,-0.8608870076091665,-0.274100966,0.07757413100000042,-0.2233275490000004,0.7158603249999995
fur__wt_dpd__2,-1.6499310496209096,-0.796899815,-0.0906821709999992,-0.20726320800000053,0.8566654449999991
fur__wt_fe__1,0.9821655084709124,-0.36684302399999996,-0.030513672999999738,-0.559124369000001,-0.0769950650000002
fur__wt_fe__2,1.3550074651386992,-0.157307745,0.0581907200000007,-0.5180337210000019,-0.08671744500000145
fur__delfur_dpd__1,-1.372933573869694,-0.5301953110000001,-0.10598198399999957,-0.35869387400000186,0.6898034449999989
fur__delfur_dpd__2,-1.3820160109032251,-0.457311519,-0.22346684100000047,-0.3499676950000019,0.621869414999999
fur__delfur_fe2__1,-0.4308551555151861,-0.4951800799999999,0.4364299129999996,-0.2728296990000008,0.3658187149999996
fur__delfur_fe2__2,-0.0096339881582986,-0.676467493,0.36756339300000107,-0.2654058500000005,0.33581042499999825
acid__wt_ph5__1,-0.0336744513015165,-0.440693081,0.3455225730000002,-0.5248469310000008,0.2842574349999989
acid__wt_ph5__2,0.1084312653494069,-0.63072325,0.34313646300000045,-0.5394919760000008,0.3016573449999989
acid__delgadx_ph5__2,0.3320418603827624,-0.0969731359999999,0.3393877130000007,-0.4808098230000013,0.03620512499999862
acid__delgadw_ph5__1,0.7253355732093364,-0.0708449069999999,0.3838637929999997,-0.5694477410000012,0.19517709499999825
acid__delgadw_ph5__2,0.6653996912359722,-0.30490064799999994,0.3398617829999999,-0.5457824470000006,0.1831834249999993
acid__delgade_ph5__1,0.5677273315534229,-0.451871581,0.432408723,-0.4965959550000018,0.3321859449999991
acid__delgade_ph5__2,0.332268989188172,-0.386239084,0.4824361929999999,-0.5235996460000011,0.2395609849999989
oxidative__wt_pq__1,-1.2983253944731732,-0.48082933200000005,0.17662370300000066,-0.27798360400000105,0.9466146249999988
oxidative__wt_pq__2,-1.0393350774153542,-0.73437624,0.24038529300000103,-0.40360473400000174,0.948808184999999
oxidative__deloxyr_pq__1,-1.922005297063592,-0.8651753090000001,0.5131550130000004,-0.11731480800000148,0.8749087249999992
oxidative__deloxyr_pq__2,-1.5794447791979065,-0.76631651,0.5363373029999998,-0.05299572400000052,0.9672342149999996
oxidative__delsoxr_pq__1,-0.7236132354616147,-0.295936494,0.3346725330000009,-0.4695711340000006,1.0713253449999982
oxidative__delsoxr_pq__2,-0.4073515428563196,-0.8294620979999999,0.3870598730000001,-0.4755742960000013,1.1682316949999991
oxidative__delsoxs_pq__1,-1.7811405206578974,-0.13716604400000001,0.5134629630000003,-0.1387633190000006,1.1351437949999994
oxidative__delsoxs_pq__2,-1.4898224776976172,-0.10017548399999998,0.5104807529999995,-0.1421156520000011,1.020138574999999
nac_ntrc__wt_csn__1,-0.8853778812330834,-0.25247758800000003,-0.0727968299999997,-0.1587119630000018,0.17254414499999982
nac_ntrc__wt_csn__2,-0.8435954584605375,-0.213833551,-0.09324395099999984,-0.2040164890000007,0.2130251749999985
nac_ntrc__wt_cytd__1,-0.5180419499554794,-0.325451717,-0.043119613,-0.2233020650000004,0.4575306549999994
nac_ntrc__wt_cytd__2,-0.3674680508963572,-0.20986354900000004,-0.07348926000000056,-0.14878209200000114,0.5979945149999981
nac_ntrc__wt_gln__1,-0.4891652709532995,-0.42544290700000004,0.16383650300000066,-0.1339289860000008,1.0409726349999993
nac_ntrc__wt_gln__2,-0.5585617504526411,-0.816428563,0.11651884599999995,-0.07252378100000101,1.1155340849999984
nac_ntrc__bw_delnac_csn__1,-0.015919989014232,1.0613576250000003,0.16921202300000004,-0.17298681200000132,0.2154991849999988
nac_ntrc__bw_delnac_csn__2,-0.7687831584057433,-0.26420454399999993,0.03216219000000109,-0.2073357070000004,-0.16648385500000096
nac_ntrc__bw_delnac_cytd__1,-0.8512780247455981,-0.30097831899999994,0.2936758630000007,-0.3990849310000009,0.4645455949999988
nac_ntrc__bw_delnac_cytd__2,-0.5487414474010295,-0.6836804639999999,0.2286386530000009,-0.4580705310000006,0.4230415649999984
nac_ntrc__bw_delnac_gln__1,-1.0711356480984409,-0.5698371379999999,0.5051051429999998,-0.3877521210000019,0.8464916449999986
nac_ntrc__bw_delnac_gln__2,-0.4346518514520865,-0.834139662,0.563775123000001,-0.3182893920000005,0.8042016749999998
nac_ntrc__bw_delnac_nh4__1,1.0088201842768203,0.4511616199999999,0.3391651030000009,-0.4074629840000004,-0.3020342150000008
nac_ntrc__bw_delnac_nh4__2,0.8192890738225133,-0.8975539669999999,0.3602350630000011,-0.4319254960000016,-0.19284083500000013
misc__wt_no_te__1,-0.1478022118749347,-0.8846875909999999,0.3221691629999999,-0.5747228530000008,0.8689442749999987
misc__wt_no_te__2,-0.0310244679950453,-0.24666584100000002,0.3159875930000009,-0.4345764080000016,0.5093796549999983
misc__bw_delcbl__1,0.2991606864852965,-0.7113955040000001,0.30577407300000026,-0.5447975610000011,-0.3394036750000016
misc__bw_delcbl__2,0.3853925951116795,-0.047749918000000065,0.3225694130000001,-0.5101214760000019,-0.29720346500000083
misc__bw_delfabr__1,-0.0606001365518576,-0.367841596,0.1944652930000004,-0.5468835700000003,-0.6204796650000013
misc__bw_delfabr__2,0.5850299844508581,0.079021016,0.13385438500000113,-0.5969020620000016,-0.5922961330000014
misc__bw_delfadr__1,-0.0468060666796753,-0.04758007400000008,0.325118883,-0.6318394690000009,-0.2622498450000013
misc__bw_delfadr__2,0.6682928696794774,-0.7792766059999999,0.3434663330000003,-0.5991148660000007,-0.13650693500000166
misc__nitr_031__1,-0.8744044232312079,-0.720643914,0.2155988630000003,-0.4462157430000016,0.036167394999999665
omics__wt_glu__1,0.2693022079741104,0.1757453590000002,0.3481259330000004,0.6836297179999988,-0.13827825500000124
omics__wt_glu__2,-0.0827919519813903,-0.434424999,0.31989882300000083,0.7885854679999991,-0.2514746050000003
omics__wt_gly__1,0.6418205247293032,0.013349894999999943,0.3121818130000005,0.206760040999999,-0.872324217000001
omics__wt_gly__2,0.4464301164645348,0.07129810199999986,0.3489800729999999,0.1833143229999994,-0.8714248070000004
omics__wt_thr__1,3.107744829221959,3.4885890510000004,0.8835606830000007,-0.542585261000001,-0.1857289950000016
omics__wt_thr__2,2.5245199772248905,3.374863506,1.127551423,-0.6071561150000004,-0.3407635650000014
omics__bw_ac__1,1.417651678770146,3.3691053920000003,0.4643589929999994,0.045715160999998616,0.6479085849999997
omics__bw_ac__2,0.6239734469570387,3.14063315,0.4618822229999999,0.09762738399999904,0.6054734249999996
omics__bw_fum__1,0.773855705499438,1.768598914,0.446647853,-0.1884815580000012,0.018456404999998455
omics__bw_fum__2,0.995052618842032,2.058582136,0.4952586530000005,-0.2422709619999992,-0.006356255000001809
omics__bw_glc__1,-0.9858696538132302,-0.121584774,0.31995135300000044,-0.2345112470000004,0.16412660499999987
omics__bw_glc__2,-0.7584443295700969,0.17970874900000022,0.3609335930000004,-0.2088260980000012,0.15512309499999866
omics__bw_pyr__1,0.6961511746572135,1.3065606719999998,0.8061810030000007,0.08724294099999952,0.6449217049999998
omics__bw_pyr__2,-0.5134969862568617,1.9063292470000004,0.7644674929999997,0.02212409499999879,0.6594726449999992
ompr__wt_nacl__1,0.0251643493734092,-0.456314265,-0.6865814769999989,-0.7696515920000007,0.27755200499999866
ompr__wt_nacl__2,-0.875978269703484,-0.5362887599999999,-0.620927,-0.6463673310000004,0.08413458499999926
ompr__bw_delompr_nacl__1,0.1402786474332561,-0.6491023069999999,-1.0462482019999992,-1.035417797000001,0.00949221499999986
ompr__bw_delompr_nacl__2,0.1628911335648298,-0.4090457719999999,-1.071490686999999,-0.9836439900000008,-0.1324689250000013
minspan__wt_ade__1,1.0902172335344087,-0.372881833,-0.09169608400000052,-0.579642380000001,0.32309054499999945
minspan__wt_glc__2,1.190549431094296,-0.13272120100000007,-0.17147671399999884,-0.946672155,-0.005051925000001845
minspan__wt_glc__3,1.5307875241545263,0.486568925,-0.2165117989999992,-0.702451240000002,0.045105534999999364
minspan__wt_glc__4,1.7185538645387075,-0.11467423200000006,-0.23779414300000035,-0.6560544730000011,-0.07972467500000135
minspan__wt_glc_anaero__1,-0.4524227421228833,0.4663172500000001,0.09730802400000016,-1.3752412100000004,-0.1724310150000008
minspan__wt_glc_anaero__2,-1.5878361114024682,-1.218417149,0.0007891440000005191,-1.5192858430000022,-0.1700636650000007
minspan__wt_trp__1,2.085530330055654,3.2979801720000004,0.379309933,-1.8579653490000012,0.6313251449999981
minspan__bw_delcra_glc__2,0.0646160356442949,1.1107018430000002,0.2077464830000011,-1.774069647000001,0.5065485749999983
minspan__bw_delcra_trp__1,-0.645296795785672,1.744198,0.245706203000001,-1.6792622710000007,0.9061306849999989
minspan__bw_delmntr__1,-0.275410374788828,1.008958078,0.3950805430000006,-1.529694333000002,0.004072414999999553
minspan__bw_delnac_ade__1,0.6941385922930989,0.7370741279999999,0.005806081999999435,-0.24103003300000125,0.07351886499999871
minspan__bw_delnac_glc__1,2.2738862138497065,0.8949619160000002,0.19238992300000035,-0.7240322750000008,0.1234782249999995
cra_crp__wt_ac__1,0.4278795131720214,2.762646428,0.7848307329999997,0.5630292579999985,-0.30622956500000065
cra_crp__wt_ac__2,0.7508808955388214,2.965087271,0.774460393,0.5452901479999994,-0.35281656500000125
cra_crp__wt_fru__1,0.409688444642619,0.9297828920000001,0.3134937529999995,0.574998437999998,-0.2631118050000012
cra_crp__wt_fru__2,-0.1848652075181259,1.3161859859999998,0.3732440629999996,0.5622400479999996,-0.08839022500000128
cra_crp__delcra_ac__1,0.7856162359634546,1.783614701,0.20535391299999967,-0.3505163840000005,0.0891974049999984
cra_crp__delcra_ac__2,0.6157140090656009,1.874610908,0.15922527300000056,-0.29769803800000183,0.021087684999999468
cra_crp__delcra_fru__1,0.3205897146800436,-0.530168278,0.12650519299999985,-0.4862878060000018,0.27963663499999925
cra_crp__delcra_fru__2,0.3991481111967438,-0.5862369829999999,0.1631474930000003,-0.5381468600000012,0.3256943649999986
cra_crp__delcra_glc__1,1.1023913106232193,-0.6343342989999999,0.046791002000000866,-0.5029783950000013,-0.027273645000001068
cra_crp__delcra_glc__2,1.2783532780345708,-0.124895851,-0.014761103999999747,-0.5727874140000004,-0.1367845850000009
rpoB__wt_031__1,1.9126614933481128,3.837610528,0.271760703,-0.4392632620000008,-0.01898600500000036
rpoB__wt_044__1,0.5891241727384341,-0.4382537219999999,0.2048586730000004,-0.35546248300000194,-0.16863898500000118
rpoB__wt_lb__1,5.297019774130852,3.3465724370000003,0.2472729529999995,-0.4312754440000006,0.3773911149999982
rpoB__wt_lb__2,5.781002402323851,3.5000765960000004,0.2041545229999997,-0.4756920160000018,0.2931017149999988
rpoB__rpoBE546V_031__1,0.8699885953960035,1.3000346809999999,0.4571714629999999,-0.2190748840000012,0.3454237649999996
rpoB__rpoBE546V_044__1,1.0871948600837744,1.287029222,0.37625628299999997,-0.29527451800000115,0.4336448049999984
rpoB__rpoBE546V_lb__1,4.963012985574938,2.3731269170000004,0.1174804819999995,-0.1772575130000007,0.15481106499999875
