,-0.08202309150768755,-0.06379573783931254,-0.04556838417093753,-0.02734103050256252,-0.009113676834187512,0.009113676834187498,0.027341030502562508,0.045568384170937504,0.06379573783931253,0.08202309150768755,0.10025044517606255,0.11847779884443754,0.13670515251281257,0.1549325061811876,0.17315985984956256,0.19138721351793758,0.2096145671863126,0.22784192085468763,0.24606927452306265,0.2642966281914376
thresh,-0.07290941467350005,0.07290941467350005,9,,,,,,,,,,,,,,,,,
unreg,0,2,15,123,1665,1486,97,11,3,2,0,0,0,0,0,0,0,2,0,0
Fnr,0,0,0,10,74,72,7,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,13,45,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,1,1,19,162,172,27,3,6,1,0,0,0,0,0,0,0,0,0,0
Fnr and IHF,0,0,0,3,27,23,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Fnr and Crp,0,0,0,3,25,33,4,2,3,1,0,1,0,0,0,0,0,0,0,0
IHF and Crp,0,0,0,11,30,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, IHF, and Crp",1,1,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, IHF, Crp, TdcR, and TdcA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['mdtJ' 'dtpC'],[],[],[],[],[],[],[],['cadB' 'cadA'],[],[]
Fnr_genes,[],[],[],['pitA' 'ygbA' 'entF' 'nfeR' 'ompX' 'garD' 'fepE' 'ychO' 'cydB' 'yfcZ'],"['pykA' 'aroP' 'arcA' 'puuP' 'tar' 'feoC' 'yffS' 'iraD' 'thrA' 'ackA'
 'moaB' 'moaD' 'ydfZ' 'zwf' 'ccmB' 'nrdG' 'moaE' 'fdhF' 'narX' 'ravA'
 'upp' 'msrB' 'moaC' 'xdhB' 'rpsQ' 'nikD' 'napF' 'pepT' 'narL' 'garK'
 'napD' 'moaA' 'tap' 'acrF' 'xdhA' 'xdhC' 'viaA' 'soxS' 'rplC' 'frdD'
 'glnK' 'ydhW' 'emrY' 'rpsJ' 'dcuC' 'ybdN' 'rplS' 'ccmC' 'rplP' 'rplT'
 'emrK' 'trmD' 'ymjE' 'ynfF' 'pdeF' 'rpsC' 'napC' 'rplV' 'frdC' 'mltA'
 'iraM' 'feoA' 'rplD' 'rpmC' 'yibN' 'cheB' 'ydhT' 'rpsP' 'rplW' 'ybdZ'
 'ccmE' 'feoB' 'scpB' 'fes']","['ynfG' 'cydA' 'ung' 'gadW' 'frdB' 'cadC' 'gnd' 'acrE' 'ccmD' 'nrdD'
 'moeB' 'hcp' 'argK' 'cydD' 'ydeJ' 'rimM' 'yecR' 'glnD' 'scpC' 'fdnI'
 'nikE' 'gapC' 'nikR' 'nac' 'moeA' 'ccp' 'cheR' 'adhE' 'uraA' 'napA'
 'rpsS' 'ydhX' 'napH' 'ycaC' 'ccmG' 'amtB' 'ydhU' 'cydC' 'rplB' 'napG'
 'purM' 'poxB' 'bcsZ' 'dmsD' 'ysgA' 'ccmF' 'garP' 'garL' 'cheZ' 'scpA'
 'soxR' 'fdnG' 'fdnH' 'ydhY' 'ytfE' 'frdA' 'cheY' 'hmp' 'nikB' 'garR'
 'ccmH' 'nikC' 'hcr' 'ccmA' 'nikA' 'ynfH' 'ydfO' 'katG' 'ydhV' 'malP'
 'tpx' 'malQ']",['bcsB' 'ynfE' 'dcuS' 'aspC' 'puuA' 'napB' 'purN'],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],[],[],"['glnH' 'glnQ' 'glcA' 'carA' 'ilvG' 'hypA' 'yjbF' 'carB' 'hycF' 'glcD'
 'ilvM' 'glcE' 'fliZ']","['atoB' 'glnP' 'hycE' 'fimF' 'fliA' 'pspC' 'fimD' 'ompC' 'uspA' 'dps'
 'yadV' 'cysI' 'ulaG' 'ihfA' 'yjbE' 'sufE' 'hycI' 'glcF' 'fimC' 'yjbH'
 'sra' 'hipB' 'fimG' 'hemF' 'atoE' 'pspD' 'ilvA' 'htrE' 'cysH' 'proV'
 'rtcB' 'hycG' 'hipA' 'sufS' 'yjbG' 'dcuD' 'pspB' 'proW' 'fimH' 'pspA'
 'rtcA' 'tyrP' 'cysJ' 'ilvD' 'glcB']","['glcG' 'fimB' 'ilvE' 'atoA' 'hycH' 'amiA' 'fimI' 'atoD' 'sufD' 'uspB'
 'ihfB' 'folA' 'ibpB' 'tcyJ' 'proX' 'sufC' 'osmE' 'sufB' 'hycC' 'hycB'
 'fimA' 'sufA' 'hycD' 'adiA' 'pspG']",['mtr' 'patA' 'pspE' 'hycA'],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],['lsrR'],['yeiW'],"['gntT' 'putP' 'murP' 'gntU' 'murQ' 'ebgA' 'dksA' 'rspA' 'glgS' 'glpX'
 'sbmC' 'malM' 'mglC' 'kbaZ' 'glpD' 'glpR' 'entA' 'agaW' 'dadX']","['ybiT' 'malI' 'ptsG' 'ebgC' 'galT' 'feaB' 'cspD' 'gutM' 'araB' 'rpoS'
 'lsrK' 'fadH' 'cytR' 'malX' 'agaA' 'araD' 'dgoR' 'glpG' 'hofO' 'entH'
 'araC' 'nlpE' 'dsdX' 'serA' 'patZ' 'galE' 'pck' 'agaV' 'speC' 'glcC'
 'aldB' 'entB' 'raiA' 'rhaD' 'lgoR' 'lsrC' 'mazE' 'gutQ' 'feaR' 'oxyR'
 'lacI' 'gntK' 'mglA' 'dgoK' 'sfsA' 'manX' 'fadL' 'lsrB' 'epd' 'malK'
 'malT' 'rbsR' 'puuE' 'modA' 'ptsI' 'guaB' 'bglF' 'btsT' 'gatD' 'fecD'
 'mazF' 'manZ' 'prpR' 'aroA' 'gntP' 'modB' 'dadA' 'lamB' 'aaeR' 'gapA'
 'uxuR' 'gadC' 'lsrA' 'yqeF' 'aegA' 'modC' 'fucR' 'nusA' 'cas2' 'metK'
 'araJ' 'deoC' 'rspB' 'xylA' 'dgoD' 'galP' 'trg' 'araA' 'sgcQ' 'psiE'
 'srlR' 'nagE' 'trxA' 'yeiP' 'gadB' 'melR' 'cstA' 'rbsD' 'idnR' 'gyrA'
 'puuB' 'gpsA' 'mhpR' 'manY' 'ykgR' 'rhaB' 'xseA' 'puuC' 'gabT' 'csiE'
 'fucA' 'ugpC' 'galM' 'hofM' 'nanC' 'csqR' 'sgcB' 'srlA' 'chbR' 'aaeX'
 'chiQ' 'ampD' 'chbA' 'dgoA' 'tsx' 'aaeB' 'ubiG' 'chbF' 'fucP' 'nagB'
 'lhgO' 'lsrD' 'galS' 'ppdD' 'fucO' 'nupG' 'malF' 'yaeQ' 'xylH' 'casA'
 'prpB' 'zraS' 'fecE' 'aaeA' 'hofC' 'rihA' 'serC' 'sohB' 'cyaA' 'xylB'
 'ascB' 'pnp' 'pgk' 'uxuA' 'bhsA' 'lgoD' 'ygeA' 'rbsK' 'dgoT' 'exuR'
 'pncB' 'mlc']","['xylR' 'hicA' 'xylF' 'ycdZ' 'ompA' 'ascF' 'bglB' 'nanM' 'dctA' 'nagA'
 'malY' 'rbsA' 'casC' 'ilvN' 'mhpA' 'umpH' 'deoA' 'puuR' 'manA' 'galK'
 'grpE' 'hfq' 'abgR' 'chbB' 'truB' 'hflX' 'rhaT' 'glgC' 'infB' 'mtlD'
 'mhpE' 'narQ' 'relA' 'ampE' 'dsdA' 'glpF' 'hflK' 'chbC' 'rbsB' 'secB'
 'arfB' 'uxaB' 'rpsF' 'ldtB' 'gabD' 'entE' 'chbG' 'sgcE' 'sgcX' 'sgcR'
 'fadD' 'ptsH' 'idnK' 'ugpE' 'uidA' 'psuK' 'nanS' 'rimP' 'gabP' 'bglG'
 'fbaA' 'prpD' 'priB' 'mokB' 'mhpC' 'nadC' 'mtlA' 'ppiA' 'rbfA' 'rhaA'
 'araE' 'rpsR' 'mtlR' 'cspE' 'ilvB' 'nupC' 'hofB' 'glgA' 'nagC' 'mhpB'
 'uidC' 'yhfA' 'hofP' 'glpE' 'guaA' 'cas3' 'fecB' 'uxuB' 'rplI' 'idnT'
 'gatY' 'mhpD' 'gatZ' 'xylG' 'entC' 'hflC' 'exuT' 'rof' 'prpC' 'nanK'
 'gatA' 'hicB' 'sgcC' 'rpsO' 'mglB' 'glpK' 'sgcA' 'rbsC' 'hupA' 'tam'
 'uidB' 'hupB' 'idnD' 'yhgH' 'yaeP' 'glgP' 'ychH' 'rmf' 'xylE' 'mpl'
 'prpE' 'fiu' 'gatB' 'puuD' 'idnO' 'mhpF' 'nfuA' 'malG' 'fecC' 'marR'
 'csiD' 'hofN' 'ugpB' 'rhaS' 'gatC' 'cas1' 'ugpQ' 'udp' 'mdtE' 'psuG'
 'lsrF' 'agp' 'zraR' 'deoB' 'malS' 'casB' 'deoD' 'crr' 'crp' 'cdd' 'araF'
 'fepA' 'rhaR' 'argG' 'cirA' 'entD' 'comR' 'ygcW' 'chiP' 'yjhH' 'yjhI'
 'lsrG' 'nrdB' 'araG' 'fucK' 'casD' 'yhcH' 'acnB' 'casE' 'yjhG' 'cpdB'
 'araH']","['srlE' 'lacZ' 'ntrC' 'nrdA' 'fucU' 'ygeW' 'mdtF' 'yfaE' 'mdh' 'ugpA'
 'nanE' 'marB' 'fur' 'marA' 'nanT' 'yahN' 'fecA' 'lacA' 'fucI' 'lacY'
 'melB' 'srlB' 'melA' 'gadE' 'proP' 'glnL' 'srlD']",['glnA' 'treC' 'nanA'],['treB' 'malE' 'tnaA' 'preA' 'tnaB' 'preT'],['uhpT'],[],[],[],[],[],[],[],[],[],[]
Fnr and IHF_genes,[],[],[],['nrfA' 'dppF' 'dppD'],"['pstA' 'dppC' 'dppB' 'pstB' 'ubiA' 'nuoC' 'nuoA' 'hypB' 'nuoF' 'prfA'
 'phoU' 'hemA' 'nrfB' 'nuoG' 'hypD' 'nuoJ' 'norV' 'ssuD' 'pstC' 'nuoE'
 'hypE' 'ssuB' 'pstS' 'nrfC' 'prmC' 'nuoI' 'ssuC']","['nuoH' 'fhlA' 'narI' 'narH' 'ssuE' 'dppA' 'nuoL' 'hypC' 'narG' 'nuoK'
 'nrfE' 'yeiL' 'nuoN' 'nuoM' 'narK' 'narJ' 'norW' 'ssuA' 'nrfG' 'ubiC'
 'fnr' 'nrfF' 'nuoB']",['nrfD' 'dmsC' 'dmsB' 'dmsA'],[],[],['ndh'],[],[],[],[],[],[],[],[],[],[]
Fnr and Crp_genes,[],[],[],['aldA' 'gdhA' 'fixA'],"['hyfI' 'fixX' 'hyfE' 'hyfH' 'glpA' 'cyoE' 'citC' 'hyfB' 'citF' 'caiA'
 'citG' 'cyoC' 'gadA' 'caiE' 'acnA' 'caiC' 'hyfJ' 'ynfK' 'aspA' 'hyfC'
 'rplM' 'caiB' 'rpsI' 'sdhA' 'cyoD']","['sdhD' 'hyfR' 'cyoA' 'hyfA' 'hyfD' 'citE' 'hyfG' 'fixC' 'fumC' 'caiD'
 'gcvT' 'ortT' 'focB' 'caiT' 'sdhB' 'gcvP' 'citX' 'sdhC' 'hyfF' 'uxaC'
 'fixB' 'aer' 'fumA' 'dpiB' 'uxaA' 'gcvH' 'glpB' 'dpiA' 'gadX' 'cyoB'
 'hlyE' 'glpC' 'dcuR']",['fumB' 'dcuB' 'caiF' 'ansB'],['dcuA' 'lpd'],['ompW' 'aceF' 'aceE'],['pdhR'],[],['grcA'],[],[],[],[],[],[],[],[]
IHF and Crp_genes,[],[],[],"['paaD' 'paaF' 'paaK' 'osmY' 'paaI' 'paaA' 'paaE' 'paaJ' 'actP' 'paaB'
 'dusB']","['paaC' 'ompF' 'paaH' 'acs' 'fis' 'yjcH' 'flhD' 'rpoE' 'yiaL' 'lyxK'
 'flhC' 'aceK' 'rseD' 'csgE' 'yiaM' 'envZ' 'ompR' 'sgbE' 'sgbU' 'ulaB'
 'aceA' 'aceB' 'csgG' 'gltA' 'paaG' 'yiaN' 'yiaK' 'rseA' 'csgF' 'hpt']","['rpoH' 'sgbH' 'ulaF' 'rseB' 'ulaE' 'paaZ' 'ulaC' 'ulaA' 'plaR' 'yiaO'
 'sodB' 'rseC' 'ulaD' 'csgD']",['gcd'],[],[],[],[],[],[],[],[],[],[],[],[],[]
"Fnr, IHF, and Crp_genes",['nirC'],['nirB'],[],['nirD' 'sodA' 'cysG'],['glpQ' 'focA' 'sucC' 'gltB' 'gltD' 'sucD'],['gltF' 'sucA' 'sucB' 'pflB' 'glpT'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"Fnr, IHF, Crp, TdcR, and TdcA_genes",[],[],[],[],[],[],[],[],[],[],['tdcA'],[],[],[],[],['tdcC' 'tdcG'],['tdcF' 'tdcE' 'tdcD'],['tdcB'],[],[]
