,ykfA
Cr_1,-0.0010112347838089168
Cr_2,0.0029752004811324944
Cr_3,0.010409656903011162
Cr_4,0.025190177577039025
Cr_5,0.045447076560539916
Cr_6,0.054971533140749235
Fe_1,-0.02662912110879209
Fe_2,-0.061190122760078215
Fe_3,-0.0913732862678882
Fe_4,-0.1386552326644599
Fe_5,-0.1771202156132928
Fe_6,-0.18973125958506468
Cd_1,0.004182581384240079
Cd_2,0.011139321831892032
Cd_3,0.01585458055447225
Cd_4,0.018956706000860902
Cd_5,0.019129610301618333
Cd_6,0.02000189565152227
Zn_1,-0.015207210387435596
Zn_2,-0.012222900640504892
Zn_3,0.005068742665216739
Zn_4,0.015720524051112843
Zn_5,0.03220196722239045
Zn_6,0.04494947439301295
Cu_1,-0.0011208588603990556
Cu_2,-0.00518964950723921
Cu_3,-0.010516046905370141
Cu_4,-0.013156709509613855
Cu_5,-0.010662485776149186
Cu_6,-0.0061878914784383844
Pb_1,0.0010921042992087316
Pb_2,0.010799548385439436
Pb_3,0.026880941763825463
Pb_4,0.04254054212187052
Pb_5,0.05122718466034405
Pb_6,0.055377823384425866
