,yidK
Cr_1,0.0036423028233059642
Cr_2,0.012107856189587424
Cr_3,0.013841238263716922
Cr_4,0.023893714850901224
Cr_5,0.02718014480020549
Cr_6,0.027374376567027243
Fe_1,-0.008137998635242992
Fe_2,-0.02013457632847087
Fe_3,-0.027291072316516517
Fe_4,-0.030945078496588955
Fe_5,-0.02620952335685976
Fe_6,-0.023801857166094082
Cd_1,0.0012523628912356516
Cd_2,0.0001895850149056433
Cd_3,0.0019013994205724024
Cd_4,0.0052890526279300975
Cd_5,0.0043645991879811726
Cd_6,0.007834592951817189
Zn_1,-0.00697669500837941
Zn_2,-0.010553507407278586
Zn_3,4.915805269878858e-05
Zn_4,0.01481269503278205
Zn_5,0.014261801027301972
Zn_6,0.01674989081847612
Cu_1,0.0061412649267631614
Cu_2,0.005870806980370095
Cu_3,0.008091356450303695
Cu_4,0.013131214097203144
Cu_5,0.013221006047057254
Cu_6,0.01094677303480263
Pb_1,0.005000815870029119
Pb_2,0.012903713191964471
Pb_3,0.016568099521237698
Pb_4,0.025667321151505232
Pb_5,0.031981905256385924
Pb_6,0.03736068819980111
