,mscL
Cr_1,0.0002175987193703292
Cr_2,0.004066691233657026
Cr_3,0.00700966409906575
Cr_4,0.012436199260208534
Cr_5,0.01850454175270689
Cr_6,0.023771268716511414
Fe_1,-0.004806792545604999
Fe_2,-0.0270868595235081
Fe_3,-0.06324946658708193
Fe_4,-0.10874865402696192
Fe_5,-0.1500580101319956
Fe_6,-0.1804714692139905
Cd_1,0.004051129035013109
Cd_2,0.01000581596673852
Cd_3,0.016498873382503398
Cd_4,0.02138064074281629
Cd_5,0.02234767394609944
Cd_6,0.028303588629351818
Zn_1,0.0019617934750167684
Zn_2,0.006138784455968364
Zn_3,0.017879928339074144
Zn_4,0.030650961996993725
Zn_5,0.0429696148021163
Zn_6,0.05092437318784192
Cu_1,0.0040127423045500776
Cu_2,0.004757904515993538
Cu_3,0.0045679543235170855
Cu_4,0.0004594545559486161
Cu_5,0.000395803348608087
Cu_6,0.007109542075959819
Pb_1,0.015044367424828687
Pb_2,0.031253764202819
Pb_3,0.05426649680548032
Pb_4,0.07444008371203592
Pb_5,0.0932789877225881
Pb_6,0.10812049701000458
