,pphA
Cr_1,0.013121948651857509
Cr_2,0.017685230804448702
Cr_3,0.027333718872340745
Cr_4,0.05147365918902988
Cr_5,0.0791918470463553
Cr_6,0.0943970431791228
Fe_1,-0.033346253557187955
Fe_2,-0.08122798221678512
Fe_3,-0.1280118977306797
Fe_4,-0.1779827640854988
Fe_5,-0.2325643049114515
Fe_6,-0.2728278156104863
Cd_1,0.00028404889639388535
Cd_2,0.005161022605296383
Cd_3,0.012146845924001271
Cd_4,0.01621738840675265
Cd_5,0.02030891382418301
Cd_6,0.023327123802339363
Zn_1,-0.13136596385909988
Zn_2,-0.030274294881595783
Zn_3,-0.041785750309487314
Zn_4,-0.0646405474970208
Zn_5,-0.0523855529854547
Zn_6,-0.054702777924237896
Cu_1,0.009323205584951188
Cu_2,0.01871597463739707
Cu_3,0.03171387172259242
Cu_4,0.043041152593797635
Cu_5,0.05775335147880206
Cu_6,0.0603335286295674
Pb_1,0.006612778111084156
Pb_2,-0.0014359512880062525
Pb_3,-0.009292638125784188
Pb_4,-0.001893222708099053
Pb_5,-0.00014399793512369732
Pb_6,0.013430524412544873
